,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Grass,Concrete,Gravel
5,Grass,Concrete,Gravel
6,Grass,Concrete,Gravel
7,Grass,Concrete,Gravel
8,Grass,Concrete,Gravel
9,Grass,Concrete,Gravel
10,Linoleum,Grass,Grass
11,Linoleum,Grass,Grass
12,Linoleum,Concrete,Grass
13,Linoleum,Concrete,Grass
14,Gravel,Concrete,Grass
15,Gravel,Concrete,Grass
16,Gravel,Concrete,Grass
17,Gravel,Grass,Asphalt
18,Gravel,Asphalt,Asphalt
19,Gravel,Asphalt,Asphalt
20,Gravel,Asphalt,Grass
21,Gravel,Asphalt,Asphalt
22,Gravel,Asphalt,Sidewalk
23,Gravel,Asphalt,Asphalt
24,Sidewalk,Grass,Asphalt
25,Sidewalk,Asphalt,Asphalt
26,Sidewalk,Asphalt,Asphalt
27,Sidewalk,Asphalt,Grass
28,Sidewalk,Grass,Grass
29,Sidewalk,Grass,Asphalt
30,Sidewalk,Sidewalk,Asphalt
31,Sidewalk,Grass,Grass
32,Asphalt,Sidewalk,Asphalt
33,Asphalt,Sidewalk,Grass
34,Sidewalk,Sidewalk,Asphalt
35,Sidewalk,Sidewalk,Asphalt
36,Sidewalk,Sidewalk,Asphalt
37,Sidewalk,Sidewalk,Grass
38,Sidewalk,Sidewalk,Grass
39,Sidewalk,Sidewalk,Asphalt
40,Asphalt,Grass,Concrete
41,Sidewalk,Concrete,Linoleum
42,Sidewalk,Grass,Grass
43,Grass,Grass,Grass
44,Linoleum,Grass,Linoleum
45,Linoleum,Linoleum,Linoleum
46,Linoleum,Linoleum,Concrete
47,Linoleum,Linoleum,Carpet
48,Linoleum,Linoleum,Carpet
49,Linoleum,Grass,Carpet
50,Linoleum,Grass,Carpet
51,Grass,Grass,Concrete
52,Grass,Grass,Linoleum
53,Grass,Grass,Linoleum
54,Grass,Grass,Carpet
55,Grass,Grass,Linoleum
56,Grass,Grass,Concrete
57,Grass,Grass,Concrete
58,Grass,Grass,Carpet
59,Grass,Grass,Linoleum
60,Grass,Grass,Concrete
61,Grass,Grass,Concrete
62,Grass,Grass,Concrete
63,Grass,Grass,Carpet
64,Grass,Grass,Carpet
65,Grass,Grass,Carpet
66,Grass,Grass,Carpet
67,Grass,Grass,Carpet
68,Grass,Grass,Concrete
69,Grass,Grass,Concrete
70,Grass,Grass,Carpet
71,Grass,Grass,Concrete
72,Grass,Grass,Concrete
73,Grass,Grass,Grass
74,Grass,Grass,Carpet
75,Grass,Grass,Grass
76,Grass,Grass,Linoleum
77,Grass,Grass,Carpet
78,Grass,Grass,Carpet
79,Grass,Grass,Linoleum
80,Grass,Grass,Linoleum
81,Grass,Grass,Concrete
82,Linoleum,Grass,Concrete
83,Linoleum,Grass,Concrete
84,Linoleum,Grass,Linoleum
85,Linoleum,Grass,Concrete
86,Linoleum,Grass,Concrete
87,Linoleum,Grass,Concrete
88,Linoleum,Grass,Concrete
89,Linoleum,Grass,Linoleum
90,Grass,Grass,Linoleum
91,Linoleum,Grass,Carpet
92,Linoleum,Grass,Concrete
93,Linoleum,Grass,Linoleum
94,Grass,Grass,Linoleum
95,Linoleum,Grass,Concrete
96,Grass,Grass,Concrete
97,Grass,Grass,Concrete
98,Grass,Grass,Concrete
99,Grass,Grass,Concrete
100,Linoleum,Grass,Carpet
101,Linoleum,Grass,Linoleum
102,Linoleum,Grass,Concrete
103,Linoleum,Grass,Linoleum
104,Linoleum,Grass,Concrete
105,Grass,Grass,Linoleum
106,Grass,Grass,Concrete
107,Grass,Grass,Concrete
108,Grass,Grass,Linoleum
109,Grass,Grass,Carpet
110,Linoleum,Grass,Concrete
111,Grass,Grass,Concrete
112,Grass,Grass,Concrete
113,Grass,Grass,Concrete
114,Grass,Grass,Carpet
115,Grass,Grass,Carpet
116,Grass,Grass,Carpet
117,Grass,Grass,Linoleum
118,Grass,Grass,Linoleum
119,Grass,Grass,Linoleum
120,Grass,Grass,Linoleum
121,Grass,Grass,Linoleum
122,Grass,Grass,Linoleum
123,Grass,Grass,Linoleum
124,Grass,Grass,Concrete
125,Grass,Grass,Concrete
126,Grass,Grass,Concrete
127,Grass,Grass,Concrete
128,Grass,Grass,Concrete
129,Grass,Grass,Concrete
130,Grass,Grass,Concrete
131,Grass,Grass,Grass
132,Grass,Grass,Concrete
133,Grass,Grass,Concrete
134,Grass,Grass,Linoleum
135,Grass,Grass,Linoleum
136,Linoleum,Grass,Linoleum
137,Grass,Grass,Concrete
138,Linoleum,Grass,Carpet
139,Grass,Grass,Concrete
140,Linoleum,Grass,Carpet
141,Linoleum,Grass,Concrete
142,Linoleum,Grass,Concrete
143,Linoleum,Grass,Concrete
144,Linoleum,Grass,Concrete
145,Linoleum,Grass,Concrete
146,Grass,Grass,Linoleum
147,Grass,Grass,Carpet
148,Grass,Grass,Concrete
149,Grass,Grass,Linoleum
150,Grass,Grass,Grass
151,Grass,Grass,Linoleum
152,Grass,Grass,Linoleum
153,Grass,Grass,Linoleum
154,Grass,Grass,Linoleum
155,Grass,Grass,Linoleum
156,Linoleum,Grass,Linoleum
157,Grass,Grass,Concrete
158,Grass,Grass,Linoleum
159,Grass,Grass,Carpet
160,Grass,Grass,Linoleum
161,Grass,Grass,Carpet
162,Grass,Grass,Concrete
163,Grass,Grass,Concrete
164,Grass,Grass,Concrete
165,Grass,Grass,Concrete
166,Linoleum,Grass,Linoleum
167,Grass,Grass,Concrete
168,Grass,Grass,Linoleum
169,Linoleum,Grass,Concrete
170,Linoleum,Grass,Concrete
171,Grass,Grass,Concrete
172,Grass,Grass,Concrete
173,Linoleum,Grass,Carpet
174,Grass,Grass,Concrete
175,Grass,Grass,Concrete
176,Grass,Grass,Carpet
177,Grass,Grass,Linoleum
178,Grass,Grass,Concrete
179,Grass,Grass,Concrete
180,Grass,Grass,Concrete
181,Grass,Grass,Concrete
182,Grass,Grass,Concrete
183,Grass,Grass,Linoleum
184,Linoleum,Grass,Concrete
185,Grass,Grass,Linoleum
186,Linoleum,Grass,Carpet
187,Linoleum,Grass,Concrete
188,Grass,Grass,Concrete
189,Grass,Grass,Concrete
190,Grass,Grass,Concrete
191,Grass,Grass,Linoleum
192,Grass,Grass,Concrete
193,Grass,Grass,Sidewalk
194,Grass,Grass,Carpet
195,Grass,Grass,Sidewalk
196,Grass,Grass,Carpet
197,Grass,Grass,Concrete
198,Linoleum,Grass,Linoleum
199,Grass,Grass,Linoleum
200,Grass,Grass,Linoleum
201,Linoleum,Grass,Linoleum
202,Linoleum,Grass,Concrete
203,Linoleum,Grass,Linoleum
204,Linoleum,Grass,Concrete
205,Linoleum,Grass,Concrete
206,Linoleum,Grass,Concrete
207,Linoleum,Grass,Concrete
208,Linoleum,Grass,Concrete
209,Linoleum,Grass,Concrete
210,Linoleum,Grass,Linoleum
211,Linoleum,Gravel,Asphalt
212,Grass,Grass,Asphalt
213,Grass,Grass,Asphalt
214,Grass,Grass,Asphalt
215,Grass,Grass,Asphalt
216,Grass,Grass,Concrete
217,Grass,Grass,Linoleum
218,Grass,Grass,Concrete
219,Grass,Grass,Carpet
220,Grass,Grass,Carpet
221,Grass,Grass,Linoleum
222,Grass,Grass,Linoleum
223,Grass,Grass,Linoleum
224,Grass,Grass,Linoleum
225,Grass,Grass,Linoleum
226,Linoleum,Grass,Linoleum
227,Grass,Grass,Concrete
228,Linoleum,Grass,Linoleum
229,Concrete,Grass,Linoleum
230,Grass,Grass,Linoleum
231,Grass,Grass,Linoleum
232,Grass,Grass,Concrete
233,Grass,Grass,Linoleum
234,Grass,Grass,Linoleum
235,Grass,Grass,Concrete
236,Grass,Grass,Concrete
237,Grass,Grass,Concrete
238,Grass,Grass,Concrete
239,Linoleum,Grass,Linoleum
240,Grass,Grass,Concrete
241,Grass,Grass,Linoleum
242,Grass,Grass,Linoleum
243,Grass,Grass,Concrete
244,Grass,Grass,Concrete
245,Grass,Grass,Concrete
246,Grass,Grass,Linoleum
247,Grass,Grass,Linoleum
248,Linoleum,Grass,Linoleum
249,Linoleum,Grass,Grass
250,Linoleum,Grass,Grass
251,Grass,Grass,Linoleum
252,Linoleum,Grass,Concrete
253,Linoleum,Grass,Carpet
254,Linoleum,Grass,Concrete
255,Linoleum,Grass,Concrete
256,Linoleum,Grass,Linoleum
257,Linoleum,Grass,Carpet
258,Linoleum,Grass,Concrete
259,Linoleum,Grass,Linoleum
260,Linoleum,Grass,Concrete
261,Linoleum,Grass,Concrete
262,Linoleum,Grass,Linoleum
263,Linoleum,Grass,Linoleum
264,Linoleum,Grass,Concrete
265,Linoleum,Grass,Carpet
266,Linoleum,Grass,Concrete
267,Grass,Grass,Concrete
268,Grass,Grass,Carpet
269,Grass,Grass,Concrete
270,Grass,Grass,Concrete
271,Grass,Grass,Carpet
272,Grass,Grass,Carpet
273,Grass,Grass,Carpet
274,Linoleum,Grass,Linoleum
275,Linoleum,Grass,Linoleum
276,Linoleum,Grass,Concrete
277,Concrete,Grass,Linoleum
278,Linoleum,Grass,Concrete
279,Grass,Grass,Linoleum
280,Grass,Grass,Concrete
281,Grass,Grass,Concrete
282,Grass,Grass,Linoleum
283,Linoleum,Grass,Linoleum
284,Linoleum,Grass,Concrete
285,Grass,Grass,Concrete
286,Linoleum,Grass,Carpet
287,Grass,Grass,Concrete
288,Grass,Grass,Concrete
289,Grass,Grass,Concrete
290,Grass,Grass,Concrete
291,Grass,Grass,Concrete
292,Grass,Grass,Carpet
293,Grass,Grass,Concrete
294,Grass,Grass,Concrete
295,Grass,Grass,Linoleum
296,Grass,Grass,Concrete
297,Grass,Grass,Carpet
298,Grass,Grass,Concrete
299,Grass,Grass,Grass
300,Grass,Grass,Sidewalk
301,Grass,Gravel,Carpet
302,Grass,Grass,Carpet
303,Grass,Grass,Carpet
304,Grass,Grass,Sidewalk
305,Grass,Grass,Carpet
306,Linoleum,Grass,Concrete
307,Linoleum,Grass,Carpet
308,Linoleum,Grass,Concrete
309,Linoleum,Grass,Concrete
310,Linoleum,Grass,Linoleum
311,Linoleum,Grass,Linoleum
312,Linoleum,Grass,Linoleum
313,Linoleum,Grass,Carpet
314,Linoleum,Grass,Carpet
315,Linoleum,Grass,Carpet
316,Linoleum,Grass,Linoleum
317,Concrete,Grass,Concrete
318,Linoleum,Grass,Linoleum
319,Linoleum,Grass,Concrete
320,Linoleum,Grass,Linoleum
321,Linoleum,Grass,Linoleum
322,Linoleum,Grass,Carpet
323,Linoleum,Grass,Carpet
324,Grass,Grass,Concrete
325,Linoleum,Grass,Concrete
326,Linoleum,Grass,Concrete
327,Grass,Grass,Carpet
328,Grass,Grass,Carpet
329,Linoleum,Grass,Carpet
330,Grass,Grass,Carpet
331,Grass,Grass,Linoleum
332,Grass,Grass,Carpet
333,Grass,Grass,Concrete
334,Grass,Grass,Concrete
335,Grass,Grass,Concrete
336,Grass,Grass,Concrete
337,Grass,Grass,Concrete
338,Grass,Grass,Concrete
339,Linoleum,Grass,Carpet
340,Linoleum,Grass,Linoleum
341,Carpet,Grass,Concrete
342,Linoleum,Grass,Concrete
343,Grass,Grass,Linoleum
344,Grass,Grass,Concrete
345,Grass,Grass,Concrete
346,Grass,Grass,Concrete
347,Grass,Grass,Carpet
348,Grass,Grass,Concrete
349,Grass,Grass,Carpet
350,Linoleum,Grass,Concrete
351,Linoleum,Grass,Concrete
352,Grass,Grass,Concrete
353,Grass,Grass,Concrete
354,Grass,Grass,Carpet
355,Grass,Grass,Concrete
356,Grass,Grass,Concrete
357,Grass,Grass,Concrete
358,Grass,Grass,Concrete
359,Linoleum,Grass,Linoleum
360,Linoleum,Grass,Linoleum
361,Concrete,Grass,Linoleum
362,Concrete,Grass,Linoleum
363,Linoleum,Grass,Linoleum
364,Linoleum,Grass,Linoleum
365,Linoleum,Grass,Linoleum
366,Linoleum,Grass,Concrete
367,Linoleum,Grass,Linoleum
368,Linoleum,Grass,Linoleum
369,Linoleum,Grass,Concrete
370,Linoleum,Grass,Concrete
371,Linoleum,Grass,Linoleum
372,Linoleum,Grass,Concrete
373,Linoleum,Grass,Linoleum
374,Linoleum,Grass,Linoleum
375,Linoleum,Grass,Concrete
376,Linoleum,Grass,Concrete
377,Linoleum,Grass,Carpet
378,Linoleum,Grass,Carpet
379,Linoleum,Grass,Linoleum
380,Grass,Grass,Concrete
381,Grass,Grass,Linoleum
382,Grass,Grass,Carpet
383,Grass,Grass,Carpet
384,Grass,Grass,Carpet
385,Grass,Grass,Concrete
386,Grass,Grass,Concrete
387,Grass,Grass,Sidewalk
388,Grass,Grass,Linoleum
389,Grass,Grass,Linoleum
390,Grass,Grass,Concrete
391,Grass,Grass,Linoleum
392,Grass,Grass,Concrete
393,Grass,Grass,Concrete
394,Grass,Grass,Concrete
395,Grass,Grass,Concrete
396,Grass,Grass,Carpet
397,Grass,Grass,Linoleum
398,Grass,Grass,Concrete
399,Grass,Grass,Concrete
400,Grass,Grass,Concrete
401,Grass,Grass,Linoleum
402,Grass,Grass,Concrete
403,Grass,Grass,Linoleum
404,Grass,Grass,Linoleum
405,Grass,Grass,Carpet
406,Grass,Grass,Carpet
407,Grass,Grass,Concrete
408,Grass,Grass,Carpet
409,Grass,Grass,Carpet
410,Grass,Grass,Linoleum
411,Grass,Grass,Concrete
412,Grass,Grass,Linoleum
413,Grass,Grass,Concrete
414,Grass,Grass,Linoleum
415,Grass,Grass,Linoleum
416,Grass,Grass,Linoleum
417,Grass,Grass,Linoleum
418,Grass,Grass,Linoleum
419,Grass,Grass,Linoleum
420,Grass,Grass,Grass
421,Linoleum,Grass,Linoleum
422,Linoleum,Grass,Grass
423,Grass,Grass,Linoleum
424,Linoleum,Grass,Linoleum
425,Linoleum,Grass,Concrete
426,Linoleum,Grass,Linoleum
427,Linoleum,Grass,Concrete
428,Linoleum,Grass,Concrete
429,Linoleum,Grass,Concrete
430,Linoleum,Grass,Carpet
431,Linoleum,Grass,Concrete
432,Linoleum,Grass,Concrete
433,Linoleum,Grass,Concrete
434,Grass,Grass,Concrete
435,Grass,Grass,Linoleum
436,Grass,Grass,Concrete
437,Grass,Grass,Concrete
438,Grass,Grass,Concrete
439,Linoleum,Grass,Linoleum
440,Linoleum,Grass,Concrete
441,Linoleum,Grass,Concrete
442,Linoleum,Grass,Carpet
443,Linoleum,Grass,Linoleum
444,Linoleum,Grass,Linoleum
445,Grass,Grass,Concrete
446,Grass,Grass,Linoleum
447,Grass,Grass,Concrete
448,Grass,Grass,Linoleum
449,Grass,Grass,Linoleum
450,Grass,Grass,Linoleum
451,Linoleum,Grass,Concrete
452,Linoleum,Grass,Carpet
453,Linoleum,Grass,Concrete
454,Linoleum,Grass,Concrete
455,Concrete,Grass,Concrete
456,Linoleum,Grass,Carpet
457,Concrete,Grass,Concrete
458,Concrete,Grass,Concrete
459,Grass,Grass,Linoleum
460,Grass,Grass,Linoleum
461,Grass,Grass,Linoleum
462,Grass,Grass,Carpet
463,Linoleum,Grass,Linoleum
464,Grass,Grass,Carpet
465,Grass,Grass,Concrete
466,Grass,Grass,Concrete
467,Grass,Grass,Concrete
468,Grass,Grass,Carpet
469,Grass,Grass,Concrete
470,Grass,Grass,Concrete
471,Grass,Grass,Concrete
472,Linoleum,Grass,Linoleum
473,Linoleum,Grass,Concrete
474,Grass,Grass,Concrete
475,Linoleum,Grass,Linoleum
476,Linoleum,Grass,Concrete
477,Linoleum,Grass,Concrete
478,Linoleum,Grass,Linoleum
479,Linoleum,Grass,Linoleum
480,Linoleum,Grass,Concrete
481,Linoleum,Grass,Concrete
482,Linoleum,Grass,Linoleum
483,Linoleum,Grass,Concrete
484,Linoleum,Grass,Linoleum
485,Linoleum,Grass,Concrete
486,Linoleum,Grass,Carpet
487,Linoleum,Grass,Carpet
488,Linoleum,Grass,Concrete
489,Linoleum,Grass,Concrete
490,Linoleum,Grass,Concrete
491,Linoleum,Grass,Concrete
492,Linoleum,Grass,Concrete
493,Linoleum,Grass,Linoleum
494,Grass,Grass,Concrete
495,Linoleum,Grass,Grass
496,Linoleum,Grass,Linoleum
497,Linoleum,Grass,Concrete
498,Linoleum,Grass,Carpet
499,Linoleum,Grass,Carpet
500,Linoleum,Grass,Concrete
501,Linoleum,Grass,Concrete
502,Linoleum,Grass,Linoleum
503,Linoleum,Grass,Linoleum
504,Grass,Grass,Concrete
505,Linoleum,Grass,Linoleum
506,Linoleum,Grass,Concrete
507,Grass,Grass,Carpet
508,Grass,Grass,Carpet
509,Grass,Grass,Linoleum
510,Grass,Grass,Carpet
511,Grass,Grass,Concrete
512,Grass,Grass,Carpet
513,Grass,Grass,Linoleum
514,Grass,Grass,Carpet
515,Grass,Grass,Concrete
516,Grass,Grass,Concrete
517,Grass,Grass,Concrete
518,Grass,Grass,Concrete
519,Linoleum,Grass,Carpet
520,Grass,Grass,Concrete
521,Grass,Grass,Carpet
522,Grass,Grass,Carpet
523,Grass,Grass,Carpet
524,Grass,Grass,Linoleum
525,Linoleum,Grass,Linoleum
526,Linoleum,Grass,Concrete
527,Grass,Grass,Linoleum
528,Grass,Grass,Linoleum
529,Grass,Grass,Concrete
530,Grass,Grass,Concrete
531,Grass,Grass,Linoleum
532,Grass,Grass,Concrete
533,Linoleum,Grass,Concrete
534,Grass,Grass,Concrete
535,Grass,Grass,Linoleum
536,Grass,Grass,Linoleum
537,Grass,Grass,Linoleum
538,Grass,Grass,Concrete
539,Linoleum,Grass,Concrete
540,Linoleum,Grass,Linoleum
541,Linoleum,Grass,Concrete
542,Linoleum,Grass,Concrete
543,Linoleum,Grass,Concrete
544,Linoleum,Grass,Concrete
545,Linoleum,Grass,Concrete
546,Linoleum,Grass,Linoleum
547,Linoleum,Grass,Linoleum
548,Linoleum,Grass,Concrete
549,Linoleum,Grass,Carpet
550,Linoleum,Grass,Linoleum
551,Linoleum,Grass,Concrete
552,Linoleum,Grass,Linoleum
553,Linoleum,Grass,Linoleum
554,Linoleum,Grass,Concrete
