,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Grass,Concrete,Gravel
5,Grass,Concrete,Gravel
6,Grass,Concrete,Gravel
7,Grass,Concrete,Gravel
8,Grass,Concrete,Gravel
9,Grass,Concrete,Gravel
10,Grass,Concrete,Gravel
11,Grass,Concrete,Gravel
12,Linoleum,Concrete,Sidewalk
13,Linoleum,Grass,Asphalt
14,Linoleum,Sidewalk,Asphalt
15,Linoleum,Sidewalk,Asphalt
16,Grass,Sidewalk,Asphalt
17,Grass,Sidewalk,Asphalt
18,Grass,Sidewalk,Asphalt
19,Grass,Sidewalk,Asphalt
20,Grass,Sidewalk,Asphalt
21,Grass,Sidewalk,Grass
22,Grass,Sidewalk,Asphalt
23,Grass,Sidewalk,Asphalt
24,Grass,Sidewalk,Asphalt
25,Grass,Sidewalk,Asphalt
26,Grass,Sidewalk,Asphalt
27,Grass,Sidewalk,Asphalt
28,Grass,Sidewalk,Asphalt
29,Grass,Sidewalk,Asphalt
30,Grass,Sidewalk,Asphalt
31,Grass,Sidewalk,Asphalt
32,Grass,Sidewalk,Asphalt
33,Grass,Sidewalk,Asphalt
34,Grass,Sidewalk,Asphalt
35,Grass,Sidewalk,Asphalt
36,Grass,Sidewalk,Asphalt
37,Grass,Sidewalk,Asphalt
38,Grass,Sidewalk,Grass
39,Grass,Sidewalk,Asphalt
40,Grass,Sidewalk,Asphalt
41,Grass,Sidewalk,Grass
42,Grass,Sidewalk,Asphalt
43,Grass,Sidewalk,Grass
44,Grass,Sidewalk,Asphalt
45,Grass,Sidewalk,Asphalt
46,Grass,Asphalt,Asphalt
47,Grass,Asphalt,Asphalt
48,Grass,Asphalt,Asphalt
49,Grass,Asphalt,Asphalt
50,Grass,Grass,Asphalt
51,Grass,Sidewalk,Grass
52,Grass,Grass,Asphalt
53,Grass,Grass,Asphalt
54,Grass,Sidewalk,Grass
55,Grass,Asphalt,Sidewalk
56,Grass,Asphalt,Asphalt
57,Grass,Asphalt,Asphalt
58,Grass,Asphalt,Asphalt
59,Grass,Asphalt,Asphalt
60,Grass,Asphalt,Grass
61,Grass,Asphalt,Asphalt
62,Grass,Asphalt,Asphalt
63,Grass,Sidewalk,Asphalt
64,Grass,Sidewalk,Grass
65,Grass,Sidewalk,Linoleum
66,Grass,Grass,Linoleum
67,Grass,Grass,Linoleum
68,Linoleum,Linoleum,Linoleum
69,Concrete,Grass,Carpet
70,Concrete,Grass,Linoleum
71,Concrete,Grass,Carpet
72,Concrete,Grass,Concrete
73,Concrete,Grass,Concrete
74,Concrete,Grass,Linoleum
75,Concrete,Grass,Linoleum
76,Concrete,Grass,Linoleum
77,Concrete,Grass,Concrete
78,Concrete,Grass,Concrete
79,Grass,Grass,Concrete
80,Grass,Grass,Concrete
81,Grass,Grass,Concrete
82,Grass,Grass,Concrete
83,Linoleum,Grass,Concrete
84,Linoleum,Grass,Concrete
85,Linoleum,Grass,Concrete
86,Linoleum,Grass,Carpet
87,Linoleum,Grass,Concrete
88,Grass,Grass,Concrete
89,Linoleum,Grass,Concrete
90,Linoleum,Grass,Concrete
91,Grass,Grass,Concrete
92,Linoleum,Grass,Linoleum
93,Linoleum,Grass,Concrete
94,Linoleum,Grass,Linoleum
95,Linoleum,Grass,Linoleum
96,Linoleum,Grass,Linoleum
97,Linoleum,Grass,Concrete
98,Linoleum,Grass,Concrete
99,Linoleum,Grass,Linoleum
100,Linoleum,Grass,Concrete
101,Concrete,Grass,Linoleum
102,Linoleum,Grass,Linoleum
103,Linoleum,Grass,Linoleum
104,Linoleum,Grass,Carpet
105,Grass,Grass,Carpet
106,Grass,Grass,Carpet
107,Grass,Grass,Carpet
108,Grass,Grass,Carpet
109,Grass,Grass,Concrete
110,Grass,Grass,Grass
111,Grass,Grass,Concrete
112,Grass,Grass,Carpet
113,Grass,Grass,Linoleum
114,Grass,Grass,Concrete
115,Grass,Grass,Concrete
116,Grass,Grass,Linoleum
117,Grass,Grass,Concrete
118,Grass,Grass,Concrete
119,Linoleum,Grass,Linoleum
120,Linoleum,Grass,Carpet
121,Linoleum,Grass,Carpet
122,Concrete,Grass,Concrete
123,Concrete,Grass,Concrete
124,Concrete,Grass,Concrete
125,Concrete,Grass,Linoleum
126,Concrete,Grass,Linoleum
127,Concrete,Grass,Linoleum
128,Concrete,Grass,Concrete
129,Concrete,Grass,Concrete
130,Concrete,Grass,Linoleum
131,Linoleum,Grass,Linoleum
132,Linoleum,Grass,Concrete
133,Grass,Grass,Concrete
134,Grass,Grass,Linoleum
135,Grass,Grass,Linoleum
136,Grass,Grass,Concrete
137,Linoleum,Grass,Concrete
138,Grass,Grass,Concrete
139,Concrete,Grass,Linoleum
140,Concrete,Grass,Linoleum
141,Concrete,Gravel,Linoleum
142,Concrete,Gravel,Carpet
143,Concrete,Gravel,Concrete
144,Linoleum,Gravel,Carpet
145,Linoleum,Grass,Concrete
146,Linoleum,Grass,Linoleum
147,Linoleum,Grass,Linoleum
148,Linoleum,Grass,Carpet
149,Linoleum,Grass,Linoleum
150,Linoleum,Grass,Linoleum
151,Grass,Grass,Carpet
152,Grass,Grass,Carpet
153,Grass,Grass,Carpet
154,Grass,Grass,Carpet
155,Grass,Grass,Carpet
156,Grass,Grass,Carpet
157,Grass,Grass,Concrete
158,Grass,Grass,Concrete
159,Linoleum,Grass,Linoleum
160,Grass,Grass,Linoleum
161,Linoleum,Grass,Carpet
162,Grass,Grass,Carpet
163,Concrete,Grass,Concrete
164,Concrete,Gravel,Concrete
165,Linoleum,Gravel,Linoleum
166,Concrete,Grass,Concrete
167,Linoleum,Gravel,Concrete
168,Linoleum,Gravel,Concrete
169,Grass,Grass,Concrete
170,Grass,Grass,Concrete
171,Grass,Grass,Carpet
172,Concrete,Grass,Concrete
173,Concrete,Grass,Carpet
174,Concrete,Grass,Linoleum
175,Linoleum,Grass,Linoleum
176,Concrete,Grass,Concrete
177,Linoleum,Grass,Linoleum
178,Linoleum,Grass,Carpet
179,Linoleum,Grass,Concrete
180,Concrete,Grass,Linoleum
181,Concrete,Grass,Linoleum
182,Grass,Grass,Linoleum
183,Grass,Grass,Concrete
184,Grass,Grass,Concrete
185,Grass,Grass,Concrete
186,Grass,Grass,Concrete
187,Linoleum,Grass,Concrete
188,Linoleum,Gravel,Concrete
189,Linoleum,Grass,Concrete
190,Grass,Grass,Concrete
191,Linoleum,Gravel,Linoleum
192,Linoleum,Grass,Linoleum
193,Grass,Grass,Concrete
194,Linoleum,Grass,Linoleum
195,Grass,Grass,Carpet
196,Linoleum,Grass,Concrete
197,Linoleum,Grass,Concrete
198,Linoleum,Grass,Concrete
199,Linoleum,Grass,Concrete
200,Linoleum,Grass,Carpet
201,Concrete,Grass,Concrete
202,Linoleum,Grass,Concrete
203,Linoleum,Grass,Linoleum
204,Concrete,Grass,Concrete
205,Grass,Grass,Carpet
206,Grass,Grass,Concrete
207,Linoleum,Grass,Concrete
208,Linoleum,Grass,Linoleum
209,Linoleum,Grass,Concrete
210,Linoleum,Grass,Linoleum
211,Linoleum,Grass,Carpet
212,Linoleum,Grass,Linoleum
213,Linoleum,Grass,Concrete
214,Grass,Grass,Concrete
215,Linoleum,Grass,Concrete
216,Grass,Grass,Concrete
217,Grass,Grass,Concrete
218,Grass,Grass,Concrete
219,Grass,Grass,Carpet
220,Grass,Grass,Concrete
221,Grass,Grass,Concrete
222,Grass,Grass,Concrete
223,Grass,Grass,Concrete
224,Grass,Grass,Carpet
225,Grass,Grass,Concrete
226,Grass,Grass,Carpet
227,Linoleum,Grass,Linoleum
228,Grass,Grass,Carpet
229,Concrete,Grass,Concrete
230,Concrete,Grass,Concrete
231,Concrete,Grass,Carpet
232,Concrete,Grass,Linoleum
233,Concrete,Grass,Concrete
234,Concrete,Grass,Concrete
235,Concrete,Grass,Concrete
236,Concrete,Grass,Linoleum
237,Concrete,Grass,Linoleum
238,Concrete,Grass,Concrete
239,Concrete,Grass,Concrete
240,Concrete,Grass,Concrete
241,Concrete,Gravel,Concrete
242,Linoleum,Grass,Linoleum
243,Grass,Grass,Concrete
244,Grass,Grass,Concrete
245,Grass,Grass,Linoleum
246,Grass,Grass,Linoleum
247,Grass,Grass,Linoleum
248,Linoleum,Grass,Concrete
249,Linoleum,Grass,Concrete
250,Linoleum,Grass,Concrete
251,Linoleum,Grass,Concrete
252,Linoleum,Grass,Linoleum
253,Linoleum,Grass,Carpet
254,Linoleum,Grass,Concrete
255,Grass,Gravel,Concrete
256,Grass,Gravel,Concrete
257,Grass,Gravel,Concrete
258,Linoleum,Grass,Sidewalk
259,Linoleum,Grass,Concrete
260,Grass,Grass,Concrete
261,Grass,Gravel,Concrete
262,Grass,Grass,Concrete
263,Grass,Grass,Concrete
264,Grass,Grass,Linoleum
265,Linoleum,Grass,Linoleum
266,Linoleum,Grass,Concrete
267,Grass,Grass,Concrete
268,Concrete,Grass,Concrete
269,Concrete,Gravel,Concrete
270,Linoleum,Grass,Concrete
271,Concrete,Grass,Concrete
272,Concrete,Grass,Concrete
273,Concrete,Grass,Carpet
274,Linoleum,Grass,Concrete
275,Concrete,Grass,Linoleum
276,Grass,Grass,Concrete
277,Concrete,Grass,Concrete
278,Concrete,Grass,Concrete
279,Linoleum,Grass,Carpet
280,Grass,Grass,Concrete
281,Grass,Grass,Concrete
282,Concrete,Grass,Carpet
283,Linoleum,Grass,Linoleum
284,Concrete,Grass,Concrete
285,Linoleum,Grass,Carpet
286,Linoleum,Grass,Concrete
287,Linoleum,Grass,Concrete
288,Grass,Grass,Concrete
289,Grass,Grass,Concrete
290,Linoleum,Grass,Linoleum
291,Linoleum,Grass,Linoleum
292,Linoleum,Gravel,Concrete
293,Concrete,Gravel,Linoleum
294,Concrete,Gravel,Concrete
295,Carpet,Gravel,Linoleum
296,Linoleum,Gravel,Concrete
297,Concrete,Gravel,Concrete
298,Concrete,Grass,Carpet
299,Linoleum,Grass,Linoleum
300,Carpet,Grass,Carpet
301,Linoleum,Grass,Concrete
302,Linoleum,Grass,Concrete
303,Concrete,Grass,Carpet
304,Concrete,Grass,Carpet
305,Linoleum,Grass,Carpet
306,Grass,Grass,Concrete
307,Grass,Grass,Carpet
308,Grass,Grass,Concrete
309,Grass,Grass,Carpet
310,Grass,Grass,Linoleum
311,Grass,Grass,Carpet
312,Concrete,Grass,Concrete
313,Linoleum,Grass,Concrete
314,Grass,Gravel,Sidewalk
315,Grass,Grass,Linoleum
316,Grass,Grass,Linoleum
317,Grass,Grass,Concrete
318,Grass,Grass,Carpet
319,Grass,Grass,Concrete
320,Grass,Grass,Linoleum
321,Grass,Grass,Concrete
322,Linoleum,Grass,Carpet
323,Concrete,Grass,Concrete
324,Concrete,Grass,Concrete
325,Concrete,Grass,Concrete
326,Concrete,Grass,Concrete
327,Concrete,Grass,Concrete
328,Concrete,Grass,Concrete
329,Grass,Grass,Carpet
330,Concrete,Grass,Carpet
331,Linoleum,Grass,Concrete
332,Linoleum,Grass,Carpet
333,Linoleum,Grass,Concrete
334,Grass,Grass,Linoleum
335,Grass,Grass,Concrete
336,Grass,Grass,Concrete
337,Grass,Grass,Concrete
338,Linoleum,Grass,Linoleum
339,Concrete,Grass,Concrete
340,Linoleum,Grass,Concrete
341,Grass,Grass,Concrete
342,Grass,Grass,Concrete
343,Grass,Grass,Linoleum
344,Grass,Grass,Concrete
345,Grass,Grass,Concrete
346,Grass,Grass,Concrete
347,Linoleum,Grass,Linoleum
348,Linoleum,Grass,Carpet
349,Grass,Grass,Linoleum
350,Linoleum,Grass,Concrete
351,Grass,Grass,Grass
352,Linoleum,Grass,Linoleum
353,Linoleum,Grass,Linoleum
354,Linoleum,Grass,Linoleum
355,Linoleum,Grass,Linoleum
356,Linoleum,Grass,Linoleum
357,Linoleum,Grass,Carpet
358,Linoleum,Grass,Concrete
359,Linoleum,Grass,Linoleum
360,Linoleum,Grass,Concrete
361,Linoleum,Grass,Concrete
362,Linoleum,Grass,Linoleum
363,Linoleum,Grass,Concrete
364,Linoleum,Grass,Concrete
365,Linoleum,Grass,Linoleum
366,Linoleum,Grass,Concrete
367,Linoleum,Grass,Concrete
368,Linoleum,Grass,Concrete
369,Concrete,Grass,Linoleum
370,Concrete,Grass,Concrete
371,Linoleum,Grass,Linoleum
372,Concrete,Grass,Concrete
373,Linoleum,Grass,Linoleum
374,Concrete,Grass,Linoleum
375,Linoleum,Grass,Concrete
376,Concrete,Grass,Carpet
377,Grass,Grass,Carpet
378,Grass,Grass,Carpet
379,Grass,Grass,Concrete
380,Concrete,Grass,Carpet
381,Grass,Grass,Concrete
382,Grass,Grass,Concrete
383,Concrete,Grass,Linoleum
384,Concrete,Grass,Carpet
385,Concrete,Grass,Linoleum
386,Concrete,Grass,Linoleum
387,Linoleum,Grass,Concrete
388,Concrete,Grass,Linoleum
389,Grass,Grass,Concrete
390,Linoleum,Grass,Carpet
391,Linoleum,Grass,Linoleum
392,Linoleum,Gravel,Linoleum
393,Linoleum,Grass,Concrete
394,Linoleum,Grass,Linoleum
395,Linoleum,Grass,Concrete
396,Linoleum,Grass,Concrete
397,Linoleum,Grass,Concrete
398,Linoleum,Grass,Concrete
399,Linoleum,Grass,Concrete
400,Linoleum,Grass,Carpet
401,Concrete,Grass,Carpet
402,Concrete,Grass,Linoleum
403,Concrete,Grass,Linoleum
404,Concrete,Grass,Linoleum
405,Linoleum,Grass,Linoleum
406,Linoleum,Grass,Carpet
407,Linoleum,Grass,Concrete
408,Grass,Grass,Linoleum
409,Linoleum,Grass,Linoleum
410,Linoleum,Grass,Linoleum
411,Concrete,Grass,Linoleum
412,Linoleum,Grass,Concrete
413,Linoleum,Grass,Concrete
414,Linoleum,Grass,Concrete
415,Grass,Grass,Concrete
416,Grass,Grass,Concrete
417,Linoleum,Grass,Concrete
418,Grass,Grass,Concrete
419,Grass,Grass,Concrete
420,Grass,Grass,Concrete
421,Grass,Grass,Carpet
422,Grass,Grass,Concrete
423,Grass,Grass,Concrete
424,Grass,Grass,Concrete
425,Linoleum,Grass,Concrete
426,Linoleum,Grass,Concrete
427,Concrete,Grass,Linoleum
428,Concrete,Grass,Concrete
429,Concrete,Grass,Concrete
430,Concrete,Grass,Concrete
431,Concrete,Grass,Concrete
432,Concrete,Grass,Carpet
433,Concrete,Grass,Concrete
434,Concrete,Grass,Concrete
435,Concrete,Grass,Concrete
436,Concrete,Gravel,Concrete
437,Concrete,Grass,Carpet
438,Concrete,Grass,Carpet
439,Concrete,Grass,Linoleum
440,Linoleum,Grass,Concrete
441,Carpet,Grass,Concrete
442,Grass,Grass,Concrete
443,Linoleum,Grass,Carpet
444,Grass,Gravel,Concrete
445,Grass,Gravel,Concrete
446,Linoleum,Grass,Concrete
447,Linoleum,Grass,Concrete
448,Linoleum,Gravel,Concrete
449,Linoleum,Grass,Concrete
450,Concrete,Grass,Linoleum
451,Concrete,Grass,Concrete
452,Linoleum,Grass,Linoleum
453,Linoleum,Grass,Linoleum
454,Linoleum,Grass,Concrete
455,Linoleum,Grass,Concrete
456,Linoleum,Grass,Concrete
457,Linoleum,Grass,Linoleum
458,Linoleum,Grass,Linoleum
459,Grass,Grass,Concrete
460,Linoleum,Grass,Linoleum
461,Linoleum,Grass,Concrete
462,Linoleum,Grass,Carpet
463,Linoleum,Grass,Carpet
464,Linoleum,Grass,Linoleum
465,Linoleum,Grass,Linoleum
466,Linoleum,Grass,Linoleum
467,Linoleum,Grass,Linoleum
468,Linoleum,Grass,Linoleum
469,Grass,Grass,Carpet
470,Grass,Grass,Concrete
471,Grass,Grass,Linoleum
472,Grass,Grass,Linoleum
473,Concrete,Grass,Carpet
474,Concrete,Grass,Concrete
475,Concrete,Grass,Concrete
476,Linoleum,Grass,Concrete
477,Linoleum,Grass,Linoleum
478,Grass,Grass,Linoleum
479,Grass,Grass,Concrete
480,Linoleum,Grass,Concrete
481,Concrete,Grass,Concrete
482,Linoleum,Grass,Concrete
483,Concrete,Grass,Concrete
484,Concrete,Grass,Concrete
485,Linoleum,Grass,Concrete
486,Concrete,Grass,Concrete
487,Linoleum,Grass,Linoleum
488,Concrete,Grass,Concrete
489,Linoleum,Grass,Concrete
490,Linoleum,Grass,Concrete
491,Grass,Grass,Linoleum
492,Grass,Grass,Concrete
493,Grass,Grass,Concrete
494,Grass,Grass,Linoleum
495,Linoleum,Grass,Concrete
496,Linoleum,Gravel,Concrete
497,Linoleum,Grass,Concrete
498,Linoleum,Grass,Linoleum
499,Grass,Grass,Concrete
500,Grass,Grass,Concrete
501,Grass,Grass,Concrete
502,Concrete,Grass,Concrete
503,Linoleum,Grass,Concrete
504,Linoleum,Grass,Linoleum
505,Linoleum,Grass,Linoleum
506,Concrete,Grass,Linoleum
507,Linoleum,Grass,Linoleum
508,Linoleum,Grass,Concrete
509,Linoleum,Grass,Concrete
510,Linoleum,Grass,Concrete
511,Linoleum,Grass,Concrete
512,Linoleum,Grass,Grass
513,Concrete,Grass,Linoleum
514,Concrete,Grass,Linoleum
515,Linoleum,Grass,Linoleum
516,Linoleum,Grass,Linoleum
517,Linoleum,Grass,Linoleum
518,Linoleum,Grass,Concrete
519,Grass,Grass,Concrete
520,Linoleum,Grass,Concrete
521,Grass,Grass,Concrete
522,Grass,Grass,Concrete
523,Grass,Grass,Concrete
524,Grass,Grass,Linoleum
525,Grass,Grass,Carpet
526,Grass,Grass,Concrete
527,Linoleum,Grass,Carpet
528,Linoleum,Grass,Carpet
529,Linoleum,Grass,Carpet
530,Linoleum,Grass,Linoleum
531,Linoleum,Grass,Concrete
532,Linoleum,Grass,Linoleum
533,Linoleum,Grass,Linoleum
534,Linoleum,Grass,Linoleum
535,Linoleum,Grass,Carpet
536,Linoleum,Grass,Concrete
537,Concrete,Grass,Concrete
538,Concrete,Grass,Concrete
539,Concrete,Grass,Linoleum
540,Concrete,Grass,Concrete
541,Concrete,Grass,Concrete
542,Concrete,Grass,Concrete
