,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Grass,Concrete,Gravel
5,Grass,Concrete,Gravel
6,Grass,Concrete,Gravel
7,Grass,Concrete,Gravel
8,Grass,Concrete,Gravel
9,Linoleum,Concrete,Asphalt
10,Linoleum,Concrete,Asphalt
11,Linoleum,Concrete,Grass
12,Grass,Concrete,Grass
13,Grass,Concrete,Asphalt
14,Sidewalk,Asphalt,Grass
15,Sidewalk,Sidewalk,Grass
16,Sidewalk,Asphalt,Asphalt
17,Sidewalk,Sidewalk,Grass
18,Sidewalk,Grass,Grass
19,Sidewalk,Grass,Grass
20,Sidewalk,Sidewalk,Asphalt
21,Sidewalk,Sidewalk,Asphalt
22,Sidewalk,Sidewalk,Asphalt
23,Sidewalk,Sidewalk,Asphalt
24,Sidewalk,Sidewalk,Asphalt
25,Sidewalk,Sidewalk,Asphalt
26,Sidewalk,Sidewalk,Grass
27,Sidewalk,Sidewalk,Grass
28,Sidewalk,Sidewalk,Asphalt
29,Sidewalk,Sidewalk,Grass
30,Sidewalk,Sidewalk,Grass
31,Sidewalk,Sidewalk,Grass
32,Sidewalk,Sidewalk,Asphalt
33,Sidewalk,Sidewalk,Asphalt
34,Sidewalk,Sidewalk,Sidewalk
35,Sidewalk,Sidewalk,Sidewalk
36,Sidewalk,Sidewalk,Sidewalk
37,Sidewalk,Sidewalk,Asphalt
38,Sidewalk,Sidewalk,Asphalt
39,Sidewalk,Sidewalk,Asphalt
40,Sidewalk,Sidewalk,Asphalt
41,Sidewalk,Asphalt,Asphalt
42,Grass,Asphalt,Grass
43,Grass,Linoleum,Grass
44,Grass,Linoleum,Linoleum
45,Linoleum,Grass,Linoleum
46,Linoleum,Linoleum,Linoleum
47,Linoleum,Concrete,Linoleum
48,Linoleum,Linoleum,Linoleum
49,Linoleum,Grass,Linoleum
50,Linoleum,Gravel,Sidewalk
51,Linoleum,Gravel,Sidewalk
52,Linoleum,Gravel,Asphalt
53,Sidewalk,Gravel,Sidewalk
54,Concrete,Gravel,Concrete
55,Concrete,Gravel,Asphalt
56,Concrete,Gravel,Asphalt
57,Linoleum,Gravel,Concrete
58,Linoleum,Gravel,Concrete
59,Linoleum,Gravel,Sidewalk
60,Linoleum,Gravel,Sidewalk
61,Linoleum,Gravel,Carpet
62,Linoleum,Gravel,Sidewalk
63,Linoleum,Gravel,Sidewalk
64,Linoleum,Gravel,Sidewalk
65,Linoleum,Gravel,Sidewalk
66,Linoleum,Gravel,Sidewalk
67,Linoleum,Gravel,Sidewalk
68,Linoleum,Gravel,Sidewalk
69,Linoleum,Gravel,Sidewalk
70,Linoleum,Gravel,Sidewalk
71,Concrete,Gravel,Gravel
72,Linoleum,Gravel,Gravel
73,Linoleum,Gravel,Sidewalk
74,Asphalt,Gravel,Sidewalk
75,Carpet,Gravel,Sidewalk
76,Asphalt,Gravel,Sidewalk
77,Linoleum,Gravel,Sidewalk
78,Linoleum,Gravel,Gravel
79,Linoleum,Gravel,Gravel
80,Linoleum,Gravel,Sidewalk
81,Linoleum,Gravel,Sidewalk
82,Linoleum,Gravel,Sidewalk
83,Linoleum,Gravel,Sidewalk
84,Linoleum,Gravel,Sidewalk
85,Linoleum,Gravel,Sidewalk
86,Linoleum,Gravel,Sidewalk
87,Linoleum,Gravel,Sidewalk
88,Linoleum,Gravel,Sidewalk
89,Linoleum,Gravel,Sidewalk
90,Linoleum,Gravel,Gravel
91,Linoleum,Gravel,Sidewalk
92,Linoleum,Gravel,Sidewalk
93,Asphalt,Gravel,Sidewalk
94,Linoleum,Gravel,Sidewalk
95,Concrete,Gravel,Sidewalk
96,Linoleum,Gravel,Sidewalk
97,Concrete,Gravel,Sidewalk
98,Concrete,Gravel,Sidewalk
99,Linoleum,Gravel,Sidewalk
100,Linoleum,Gravel,Gravel
101,Linoleum,Gravel,Gravel
102,Linoleum,Gravel,Sidewalk
103,Linoleum,Gravel,Sidewalk
104,Linoleum,Gravel,Asphalt
105,Linoleum,Gravel,Sidewalk
106,Linoleum,Gravel,Sidewalk
107,Linoleum,Gravel,Sidewalk
108,Linoleum,Gravel,Sidewalk
109,Linoleum,Gravel,Sidewalk
110,Linoleum,Gravel,Asphalt
111,Linoleum,Gravel,Sidewalk
112,Linoleum,Gravel,Sidewalk
113,Linoleum,Gravel,Sidewalk
114,Linoleum,Gravel,Asphalt
115,Linoleum,Gravel,Sidewalk
116,Linoleum,Gravel,Sidewalk
117,Linoleum,Gravel,Sidewalk
118,Linoleum,Gravel,Sidewalk
119,Linoleum,Gravel,Asphalt
120,Linoleum,Gravel,Sidewalk
121,Carpet,Gravel,Concrete
122,Linoleum,Gravel,Carpet
123,Linoleum,Gravel,Sidewalk
124,Linoleum,Gravel,Carpet
125,Linoleum,Gravel,Carpet
126,Linoleum,Gravel,Carpet
127,Linoleum,Gravel,Sidewalk
128,Linoleum,Gravel,Sidewalk
129,Linoleum,Gravel,Sidewalk
130,Linoleum,Gravel,Sidewalk
131,Linoleum,Gravel,Sidewalk
132,Linoleum,Gravel,Asphalt
133,Linoleum,Gravel,Sidewalk
134,Linoleum,Gravel,Sidewalk
135,Linoleum,Gravel,Sidewalk
136,Linoleum,Gravel,Sidewalk
137,Linoleum,Gravel,Sidewalk
138,Linoleum,Gravel,Sidewalk
139,Linoleum,Gravel,Sidewalk
140,Linoleum,Gravel,Sidewalk
141,Linoleum,Gravel,Sidewalk
142,Linoleum,Gravel,Sidewalk
143,Concrete,Gravel,Sidewalk
144,Linoleum,Gravel,Sidewalk
145,Linoleum,Gravel,Sidewalk
146,Linoleum,Gravel,Asphalt
147,Linoleum,Gravel,Sidewalk
148,Linoleum,Gravel,Sidewalk
149,Concrete,Gravel,Sidewalk
150,Linoleum,Gravel,Sidewalk
151,Linoleum,Gravel,Sidewalk
152,Linoleum,Gravel,Sidewalk
153,Linoleum,Gravel,Sidewalk
154,Asphalt,Gravel,Sidewalk
155,Concrete,Gravel,Sidewalk
156,Sidewalk,Gravel,Sidewalk
157,Sidewalk,Gravel,Gravel
158,Sidewalk,Gravel,Sidewalk
159,Sidewalk,Gravel,Sidewalk
160,Sidewalk,Gravel,Sidewalk
161,Sidewalk,Gravel,Sidewalk
162,Concrete,Gravel,Sidewalk
163,Carpet,Gravel,Sidewalk
164,Concrete,Gravel,Sidewalk
165,Concrete,Gravel,Sidewalk
166,Concrete,Gravel,Sidewalk
167,Linoleum,Gravel,Sidewalk
168,Linoleum,Gravel,Sidewalk
169,Linoleum,Gravel,Sidewalk
170,Sidewalk,Gravel,Sidewalk
171,Concrete,Gravel,Gravel
172,Linoleum,Gravel,Asphalt
173,Linoleum,Gravel,Sidewalk
174,Linoleum,Gravel,Sidewalk
175,Linoleum,Gravel,Sidewalk
176,Linoleum,Gravel,Sidewalk
177,Linoleum,Gravel,Asphalt
178,Linoleum,Gravel,Sidewalk
179,Linoleum,Gravel,Sidewalk
180,Linoleum,Gravel,Sidewalk
181,Linoleum,Gravel,Sidewalk
182,Linoleum,Gravel,Gravel
183,Linoleum,Gravel,Sidewalk
184,Linoleum,Gravel,Sidewalk
185,Linoleum,Gravel,Sidewalk
186,Linoleum,Gravel,Sidewalk
187,Linoleum,Gravel,Sidewalk
188,Linoleum,Gravel,Sidewalk
189,Linoleum,Gravel,Asphalt
190,Linoleum,Gravel,Sidewalk
191,Concrete,Gravel,Sidewalk
192,Linoleum,Gravel,Sidewalk
193,Linoleum,Gravel,Sidewalk
194,Linoleum,Gravel,Sidewalk
195,Linoleum,Gravel,Asphalt
196,Linoleum,Gravel,Asphalt
197,Linoleum,Gravel,Asphalt
198,Linoleum,Gravel,Carpet
199,Linoleum,Gravel,Carpet
200,Concrete,Gravel,Sidewalk
201,Concrete,Gravel,Sidewalk
202,Linoleum,Gravel,Sidewalk
203,Linoleum,Gravel,Asphalt
204,Linoleum,Gravel,Carpet
205,Linoleum,Gravel,Sidewalk
206,Linoleum,Gravel,Sidewalk
207,Linoleum,Gravel,Sidewalk
208,Linoleum,Gravel,Sidewalk
209,Linoleum,Gravel,Sidewalk
210,Linoleum,Gravel,Sidewalk
211,Linoleum,Gravel,Sidewalk
212,Gravel,Gravel,Sidewalk
213,Linoleum,Gravel,Sidewalk
214,Linoleum,Gravel,Concrete
215,Linoleum,Gravel,Sidewalk
216,Linoleum,Gravel,Sidewalk
217,Linoleum,Gravel,Sidewalk
218,Linoleum,Gravel,Sidewalk
219,Linoleum,Gravel,Sidewalk
220,Linoleum,Gravel,Sidewalk
221,Linoleum,Gravel,Sidewalk
222,Concrete,Gravel,Sidewalk
223,Linoleum,Gravel,Sidewalk
224,Linoleum,Gravel,Sidewalk
225,Concrete,Gravel,Sidewalk
226,Concrete,Gravel,Sidewalk
227,Concrete,Gravel,Sidewalk
228,Linoleum,Gravel,Sidewalk
229,Linoleum,Gravel,Sidewalk
230,Concrete,Gravel,Sidewalk
231,Concrete,Gravel,Gravel
232,Concrete,Gravel,Gravel
233,Linoleum,Gravel,Gravel
234,Linoleum,Gravel,Gravel
235,Asphalt,Gravel,Gravel
236,Carpet,Gravel,Sidewalk
237,Linoleum,Gravel,Gravel
238,Asphalt,Gravel,Sidewalk
239,Asphalt,Gravel,Gravel
240,Asphalt,Gravel,Gravel
241,Concrete,Gravel,Gravel
242,Linoleum,Gravel,Sidewalk
243,Concrete,Gravel,Sidewalk
244,Concrete,Gravel,Sidewalk
245,Linoleum,Gravel,Sidewalk
246,Linoleum,Gravel,Gravel
247,Sidewalk,Gravel,Gravel
248,Concrete,Gravel,Asphalt
249,Concrete,Gravel,Asphalt
250,Concrete,Gravel,Sidewalk
251,Concrete,Gravel,Sidewalk
252,Linoleum,Gravel,Asphalt
253,Linoleum,Gravel,Sidewalk
254,Linoleum,Gravel,Sidewalk
255,Linoleum,Gravel,Sidewalk
256,Linoleum,Gravel,Sidewalk
257,Linoleum,Gravel,Gravel
258,Linoleum,Gravel,Sidewalk
259,Linoleum,Gravel,Sidewalk
260,Linoleum,Gravel,Sidewalk
261,Concrete,Gravel,Sidewalk
262,Linoleum,Gravel,Sidewalk
263,Linoleum,Gravel,Sidewalk
264,Linoleum,Gravel,Sidewalk
265,Linoleum,Gravel,Sidewalk
266,Linoleum,Gravel,Sidewalk
267,Linoleum,Gravel,Sidewalk
268,Linoleum,Gravel,Sidewalk
269,Linoleum,Gravel,Asphalt
270,Linoleum,Gravel,Asphalt
271,Linoleum,Gravel,Asphalt
272,Linoleum,Gravel,Asphalt
273,Linoleum,Gravel,Asphalt
274,Linoleum,Gravel,Asphalt
275,Linoleum,Gravel,Sidewalk
276,Linoleum,Gravel,Sidewalk
277,Linoleum,Gravel,Sidewalk
278,Concrete,Gravel,Sidewalk
279,Concrete,Gravel,Sidewalk
280,Linoleum,Gravel,Sidewalk
281,Linoleum,Gravel,Sidewalk
282,Linoleum,Gravel,Sidewalk
283,Linoleum,Gravel,Asphalt
284,Linoleum,Gravel,Sidewalk
285,Linoleum,Gravel,Sidewalk
286,Linoleum,Gravel,Sidewalk
287,Linoleum,Gravel,Sidewalk
288,Linoleum,Gravel,Sidewalk
289,Linoleum,Gravel,Sidewalk
290,Linoleum,Gravel,Sidewalk
291,Concrete,Gravel,Sidewalk
292,Linoleum,Gravel,Sidewalk
293,Linoleum,Gravel,Sidewalk
294,Linoleum,Gravel,Gravel
295,Gravel,Gravel,Gravel
296,Linoleum,Gravel,Sidewalk
297,Linoleum,Gravel,Sidewalk
298,Linoleum,Gravel,Sidewalk
299,Linoleum,Gravel,Sidewalk
300,Linoleum,Gravel,Gravel
301,Linoleum,Gravel,Sidewalk
302,Sidewalk,Gravel,Gravel
303,Concrete,Gravel,Gravel
304,Concrete,Gravel,Sidewalk
305,Concrete,Gravel,Gravel
306,Linoleum,Gravel,Gravel
307,Linoleum,Gravel,Sidewalk
308,Asphalt,Gravel,Sidewalk
309,Linoleum,Gravel,Sidewalk
310,Concrete,Gravel,Sidewalk
311,Linoleum,Gravel,Gravel
312,Linoleum,Gravel,Sidewalk
313,Concrete,Gravel,Sidewalk
314,Asphalt,Gravel,Sidewalk
315,Asphalt,Gravel,Sidewalk
316,Concrete,Gravel,Sidewalk
317,Concrete,Gravel,Sidewalk
318,Linoleum,Gravel,Sidewalk
319,Linoleum,Gravel,Asphalt
320,Linoleum,Gravel,Sidewalk
321,Concrete,Gravel,Sidewalk
322,Concrete,Gravel,Sidewalk
323,Concrete,Gravel,Sidewalk
324,Linoleum,Gravel,Sidewalk
325,Concrete,Gravel,Sidewalk
326,Linoleum,Gravel,Gravel
327,Concrete,Gravel,Sidewalk
328,Linoleum,Gravel,Gravel
329,Linoleum,Gravel,Sidewalk
330,Linoleum,Gravel,Sidewalk
331,Linoleum,Gravel,Gravel
332,Linoleum,Gravel,Sidewalk
333,Linoleum,Gravel,Gravel
334,Linoleum,Gravel,Sidewalk
335,Linoleum,Gravel,Asphalt
336,Linoleum,Gravel,Sidewalk
337,Gravel,Gravel,Sidewalk
338,Linoleum,Gravel,Sidewalk
339,Linoleum,Gravel,Asphalt
340,Linoleum,Gravel,Sidewalk
341,Linoleum,Gravel,Asphalt
342,Linoleum,Gravel,Asphalt
343,Linoleum,Gravel,Asphalt
344,Linoleum,Gravel,Sidewalk
345,Linoleum,Gravel,Carpet
346,Concrete,Gravel,Carpet
347,Linoleum,Gravel,Asphalt
348,Linoleum,Gravel,Asphalt
349,Concrete,Gravel,Carpet
350,Concrete,Gravel,Sidewalk
351,Linoleum,Gravel,Sidewalk
352,Linoleum,Gravel,Sidewalk
353,Linoleum,Gravel,Sidewalk
354,Linoleum,Gravel,Sidewalk
355,Linoleum,Gravel,Sidewalk
356,Linoleum,Gravel,Sidewalk
357,Linoleum,Gravel,Sidewalk
358,Linoleum,Gravel,Gravel
359,Linoleum,Gravel,Sidewalk
360,Linoleum,Gravel,Sidewalk
361,Concrete,Gravel,Sidewalk
362,Linoleum,Gravel,Sidewalk
363,Linoleum,Gravel,Sidewalk
364,Linoleum,Gravel,Sidewalk
365,Linoleum,Gravel,Sidewalk
366,Linoleum,Gravel,Sidewalk
367,Linoleum,Gravel,Gravel
368,Linoleum,Gravel,Sidewalk
369,Linoleum,Gravel,Gravel
370,Linoleum,Gravel,Gravel
371,Asphalt,Gravel,Gravel
372,Carpet,Gravel,Gravel
373,Linoleum,Gravel,Sidewalk
374,Linoleum,Gravel,Asphalt
375,Concrete,Gravel,Gravel
376,Asphalt,Gravel,Sidewalk
377,Asphalt,Gravel,Sidewalk
378,Linoleum,Gravel,Sidewalk
379,Linoleum,Gravel,Sidewalk
380,Concrete,Gravel,Sidewalk
381,Concrete,Gravel,Sidewalk
382,Linoleum,Gravel,Sidewalk
383,Linoleum,Gravel,Sidewalk
384,Linoleum,Gravel,Sidewalk
385,Concrete,Gravel,Gravel
386,Linoleum,Gravel,Sidewalk
387,Concrete,Gravel,Gravel
388,Linoleum,Gravel,Asphalt
389,Linoleum,Gravel,Gravel
390,Linoleum,Gravel,Sidewalk
391,Gravel,Gravel,Sidewalk
392,Linoleum,Gravel,Asphalt
393,Linoleum,Gravel,Gravel
394,Linoleum,Gravel,Sidewalk
395,Linoleum,Gravel,Gravel
396,Linoleum,Gravel,Sidewalk
397,Linoleum,Gravel,Sidewalk
398,Linoleum,Gravel,Sidewalk
399,Linoleum,Gravel,Sidewalk
400,Linoleum,Gravel,Asphalt
401,Linoleum,Gravel,Sidewalk
402,Linoleum,Gravel,Linoleum
403,Linoleum,Gravel,Sidewalk
404,Linoleum,Gravel,Sidewalk
405,Linoleum,Gravel,Sidewalk
406,Linoleum,Gravel,Carpet
407,Linoleum,Gravel,Asphalt
408,Linoleum,Gravel,Sidewalk
409,Linoleum,Gravel,Sidewalk
410,Linoleum,Gravel,Carpet
411,Linoleum,Gravel,Carpet
412,Linoleum,Gravel,Sidewalk
413,Linoleum,Gravel,Sidewalk
414,Linoleum,Gravel,Sidewalk
415,Linoleum,Gravel,Sidewalk
416,Linoleum,Gravel,Sidewalk
417,Linoleum,Gravel,Gravel
418,Linoleum,Gravel,Sidewalk
419,Linoleum,Gravel,Sidewalk
420,Linoleum,Gravel,Sidewalk
421,Linoleum,Gravel,Gravel
422,Linoleum,Gravel,Sidewalk
423,Linoleum,Gravel,Gravel
424,Concrete,Gravel,Sidewalk
425,Concrete,Gravel,Asphalt
426,Linoleum,Gravel,Sidewalk
427,Linoleum,Gravel,Sidewalk
428,Sidewalk,Gravel,Sidewalk
429,Sidewalk,Gravel,Sidewalk
430,Asphalt,Gravel,Sidewalk
431,Linoleum,Gravel,Sidewalk
432,Linoleum,Gravel,Sidewalk
433,Linoleum,Gravel,Gravel
434,Linoleum,Gravel,Sidewalk
435,Linoleum,Gravel,Sidewalk
436,Carpet,Gravel,Sidewalk
437,Linoleum,Gravel,Sidewalk
438,Linoleum,Gravel,Sidewalk
439,Carpet,Gravel,Sidewalk
440,Linoleum,Gravel,Asphalt
441,Linoleum,Gravel,Sidewalk
442,Linoleum,Gravel,Asphalt
443,Linoleum,Gravel,Sidewalk
444,Concrete,Gravel,Sidewalk
445,Linoleum,Gravel,Sidewalk
446,Linoleum,Gravel,Sidewalk
447,Linoleum,Gravel,Sidewalk
448,Linoleum,Gravel,Sidewalk
449,Linoleum,Gravel,Sidewalk
450,Concrete,Gravel,Sidewalk
451,Linoleum,Gravel,Sidewalk
452,Linoleum,Gravel,Sidewalk
453,Linoleum,Gravel,Gravel
454,Linoleum,Gravel,Sidewalk
455,Linoleum,Gravel,Asphalt
456,Linoleum,Gravel,Sidewalk
457,Linoleum,Gravel,Asphalt
458,Concrete,Gravel,Asphalt
459,Linoleum,Gravel,Asphalt
460,Linoleum,Gravel,Carpet
461,Linoleum,Gravel,Carpet
462,Linoleum,Gravel,Carpet
463,Linoleum,Gravel,Sidewalk
464,Linoleum,Gravel,Sidewalk
465,Linoleum,Gravel,Sidewalk
466,Linoleum,Gravel,Asphalt
