,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Grass,Concrete,Gravel
5,Grass,Concrete,Gravel
6,Grass,Concrete,Gravel
7,Grass,Concrete,Gravel
8,Grass,Concrete,Gravel
9,Grass,Concrete,Gravel
10,Grass,Concrete,Gravel
11,Grass,Concrete,Gravel
12,Grass,Concrete,Gravel
13,Linoleum,Linoleum,Sidewalk
14,Linoleum,Grass,Asphalt
15,Linoleum,Grass,Asphalt
16,Linoleum,Grass,Asphalt
17,Linoleum,Grass,Asphalt
18,Linoleum,Grass,Grass
19,Linoleum,Asphalt,Asphalt
20,Grass,Asphalt,Grass
21,Grass,Asphalt,Grass
22,Linoleum,Asphalt,Grass
23,Linoleum,Grass,Grass
24,Grass,Grass,Grass
25,Linoleum,Grass,Linoleum
26,Linoleum,Grass,Grass
27,Linoleum,Grass,Grass
28,Linoleum,Grass,Grass
29,Linoleum,Grass,Grass
30,Linoleum,Grass,Linoleum
31,Linoleum,Grass,Linoleum
32,Linoleum,Grass,Grass
33,Linoleum,Grass,Grass
34,Linoleum,Grass,Grass
35,Sidewalk,Grass,Grass
36,Sidewalk,Grass,Grass
37,Sidewalk,Grass,Grass
38,Sidewalk,Asphalt,Asphalt
39,Sidewalk,Asphalt,Asphalt
40,Linoleum,Asphalt,Grass
41,Linoleum,Asphalt,Grass
42,Linoleum,Asphalt,Grass
43,Grass,Asphalt,Asphalt
44,Grass,Asphalt,Grass
45,Grass,Asphalt,Asphalt
46,Linoleum,Asphalt,Asphalt
47,Linoleum,Grass,Linoleum
48,Linoleum,Grass,Linoleum
49,Linoleum,Grass,Linoleum
50,Carpet,Grass,Linoleum
51,Carpet,Grass,Linoleum
52,Concrete,Linoleum,Linoleum
53,Concrete,Linoleum,Linoleum
54,Concrete,Grass,Concrete
55,Concrete,Gravel,Concrete
56,Concrete,Gravel,Concrete
57,Concrete,Gravel,Concrete
58,Concrete,Gravel,Concrete
59,Concrete,Grass,Concrete
60,Linoleum,Grass,Concrete
61,Linoleum,Grass,Carpet
62,Linoleum,Grass,Carpet
63,Linoleum,Grass,Concrete
64,Linoleum,Linoleum,Linoleum
65,Linoleum,Linoleum,Carpet
66,Linoleum,Grass,Linoleum
67,Concrete,Grass,Linoleum
68,Linoleum,Linoleum,Linoleum
69,Linoleum,Grass,Linoleum
70,Linoleum,Grass,Linoleum
71,Linoleum,Grass,Carpet
72,Linoleum,Linoleum,Linoleum
73,Linoleum,Grass,Carpet
74,Linoleum,Grass,Carpet
75,Linoleum,Grass,Carpet
76,Linoleum,Grass,Carpet
77,Linoleum,Grass,Carpet
78,Linoleum,Grass,Carpet
79,Linoleum,Grass,Carpet
80,Linoleum,Grass,Carpet
81,Concrete,Grass,Concrete
82,Concrete,Grass,Concrete
83,Linoleum,Grass,Linoleum
84,Concrete,Grass,Linoleum
85,Linoleum,Grass,Carpet
86,Linoleum,Grass,Linoleum
87,Linoleum,Grass,Linoleum
88,Linoleum,Grass,Carpet
89,Linoleum,Grass,Concrete
90,Linoleum,Grass,Concrete
91,Linoleum,Grass,Concrete
92,Linoleum,Grass,Carpet
93,Linoleum,Grass,Carpet
94,Linoleum,Grass,Linoleum
95,Linoleum,Grass,Linoleum
96,Linoleum,Grass,Linoleum
97,Linoleum,Grass,Concrete
98,Linoleum,Grass,Carpet
99,Linoleum,Linoleum,Carpet
100,Linoleum,Grass,Concrete
101,Linoleum,Grass,Concrete
102,Linoleum,Grass,Carpet
103,Linoleum,Grass,Carpet
104,Linoleum,Grass,Carpet
105,Linoleum,Grass,Carpet
106,Linoleum,Grass,Carpet
107,Linoleum,Grass,Linoleum
108,Linoleum,Grass,Linoleum
109,Linoleum,Grass,Concrete
110,Linoleum,Grass,Concrete
111,Linoleum,Grass,Linoleum
112,Linoleum,Grass,Concrete
113,Concrete,Grass,Concrete
114,Concrete,Grass,Concrete
115,Concrete,Grass,Sidewalk
116,Concrete,Grass,Concrete
117,Concrete,Grass,Carpet
118,Concrete,Grass,Concrete
119,Concrete,Grass,Concrete
120,Concrete,Grass,Concrete
121,Concrete,Grass,Concrete
122,Concrete,Grass,Concrete
123,Linoleum,Grass,Concrete
124,Linoleum,Grass,Concrete
125,Linoleum,Grass,Concrete
126,Linoleum,Grass,Concrete
127,Linoleum,Grass,Concrete
128,Concrete,Grass,Linoleum
129,Concrete,Grass,Concrete
130,Linoleum,Grass,Linoleum
131,Linoleum,Grass,Concrete
132,Linoleum,Grass,Concrete
133,Linoleum,Concrete,Linoleum
134,Linoleum,Linoleum,Linoleum
135,Linoleum,Grass,Concrete
136,Linoleum,Grass,Linoleum
137,Linoleum,Grass,Linoleum
138,Linoleum,Grass,Linoleum
139,Linoleum,Grass,Carpet
140,Linoleum,Grass,Linoleum
141,Linoleum,Grass,Concrete
142,Linoleum,Grass,Carpet
143,Linoleum,Grass,Carpet
144,Linoleum,Grass,Carpet
145,Concrete,Grass,Concrete
146,Concrete,Grass,Concrete
147,Linoleum,Grass,Concrete
148,Concrete,Grass,Concrete
149,Linoleum,Grass,Concrete
150,Linoleum,Grass,Carpet
151,Linoleum,Grass,Concrete
152,Linoleum,Grass,Linoleum
153,Carpet,Grass,Concrete
154,Linoleum,Grass,Concrete
155,Carpet,Grass,Linoleum
156,Carpet,Grass,Concrete
157,Linoleum,Grass,Concrete
158,Linoleum,Grass,Concrete
159,Linoleum,Grass,Concrete
160,Linoleum,Grass,Concrete
161,Linoleum,Grass,Concrete
162,Linoleum,Grass,Concrete
163,Concrete,Grass,Linoleum
164,Concrete,Grass,Linoleum
165,Linoleum,Grass,Linoleum
166,Linoleum,Grass,Concrete
167,Linoleum,Linoleum,Linoleum
168,Linoleum,Linoleum,Linoleum
169,Linoleum,Linoleum,Linoleum
170,Linoleum,Linoleum,Concrete
171,Linoleum,Grass,Concrete
172,Linoleum,Grass,Carpet
173,Linoleum,Grass,Concrete
174,Linoleum,Grass,Concrete
175,Linoleum,Grass,Linoleum
176,Linoleum,Grass,Concrete
177,Linoleum,Grass,Linoleum
178,Linoleum,Linoleum,Carpet
179,Linoleum,Linoleum,Carpet
180,Linoleum,Grass,Concrete
181,Linoleum,Grass,Linoleum
182,Linoleum,Grass,Concrete
183,Linoleum,Grass,Concrete
184,Linoleum,Grass,Concrete
185,Linoleum,Linoleum,Carpet
186,Linoleum,Grass,Carpet
187,Linoleum,Grass,Carpet
188,Linoleum,Grass,Linoleum
189,Concrete,Grass,Carpet
190,Concrete,Grass,Carpet
191,Concrete,Grass,Carpet
192,Linoleum,Grass,Linoleum
193,Concrete,Grass,Linoleum
194,Concrete,Grass,Linoleum
195,Concrete,Grass,Concrete
196,Concrete,Grass,Linoleum
197,Concrete,Grass,Linoleum
198,Concrete,Grass,Concrete
199,Linoleum,Grass,Concrete
200,Linoleum,Grass,Linoleum
201,Linoleum,Grass,Concrete
202,Linoleum,Grass,Concrete
203,Linoleum,Grass,Concrete
204,Linoleum,Grass,Carpet
205,Linoleum,Grass,Linoleum
206,Linoleum,Grass,Linoleum
207,Linoleum,Grass,Linoleum
208,Linoleum,Linoleum,Concrete
209,Linoleum,Linoleum,Concrete
210,Linoleum,Linoleum,Concrete
211,Linoleum,Linoleum,Linoleum
212,Linoleum,Linoleum,Linoleum
213,Linoleum,Grass,Concrete
214,Linoleum,Grass,Carpet
215,Linoleum,Grass,Carpet
216,Linoleum,Grass,Concrete
217,Linoleum,Grass,Carpet
218,Linoleum,Grass,Concrete
219,Linoleum,Linoleum,Linoleum
220,Linoleum,Grass,Linoleum
221,Concrete,Grass,Concrete
222,Concrete,Grass,Carpet
223,Linoleum,Gravel,Asphalt
224,Concrete,Grass,Carpet
225,Concrete,Grass,Carpet
226,Concrete,Gravel,Linoleum
227,Concrete,Grass,Concrete
228,Concrete,Grass,Linoleum
229,Concrete,Grass,Concrete
230,Concrete,Grass,Carpet
231,Linoleum,Grass,Carpet
232,Linoleum,Grass,Carpet
233,Linoleum,Grass,Carpet
234,Linoleum,Grass,Concrete
235,Linoleum,Grass,Linoleum
236,Concrete,Grass,Linoleum
237,Concrete,Grass,Linoleum
238,Linoleum,Grass,Concrete
239,Linoleum,Grass,Linoleum
240,Linoleum,Grass,Concrete
241,Linoleum,Grass,Linoleum
242,Linoleum,Grass,Concrete
243,Linoleum,Grass,Linoleum
244,Linoleum,Grass,Linoleum
245,Linoleum,Grass,Concrete
246,Linoleum,Grass,Concrete
247,Linoleum,Grass,Linoleum
248,Linoleum,Linoleum,Concrete
249,Linoleum,Linoleum,Linoleum
250,Linoleum,Linoleum,Concrete
251,Linoleum,Linoleum,Linoleum
252,Linoleum,Linoleum,Linoleum
253,Linoleum,Linoleum,Linoleum
254,Linoleum,Grass,Carpet
255,Linoleum,Grass,Carpet
256,Concrete,Grass,Carpet
257,Concrete,Grass,Carpet
258,Concrete,Grass,Carpet
259,Concrete,Grass,Carpet
260,Concrete,Grass,Concrete
261,Concrete,Grass,Concrete
262,Concrete,Grass,Carpet
263,Concrete,Grass,Concrete
264,Linoleum,Grass,Concrete
265,Linoleum,Grass,Concrete
266,Concrete,Grass,Concrete
267,Concrete,Grass,Concrete
268,Concrete,Grass,Concrete
269,Concrete,Grass,Carpet
270,Concrete,Grass,Linoleum
271,Concrete,Grass,Concrete
272,Concrete,Grass,Linoleum
273,Linoleum,Grass,Concrete
274,Linoleum,Grass,Concrete
275,Carpet,Grass,Concrete
276,Linoleum,Grass,Concrete
277,Linoleum,Grass,Carpet
278,Linoleum,Linoleum,Carpet
279,Linoleum,Linoleum,Carpet
280,Linoleum,Grass,Concrete
281,Linoleum,Grass,Concrete
282,Linoleum,Grass,Linoleum
283,Linoleum,Grass,Linoleum
284,Linoleum,Grass,Linoleum
285,Linoleum,Linoleum,Carpet
286,Linoleum,Linoleum,Carpet
287,Linoleum,Grass,Concrete
288,Linoleum,Grass,Linoleum
289,Linoleum,Grass,Linoleum
290,Linoleum,Grass,Concrete
291,Linoleum,Grass,Linoleum
292,Linoleum,Grass,Concrete
293,Linoleum,Grass,Concrete
294,Concrete,Grass,Carpet
295,Concrete,Grass,Linoleum
296,Concrete,Grass,Concrete
297,Concrete,Grass,Linoleum
298,Concrete,Grass,Linoleum
299,Concrete,Grass,Linoleum
300,Concrete,Grass,Linoleum
301,Concrete,Grass,Linoleum
302,Linoleum,Grass,Carpet
303,Linoleum,Grass,Linoleum
304,Linoleum,Grass,Carpet
305,Linoleum,Grass,Linoleum
306,Concrete,Grass,Concrete
307,Linoleum,Grass,Carpet
308,Linoleum,Grass,Linoleum
309,Concrete,Grass,Concrete
310,Linoleum,Grass,Linoleum
311,Linoleum,Grass,Linoleum
312,Linoleum,Grass,Linoleum
313,Carpet,Grass,Linoleum
314,Linoleum,Grass,Linoleum
315,Linoleum,Grass,Carpet
316,Linoleum,Linoleum,Linoleum
317,Linoleum,Linoleum,Linoleum
318,Concrete,Grass,Linoleum
319,Concrete,Grass,Concrete
320,Concrete,Grass,Linoleum
321,Concrete,Gravel,Concrete
322,Concrete,Grass,Concrete
323,Linoleum,Grass,Concrete
324,Linoleum,Gravel,Concrete
325,Linoleum,Grass,Concrete
326,Linoleum,Grass,Linoleum
327,Linoleum,Grass,Linoleum
328,Linoleum,Grass,Carpet
329,Linoleum,Grass,Carpet
330,Concrete,Gravel,Linoleum
331,Concrete,Gravel,Carpet
332,Concrete,Gravel,Carpet
333,Concrete,Linoleum,Concrete
334,Concrete,Grass,Concrete
335,Concrete,Grass,Linoleum
336,Concrete,Grass,Concrete
337,Linoleum,Grass,Concrete
338,Linoleum,Grass,Concrete
339,Linoleum,Grass,Concrete
340,Linoleum,Grass,Concrete
341,Concrete,Grass,Concrete
342,Linoleum,Grass,Concrete
343,Concrete,Grass,Linoleum
344,Linoleum,Grass,Concrete
345,Concrete,Grass,Linoleum
346,Linoleum,Grass,Linoleum
347,Linoleum,Grass,Linoleum
348,Linoleum,Grass,Concrete
349,Linoleum,Grass,Linoleum
350,Linoleum,Grass,Linoleum
351,Linoleum,Linoleum,Linoleum
352,Linoleum,Grass,Concrete
353,Linoleum,Linoleum,Concrete
354,Linoleum,Linoleum,Concrete
355,Linoleum,Linoleum,Linoleum
356,Linoleum,Linoleum,Linoleum
357,Linoleum,Grass,Carpet
358,Linoleum,Grass,Carpet
359,Linoleum,Grass,Linoleum
360,Linoleum,Grass,Concrete
361,Linoleum,Grass,Linoleum
362,Linoleum,Grass,Concrete
363,Linoleum,Grass,Linoleum
364,Linoleum,Grass,Concrete
365,Linoleum,Grass,Carpet
366,Linoleum,Grass,Carpet
367,Linoleum,Grass,Carpet
368,Linoleum,Grass,Carpet
369,Linoleum,Grass,Carpet
370,Concrete,Grass,Carpet
371,Carpet,Grass,Linoleum
372,Carpet,Grass,Concrete
373,Linoleum,Grass,Concrete
374,Concrete,Grass,Linoleum
375,Concrete,Grass,Carpet
376,Concrete,Grass,Concrete
377,Concrete,Grass,Concrete
378,Concrete,Grass,Carpet
379,Linoleum,Grass,Concrete
380,Carpet,Grass,Linoleum
381,Linoleum,Grass,Linoleum
382,Linoleum,Grass,Linoleum
383,Linoleum,Grass,Concrete
384,Linoleum,Grass,Linoleum
385,Linoleum,Grass,Concrete
386,Linoleum,Grass,Concrete
387,Linoleum,Grass,Concrete
388,Linoleum,Grass,Linoleum
389,Linoleum,Grass,Linoleum
390,Linoleum,Gravel,Linoleum
391,Linoleum,Linoleum,Linoleum
392,Linoleum,Grass,Carpet
393,Linoleum,Linoleum,Linoleum
394,Linoleum,Grass,Linoleum
395,Linoleum,Grass,Linoleum
396,Linoleum,Grass,Linoleum
397,Linoleum,Grass,Carpet
398,Concrete,Grass,Carpet
399,Linoleum,Grass,Carpet
400,Concrete,Grass,Carpet
401,Concrete,Grass,Carpet
402,Concrete,Grass,Linoleum
403,Concrete,Grass,Linoleum
404,Concrete,Grass,Carpet
405,Linoleum,Grass,Concrete
406,Concrete,Grass,Concrete
407,Concrete,Grass,Carpet
408,Concrete,Grass,Concrete
409,Concrete,Grass,Linoleum
410,Concrete,Grass,Concrete
411,Concrete,Grass,Concrete
412,Concrete,Grass,Concrete
413,Concrete,Grass,Concrete
414,Concrete,Grass,Concrete
415,Concrete,Grass,Concrete
416,Concrete,Grass,Concrete
417,Linoleum,Grass,Concrete
418,Concrete,Grass,Concrete
419,Linoleum,Grass,Concrete
420,Concrete,Grass,Linoleum
421,Concrete,Grass,Concrete
422,Concrete,Grass,Linoleum
423,Concrete,Grass,Carpet
424,Linoleum,Grass,Linoleum
425,Linoleum,Grass,Carpet
426,Linoleum,Grass,Linoleum
427,Concrete,Gravel,Carpet
428,Linoleum,Linoleum,Linoleum
429,Linoleum,Linoleum,Linoleum
430,Linoleum,Grass,Linoleum
431,Linoleum,Linoleum,Carpet
432,Linoleum,Linoleum,Concrete
433,Linoleum,Linoleum,Concrete
434,Linoleum,Linoleum,Concrete
435,Linoleum,Linoleum,Linoleum
436,Linoleum,Grass,Concrete
437,Linoleum,Grass,Carpet
438,Linoleum,Grass,Concrete
439,Linoleum,Grass,Linoleum
440,Linoleum,Grass,Linoleum
441,Concrete,Grass,Linoleum
442,Linoleum,Grass,Linoleum
443,Concrete,Grass,Linoleum
444,Concrete,Grass,Concrete
445,Concrete,Grass,Linoleum
446,Carpet,Grass,Concrete
447,Concrete,Grass,Concrete
448,Concrete,Grass,Carpet
449,Concrete,Grass,Concrete
450,Concrete,Grass,Linoleum
451,Concrete,Grass,Carpet
452,Linoleum,Grass,Linoleum
453,Linoleum,Grass,Linoleum
454,Linoleum,Grass,Concrete
455,Linoleum,Grass,Linoleum
456,Linoleum,Grass,Linoleum
457,Linoleum,Linoleum,Concrete
458,Linoleum,Linoleum,Concrete
459,Linoleum,Linoleum,Linoleum
460,Linoleum,Linoleum,Linoleum
461,Linoleum,Linoleum,Linoleum
462,Linoleum,Grass,Linoleum
463,Linoleum,Grass,Linoleum
464,Linoleum,Grass,Carpet
465,Linoleum,Grass,Carpet
466,Linoleum,Grass,Linoleum
467,Linoleum,Gravel,Concrete
468,Linoleum,Gravel,Linoleum
469,Linoleum,Grass,Concrete
470,Linoleum,Linoleum,Carpet
471,Linoleum,Linoleum,Linoleum
472,Linoleum,Grass,Carpet
473,Linoleum,Grass,Carpet
474,Linoleum,Grass,Carpet
475,Linoleum,Grass,Carpet
476,Linoleum,Grass,Carpet
477,Concrete,Grass,Linoleum
478,Linoleum,Grass,Linoleum
479,Linoleum,Grass,Concrete
480,Linoleum,Grass,Carpet
481,Linoleum,Grass,Carpet
482,Carpet,Grass,Concrete
483,Concrete,Grass,Carpet
484,Carpet,Grass,Carpet
485,Linoleum,Grass,Carpet
486,Carpet,Grass,Carpet
487,Carpet,Grass,Carpet
488,Carpet,Grass,Carpet
489,Concrete,Grass,Carpet
490,Concrete,Grass,Carpet
491,Linoleum,Grass,Carpet
492,Concrete,Grass,Concrete
493,Linoleum,Grass,Carpet
494,Linoleum,Grass,Linoleum
495,Linoleum,Grass,Carpet
496,Linoleum,Grass,Linoleum
497,Linoleum,Grass,Linoleum
498,Linoleum,Grass,Linoleum
499,Linoleum,Grass,Concrete
500,Linoleum,Grass,Linoleum
501,Linoleum,Grass,Linoleum
502,Concrete,Linoleum,Carpet
503,Linoleum,Linoleum,Linoleum
504,Concrete,Linoleum,Carpet
505,Linoleum,Linoleum,Linoleum
506,Linoleum,Linoleum,Carpet
507,Linoleum,Grass,Concrete
508,Linoleum,Grass,Linoleum
509,Linoleum,Grass,Carpet
510,Linoleum,Grass,Concrete
511,Linoleum,Grass,Concrete
512,Linoleum,Grass,Concrete
513,Concrete,Grass,Concrete
514,Linoleum,Grass,Sidewalk
515,Linoleum,Grass,Sidewalk
516,Linoleum,Grass,Sidewalk
517,Linoleum,Grass,Sidewalk
518,Linoleum,Grass,Concrete
519,Linoleum,Grass,Concrete
520,Linoleum,Grass,Concrete
521,Linoleum,Grass,Concrete
