,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Linoleum,Linoleum,Grass
4,Linoleum,Linoleum,Grass
5,Grass,Grass,Asphalt
6,Grass,Grass,Grass
7,Grass,Grass,Grass
8,Grass,Grass,Grass
9,Grass,Asphalt,Grass
10,Grass,Grass,Asphalt
11,Grass,Asphalt,Linoleum
12,Grass,Asphalt,Asphalt
13,Grass,Grass,Asphalt
14,Gravel,Grass,Grass
15,Grass,Grass,Linoleum
16,Grass,Grass,Linoleum
17,Grass,Grass,Grass
18,Grass,Grass,Grass
19,Grass,Grass,Linoleum
20,Grass,Grass,Linoleum
21,Linoleum,Grass,Linoleum
22,Grass,Grass,Concrete
23,Linoleum,Grass,Linoleum
24,Grass,Grass,Linoleum
25,Grass,Grass,Concrete
26,Grass,Grass,Linoleum
27,Grass,Grass,Carpet
28,Grass,Grass,Carpet
29,Grass,Grass,Carpet
30,Grass,Grass,Concrete
31,Grass,Grass,Concrete
32,Grass,Grass,Linoleum
33,Linoleum,Grass,Concrete
34,Grass,Grass,Concrete
35,Linoleum,Grass,Concrete
36,Grass,Grass,Carpet
37,Grass,Grass,Concrete
38,Grass,Grass,Concrete
39,Grass,Grass,Concrete
40,Grass,Grass,Concrete
41,Linoleum,Grass,Linoleum
42,Grass,Grass,Concrete
43,Grass,Grass,Linoleum
44,Grass,Grass,Linoleum
45,Grass,Grass,Concrete
46,Grass,Grass,Concrete
47,Grass,Grass,Linoleum
48,Grass,Grass,Linoleum
49,Linoleum,Grass,Linoleum
50,Grass,Grass,Linoleum
51,Grass,Grass,Linoleum
52,Grass,Grass,Sidewalk
53,Grass,Grass,Carpet
54,Linoleum,Grass,Carpet
55,Concrete,Grass,Linoleum
56,Linoleum,Grass,Linoleum
57,Linoleum,Grass,Linoleum
58,Concrete,Grass,Concrete
59,Linoleum,Grass,Concrete
60,Linoleum,Grass,Linoleum
61,Grass,Grass,Concrete
62,Grass,Grass,Linoleum
63,Grass,Grass,Concrete
64,Grass,Grass,Linoleum
65,Grass,Grass,Linoleum
66,Grass,Grass,Concrete
67,Grass,Grass,Concrete
68,Grass,Grass,Concrete
69,Grass,Grass,Concrete
70,Grass,Grass,Concrete
71,Grass,Grass,Concrete
72,Grass,Grass,Concrete
73,Grass,Grass,Linoleum
74,Linoleum,Grass,Linoleum
75,Grass,Grass,Linoleum
76,Grass,Grass,Concrete
77,Grass,Grass,Linoleum
78,Grass,Grass,Concrete
79,Linoleum,Grass,Linoleum
80,Linoleum,Grass,Grass
81,Grass,Grass,Linoleum
82,Grass,Grass,Grass
83,Grass,Grass,Grass
84,Grass,Grass,Grass
85,Grass,Grass,Grass
86,Grass,Grass,Concrete
87,Grass,Grass,Concrete
88,Grass,Linoleum,Linoleum
89,Grass,Grass,Linoleum
90,Linoleum,Grass,Concrete
91,Linoleum,Grass,Linoleum
92,Linoleum,Grass,Linoleum
93,Grass,Grass,Concrete
94,Linoleum,Grass,Concrete
95,Linoleum,Grass,Grass
96,Grass,Grass,Concrete
97,Grass,Grass,Concrete
98,Linoleum,Grass,Linoleum
99,Concrete,Grass,Linoleum
100,Linoleum,Grass,Concrete
101,Concrete,Grass,Linoleum
102,Grass,Grass,Concrete
103,Grass,Grass,Concrete
104,Linoleum,Grass,Linoleum
105,Grass,Grass,Concrete
106,Grass,Grass,Concrete
107,Grass,Grass,Concrete
108,Linoleum,Grass,Linoleum
109,Linoleum,Grass,Linoleum
110,Grass,Grass,Linoleum
111,Grass,Grass,Concrete
112,Grass,Grass,Carpet
113,Grass,Grass,Linoleum
114,Linoleum,Grass,Carpet
115,Grass,Grass,Concrete
116,Grass,Grass,Linoleum
117,Grass,Grass,Linoleum
118,Linoleum,Grass,Linoleum
119,Grass,Grass,Grass
120,Linoleum,Grass,Linoleum
121,Linoleum,Grass,Grass
122,Grass,Grass,Carpet
123,Linoleum,Grass,Grass
124,Grass,Grass,Grass
125,Grass,Grass,Linoleum
126,Grass,Grass,Grass
127,Grass,Grass,Grass
128,Linoleum,Grass,Linoleum
129,Linoleum,Grass,Grass
130,Linoleum,Grass,Linoleum
131,Linoleum,Grass,Grass
132,Grass,Grass,Grass
133,Grass,Grass,Concrete
134,Grass,Grass,Carpet
135,Grass,Grass,Carpet
136,Grass,Grass,Carpet
137,Grass,Grass,Carpet
138,Grass,Grass,Concrete
139,Grass,Grass,Concrete
140,Grass,Grass,Carpet
141,Grass,Grass,Carpet
142,Linoleum,Grass,Carpet
143,Linoleum,Grass,Concrete
144,Linoleum,Grass,Grass
145,Linoleum,Grass,Concrete
146,Grass,Grass,Linoleum
147,Grass,Grass,Carpet
148,Grass,Grass,Linoleum
149,Grass,Grass,Concrete
150,Grass,Grass,Grass
151,Grass,Grass,Concrete
152,Linoleum,Grass,Linoleum
153,Linoleum,Grass,Linoleum
154,Linoleum,Grass,Carpet
155,Grass,Grass,Carpet
156,Grass,Grass,Linoleum
157,Grass,Grass,Concrete
158,Grass,Grass,Grass
159,Linoleum,Grass,Concrete
160,Grass,Grass,Linoleum
161,Grass,Grass,Linoleum
162,Linoleum,Grass,Linoleum
163,Linoleum,Grass,Linoleum
164,Linoleum,Grass,Linoleum
165,Linoleum,Grass,Linoleum
166,Linoleum,Grass,Concrete
167,Grass,Grass,Linoleum
168,Grass,Grass,Linoleum
169,Linoleum,Grass,Linoleum
170,Grass,Grass,Concrete
171,Grass,Grass,Concrete
172,Grass,Grass,Linoleum
173,Grass,Grass,Linoleum
174,Grass,Grass,Linoleum
175,Linoleum,Grass,Linoleum
176,Linoleum,Grass,Linoleum
177,Linoleum,Grass,Carpet
178,Grass,Grass,Concrete
179,Grass,Grass,Concrete
180,Grass,Grass,Carpet
181,Grass,Grass,Linoleum
182,Grass,Grass,Linoleum
183,Grass,Grass,Concrete
184,Grass,Grass,Carpet
185,Grass,Grass,Concrete
186,Grass,Grass,Concrete
187,Grass,Grass,Carpet
188,Linoleum,Grass,Carpet
189,Grass,Grass,Concrete
190,Linoleum,Grass,Concrete
191,Grass,Grass,Carpet
192,Grass,Grass,Carpet
193,Grass,Grass,Linoleum
194,Grass,Grass,Grass
195,Linoleum,Grass,Linoleum
196,Linoleum,Grass,Concrete
197,Grass,Grass,Linoleum
198,Linoleum,Grass,Grass
199,Grass,Grass,Grass
200,Linoleum,Grass,Concrete
201,Grass,Grass,Linoleum
202,Grass,Grass,Linoleum
203,Grass,Grass,Grass
204,Linoleum,Grass,Concrete
205,Linoleum,Grass,Linoleum
206,Grass,Grass,Linoleum
207,Grass,Grass,Carpet
208,Grass,Grass,Concrete
209,Concrete,Grass,Concrete
210,Linoleum,Grass,Linoleum
211,Grass,Grass,Linoleum
212,Grass,Grass,Linoleum
213,Grass,Grass,Linoleum
214,Grass,Grass,Linoleum
215,Grass,Grass,Concrete
216,Grass,Grass,Concrete
217,Grass,Grass,Linoleum
218,Grass,Grass,Linoleum
219,Linoleum,Grass,Linoleum
220,Grass,Grass,Linoleum
221,Linoleum,Grass,Linoleum
222,Grass,Grass,Grass
223,Linoleum,Grass,Linoleum
224,Linoleum,Grass,Carpet
225,Grass,Grass,Linoleum
226,Grass,Grass,Concrete
227,Grass,Grass,Linoleum
228,Linoleum,Grass,Carpet
229,Linoleum,Grass,Concrete
230,Linoleum,Grass,Concrete
231,Linoleum,Grass,Linoleum
232,Grass,Grass,Concrete
233,Grass,Grass,Concrete
234,Grass,Grass,Carpet
235,Linoleum,Grass,Linoleum
236,Grass,Grass,Linoleum
237,Grass,Grass,Linoleum
238,Linoleum,Grass,Concrete
239,Grass,Grass,Linoleum
240,Grass,Grass,Linoleum
241,Grass,Grass,Concrete
242,Linoleum,Grass,Concrete
243,Linoleum,Grass,Concrete
244,Linoleum,Grass,Linoleum
245,Grass,Grass,Linoleum
246,Grass,Grass,Concrete
247,Grass,Grass,Concrete
248,Linoleum,Grass,Concrete
249,Grass,Grass,Carpet
250,Linoleum,Grass,Linoleum
251,Grass,Grass,Concrete
252,Grass,Grass,Concrete
253,Grass,Grass,Concrete
254,Grass,Grass,Concrete
255,Grass,Grass,Linoleum
256,Linoleum,Grass,Linoleum
257,Linoleum,Grass,Concrete
258,Concrete,Grass,Linoleum
259,Grass,Grass,Linoleum
260,Grass,Grass,Linoleum
261,Grass,Grass,Concrete
262,Grass,Grass,Linoleum
263,Grass,Grass,Linoleum
264,Grass,Grass,Concrete
265,Grass,Grass,Concrete
266,Grass,Grass,Linoleum
267,Linoleum,Grass,Linoleum
268,Grass,Grass,Linoleum
269,Grass,Grass,Grass
270,Grass,Grass,Grass
271,Linoleum,Grass,Linoleum
272,Grass,Grass,Concrete
273,Linoleum,Grass,Linoleum
274,Linoleum,Grass,Linoleum
275,Grass,Grass,Concrete
276,Linoleum,Grass,Linoleum
277,Grass,Grass,Linoleum
278,Grass,Grass,Concrete
279,Grass,Grass,Concrete
280,Grass,Grass,Linoleum
281,Linoleum,Grass,Linoleum
282,Concrete,Grass,Linoleum
283,Concrete,Grass,Linoleum
284,Concrete,Grass,Carpet
285,Linoleum,Grass,Concrete
286,Grass,Grass,Linoleum
287,Grass,Grass,Concrete
288,Grass,Grass,Concrete
289,Grass,Grass,Concrete
290,Concrete,Grass,Linoleum
291,Linoleum,Grass,Concrete
292,Concrete,Grass,Linoleum
293,Grass,Grass,Linoleum
294,Grass,Grass,Linoleum
295,Grass,Grass,Linoleum
296,Grass,Grass,Concrete
297,Linoleum,Grass,Concrete
298,Grass,Grass,Grass
299,Grass,Grass,Linoleum
300,Grass,Grass,Concrete
301,Grass,Grass,Concrete
302,Grass,Grass,Linoleum
303,Grass,Grass,Linoleum
304,Linoleum,Grass,Linoleum
305,Linoleum,Grass,Linoleum
306,Grass,Grass,Linoleum
307,Grass,Grass,Linoleum
308,Grass,Grass,Linoleum
309,Linoleum,Grass,Concrete
310,Grass,Grass,Linoleum
311,Linoleum,Grass,Linoleum
312,Concrete,Grass,Concrete
313,Grass,Grass,Concrete
314,Linoleum,Grass,Concrete
315,Grass,Grass,Linoleum
316,Grass,Grass,Linoleum
317,Grass,Grass,Linoleum
318,Linoleum,Grass,Linoleum
319,Linoleum,Grass,Linoleum
320,Linoleum,Grass,Concrete
321,Linoleum,Grass,Concrete
322,Grass,Grass,Concrete
323,Linoleum,Grass,Linoleum
324,Grass,Grass,Concrete
325,Linoleum,Grass,Concrete
326,Grass,Grass,Linoleum
327,Grass,Grass,Linoleum
328,Grass,Grass,Grass
329,Grass,Grass,Concrete
330,Linoleum,Grass,Linoleum
331,Linoleum,Grass,Linoleum
332,Grass,Grass,Concrete
333,Grass,Grass,Concrete
334,Grass,Grass,Linoleum
335,Linoleum,Grass,Concrete
336,Linoleum,Grass,Linoleum
337,Grass,Grass,Carpet
338,Linoleum,Grass,Concrete
339,Concrete,Grass,Concrete
340,Linoleum,Grass,Concrete
341,Grass,Grass,Linoleum
342,Linoleum,Grass,Concrete
343,Linoleum,Grass,Concrete
344,Grass,Grass,Concrete
345,Grass,Grass,Linoleum
346,Grass,Grass,Linoleum
347,Grass,Grass,Concrete
348,Grass,Grass,Linoleum
349,Grass,Grass,Linoleum
350,Grass,Grass,Linoleum
351,Grass,Grass,Linoleum
352,Grass,Grass,Linoleum
353,Grass,Grass,Concrete
354,Grass,Grass,Carpet
355,Grass,Grass,Linoleum
356,Grass,Grass,Concrete
357,Grass,Grass,Concrete
358,Grass,Grass,Linoleum
359,Grass,Grass,Carpet
360,Linoleum,Grass,Carpet
361,Grass,Grass,Concrete
362,Linoleum,Grass,Linoleum
363,Linoleum,Grass,Linoleum
364,Grass,Grass,Concrete
365,Grass,Grass,Concrete
366,Grass,Grass,Grass
367,Grass,Grass,Concrete
368,Grass,Grass,Concrete
369,Grass,Grass,Concrete
370,Grass,Grass,Concrete
371,Grass,Grass,Linoleum
372,Grass,Grass,Linoleum
373,Grass,Grass,Concrete
374,Grass,Grass,Concrete
375,Grass,Grass,Concrete
376,Grass,Grass,Grass
377,Grass,Grass,Grass
378,Grass,Grass,Grass
379,Grass,Grass,Linoleum
380,Grass,Grass,Carpet
381,Grass,Grass,Linoleum
382,Grass,Grass,Linoleum
383,Linoleum,Grass,Concrete
384,Linoleum,Grass,Carpet
385,Linoleum,Grass,Linoleum
386,Grass,Grass,Concrete
387,Grass,Grass,Grass
388,Grass,Grass,Concrete
389,Linoleum,Grass,Linoleum
390,Linoleum,Grass,Concrete
391,Linoleum,Grass,Concrete
392,Grass,Grass,Concrete
393,Linoleum,Grass,Carpet
394,Linoleum,Grass,Concrete
395,Linoleum,Grass,Linoleum
396,Grass,Grass,Concrete
397,Grass,Grass,Concrete
398,Grass,Grass,Linoleum
399,Linoleum,Grass,Linoleum
400,Grass,Grass,Linoleum
401,Grass,Grass,Linoleum
402,Linoleum,Grass,Carpet
403,Linoleum,Grass,Carpet
404,Linoleum,Grass,Concrete
405,Grass,Grass,Grass
406,Grass,Grass,Concrete
407,Grass,Grass,Grass
408,Grass,Grass,Linoleum
409,Grass,Grass,Linoleum
410,Grass,Grass,Linoleum
411,Grass,Grass,Concrete
412,Grass,Grass,Linoleum
413,Grass,Grass,Concrete
414,Linoleum,Grass,Carpet
415,Linoleum,Grass,Linoleum
416,Grass,Grass,Linoleum
417,Grass,Grass,Linoleum
418,Grass,Grass,Concrete
419,Linoleum,Grass,Concrete
420,Linoleum,Grass,Concrete
421,Linoleum,Grass,Linoleum
422,Concrete,Grass,Concrete
423,Linoleum,Grass,Linoleum
424,Grass,Grass,Linoleum
425,Grass,Grass,Concrete
426,Grass,Grass,Concrete
427,Grass,Grass,Concrete
428,Linoleum,Grass,Concrete
429,Grass,Grass,Linoleum
430,Grass,Grass,Grass
431,Grass,Grass,Linoleum
432,Grass,Gravel,Carpet
433,Linoleum,Linoleum,Carpet
434,Grass,Grass,Linoleum
