,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Linoleum,Linoleum,Asphalt
5,Grass,Linoleum,Asphalt
6,Grass,Sidewalk,Asphalt
7,Grass,Asphalt,Grass
8,Grass,Grass,Asphalt
9,Grass,Asphalt,Asphalt
10,Grass,Asphalt,Asphalt
11,Grass,Sidewalk,Asphalt
12,Grass,Sidewalk,Asphalt
13,Grass,Sidewalk,Asphalt
14,Grass,Sidewalk,Asphalt
15,Grass,Sidewalk,Sidewalk
16,Grass,Asphalt,Asphalt
17,Grass,Asphalt,Grass
18,Linoleum,Grass,Linoleum
19,Linoleum,Grass,Concrete
20,Linoleum,Grass,Linoleum
21,Concrete,Grass,Concrete
22,Grass,Grass,Carpet
23,Linoleum,Grass,Sidewalk
24,Linoleum,Gravel,Sidewalk
25,Concrete,Gravel,Asphalt
26,Concrete,Gravel,Sidewalk
27,Concrete,Grass,Sidewalk
28,Linoleum,Gravel,Sidewalk
29,Concrete,Gravel,Gravel
30,Grass,Gravel,Sidewalk
31,Grass,Gravel,Sidewalk
32,Grass,Gravel,Concrete
33,Linoleum,Gravel,Sidewalk
34,Linoleum,Gravel,Sidewalk
35,Linoleum,Grass,Carpet
36,Grass,Grass,Concrete
37,Linoleum,Grass,Concrete
38,Linoleum,Grass,Carpet
39,Grass,Grass,Carpet
40,Linoleum,Gravel,Sidewalk
41,Concrete,Gravel,Sidewalk
42,Concrete,Gravel,Sidewalk
43,Linoleum,Gravel,Linoleum
44,Grass,Gravel,Sidewalk
45,Linoleum,Gravel,Carpet
46,Concrete,Gravel,Carpet
47,Sidewalk,Gravel,Asphalt
48,Concrete,Gravel,Linoleum
49,Concrete,Grass,Carpet
50,Concrete,Grass,Linoleum
51,Linoleum,Grass,Linoleum
52,Linoleum,Grass,Linoleum
53,Grass,Grass,Carpet
54,Linoleum,Grass,Carpet
55,Linoleum,Gravel,Linoleum
56,Linoleum,Gravel,Concrete
57,Linoleum,Gravel,Concrete
58,Linoleum,Gravel,Concrete
59,Linoleum,Grass,Carpet
60,Concrete,Grass,Linoleum
61,Concrete,Gravel,Concrete
62,Concrete,Gravel,Sidewalk
63,Grass,Gravel,Sidewalk
64,Grass,Grass,Carpet
65,Linoleum,Grass,Linoleum
66,Linoleum,Grass,Concrete
67,Grass,Grass,Carpet
68,Linoleum,Grass,Carpet
69,Linoleum,Gravel,Sidewalk
70,Grass,Grass,Carpet
71,Grass,Grass,Concrete
72,Grass,Grass,Concrete
73,Linoleum,Grass,Carpet
74,Linoleum,Gravel,Asphalt
75,Linoleum,Gravel,Sidewalk
76,Linoleum,Gravel,Sidewalk
77,Grass,Grass,Concrete
78,Linoleum,Grass,Asphalt
79,Linoleum,Gravel,Sidewalk
80,Concrete,Gravel,Sidewalk
81,Linoleum,Gravel,Sidewalk
82,Concrete,Gravel,Sidewalk
83,Concrete,Gravel,Sidewalk
84,Linoleum,Gravel,Sidewalk
85,Concrete,Gravel,Sidewalk
86,Concrete,Gravel,Sidewalk
87,Linoleum,Gravel,Asphalt
88,Concrete,Grass,Linoleum
89,Concrete,Gravel,Sidewalk
90,Linoleum,Gravel,Sidewalk
91,Concrete,Gravel,Linoleum
92,Concrete,Gravel,Sidewalk
93,Linoleum,Grass,Concrete
94,Linoleum,Grass,Concrete
95,Grass,Grass,Concrete
96,Grass,Grass,Carpet
97,Grass,Grass,Carpet
98,Grass,Grass,Concrete
99,Linoleum,Gravel,Sidewalk
100,Linoleum,Gravel,Carpet
101,Linoleum,Grass,Concrete
102,Linoleum,Grass,Carpet
103,Grass,Grass,Concrete
104,Linoleum,Gravel,Sidewalk
105,Linoleum,Gravel,Sidewalk
106,Linoleum,Gravel,Asphalt
107,Linoleum,Gravel,Sidewalk
108,Concrete,Gravel,Sidewalk
109,Linoleum,Gravel,Sidewalk
110,Grass,Grass,Concrete
111,Linoleum,Grass,Sidewalk
112,Linoleum,Gravel,Gravel
113,Concrete,Gravel,Sidewalk
114,Linoleum,Gravel,Sidewalk
115,Sidewalk,Gravel,Sidewalk
116,Grass,Gravel,Gravel
117,Gravel,Gravel,Sidewalk
118,Linoleum,Gravel,Sidewalk
119,Linoleum,Gravel,Sidewalk
120,Concrete,Gravel,Sidewalk
121,Concrete,Gravel,Sidewalk
122,Linoleum,Gravel,Concrete
123,Grass,Grass,Linoleum
124,Linoleum,Grass,Carpet
125,Concrete,Grass,Sidewalk
126,Linoleum,Grass,Carpet
127,Grass,Grass,Carpet
128,Linoleum,Grass,Concrete
129,Grass,Grass,Concrete
130,Linoleum,Gravel,Linoleum
131,Grass,Grass,Carpet
132,Grass,Grass,Linoleum
133,Grass,Grass,Sidewalk
134,Linoleum,Gravel,Linoleum
135,Linoleum,Gravel,Carpet
136,Linoleum,Grass,Carpet
137,Linoleum,Gravel,Linoleum
138,Grass,Gravel,Concrete
139,Grass,Grass,Concrete
140,Linoleum,Grass,Concrete
141,Linoleum,Grass,Sidewalk
142,Linoleum,Gravel,Asphalt
143,Linoleum,Gravel,Asphalt
144,Concrete,Gravel,Sidewalk
145,Carpet,Gravel,Sidewalk
146,Concrete,Gravel,Sidewalk
147,Linoleum,Gravel,Sidewalk
148,Carpet,Gravel,Sidewalk
149,Linoleum,Gravel,Sidewalk
150,Linoleum,Gravel,Sidewalk
151,Linoleum,Gravel,Sidewalk
152,Concrete,Grass,Linoleum
153,Linoleum,Gravel,Sidewalk
154,Grass,Gravel,Asphalt
155,Grass,Gravel,Sidewalk
156,Grass,Gravel,Linoleum
157,Grass,Grass,Linoleum
158,Grass,Grass,Concrete
159,Grass,Gravel,Carpet
160,Linoleum,Gravel,Linoleum
161,Grass,Grass,Linoleum
162,Grass,Grass,Carpet
163,Linoleum,Gravel,Carpet
164,Linoleum,Gravel,Asphalt
165,Concrete,Gravel,Carpet
166,Linoleum,Gravel,Carpet
167,Linoleum,Gravel,Concrete
168,Linoleum,Gravel,Grass
169,Linoleum,Grass,Carpet
170,Linoleum,Gravel,Concrete
171,Concrete,Gravel,Sidewalk
172,Linoleum,Gravel,Sidewalk
173,Linoleum,Gravel,Asphalt
174,Sidewalk,Gravel,Sidewalk
175,Sidewalk,Gravel,Sidewalk
176,Concrete,Gravel,Sidewalk
177,Concrete,Gravel,Sidewalk
178,Grass,Gravel,Sidewalk
179,Linoleum,Gravel,Sidewalk
180,Linoleum,Gravel,Asphalt
181,Grass,Grass,Linoleum
182,Grass,Grass,Carpet
183,Linoleum,Gravel,Sidewalk
184,Linoleum,Gravel,Asphalt
185,Grass,Grass,Sidewalk
186,Grass,Grass,Concrete
187,Grass,Grass,Linoleum
188,Linoleum,Grass,Concrete
189,Linoleum,Gravel,Concrete
190,Linoleum,Grass,Concrete
191,Grass,Grass,Carpet
192,Grass,Grass,Concrete
193,Grass,Grass,Sidewalk
194,Grass,Grass,Linoleum
195,Linoleum,Grass,Concrete
196,Linoleum,Gravel,Sidewalk
197,Grass,Grass,Concrete
198,Grass,Grass,Carpet
199,Linoleum,Grass,Sidewalk
200,Concrete,Grass,Sidewalk
201,Linoleum,Gravel,Sidewalk
202,Linoleum,Gravel,Sidewalk
203,Concrete,Gravel,Sidewalk
204,Linoleum,Gravel,Sidewalk
205,Sidewalk,Gravel,Asphalt
206,Concrete,Gravel,Sidewalk
207,Carpet,Gravel,Sidewalk
208,Carpet,Gravel,Sidewalk
209,Concrete,Gravel,Sidewalk
210,Linoleum,Gravel,Concrete
211,Linoleum,Grass,Linoleum
212,Grass,Grass,Asphalt
213,Grass,Grass,Carpet
214,Linoleum,Grass,Carpet
215,Linoleum,Grass,Carpet
216,Grass,Grass,Carpet
217,Linoleum,Grass,Carpet
218,Grass,Grass,Linoleum
219,Grass,Grass,Linoleum
220,Linoleum,Grass,Carpet
221,Linoleum,Gravel,Carpet
222,Linoleum,Gravel,Carpet
223,Grass,Gravel,Concrete
224,Linoleum,Grass,Carpet
225,Linoleum,Gravel,Concrete
226,Linoleum,Gravel,Concrete
227,Grass,Gravel,Sidewalk
228,Linoleum,Grass,Linoleum
229,Grass,Grass,Concrete
230,Grass,Gravel,Concrete
231,Linoleum,Gravel,Gravel
232,Sidewalk,Gravel,Sidewalk
233,Concrete,Gravel,Sidewalk
234,Grass,Gravel,Sidewalk
235,Grass,Gravel,Sidewalk
236,Linoleum,Gravel,Sidewalk
237,Concrete,Gravel,Concrete
238,Sidewalk,Gravel,Sidewalk
239,Linoleum,Gravel,Asphalt
240,Linoleum,Grass,Sidewalk
241,Linoleum,Grass,Linoleum
242,Linoleum,Grass,Linoleum
243,Linoleum,Grass,Sidewalk
244,Grass,Grass,Concrete
245,Linoleum,Grass,Carpet
246,Linoleum,Grass,Carpet
247,Linoleum,Grass,Concrete
248,Linoleum,Grass,Concrete
249,Linoleum,Grass,Carpet
250,Concrete,Grass,Linoleum
251,Linoleum,Grass,Carpet
252,Linoleum,Gravel,Concrete
253,Linoleum,Gravel,Sidewalk
254,Linoleum,Gravel,Sidewalk
255,Grass,Grass,Linoleum
256,Grass,Grass,Concrete
257,Grass,Gravel,Sidewalk
258,Linoleum,Gravel,Sidewalk
259,Linoleum,Gravel,Gravel
260,Linoleum,Gravel,Sidewalk
261,Concrete,Gravel,Sidewalk
262,Concrete,Gravel,Sidewalk
263,Carpet,Gravel,Concrete
264,Grass,Gravel,Sidewalk
265,Linoleum,Gravel,Asphalt
266,Linoleum,Gravel,Asphalt
267,Grass,Grass,Concrete
268,Concrete,Gravel,Sidewalk
269,Concrete,Gravel,Asphalt
270,Concrete,Gravel,Sidewalk
271,Concrete,Grass,Sidewalk
272,Linoleum,Gravel,Linoleum
273,Linoleum,Grass,Asphalt
274,Linoleum,Gravel,Carpet
275,Grass,Grass,Concrete
276,Grass,Grass,Linoleum
277,Grass,Gravel,Sidewalk
278,Linoleum,Gravel,Carpet
279,Linoleum,Grass,Linoleum
280,Linoleum,Grass,Carpet
281,Grass,Gravel,Sidewalk
282,Linoleum,Gravel,Concrete
283,Linoleum,Gravel,Linoleum
284,Grass,Grass,Carpet
285,Grass,Grass,Carpet
286,Grass,Grass,Carpet
287,Linoleum,Gravel,Sidewalk
288,Linoleum,Gravel,Sidewalk
289,Linoleum,Gravel,Sidewalk
290,Linoleum,Gravel,Gravel
291,Concrete,Gravel,Sidewalk
292,Sidewalk,Gravel,Asphalt
293,Concrete,Gravel,Sidewalk
294,Concrete,Gravel,Asphalt
295,Concrete,Gravel,Sidewalk
296,Concrete,Gravel,Asphalt
297,Concrete,Gravel,Asphalt
298,Linoleum,Gravel,Sidewalk
299,Grass,Grass,Sidewalk
300,Grass,Grass,Asphalt
301,Grass,Grass,Linoleum
302,Linoleum,Grass,Carpet
303,Grass,Grass,Carpet
304,Grass,Grass,Grass
305,Grass,Grass,Carpet
306,Grass,Grass,Carpet
307,Grass,Grass,Carpet
308,Grass,Grass,Linoleum
309,Grass,Grass,Linoleum
310,Grass,Gravel,Carpet
311,Linoleum,Gravel,Sidewalk
312,Linoleum,Gravel,Sidewalk
313,Linoleum,Gravel,Sidewalk
314,Gravel,Gravel,Sidewalk
315,Grass,Grass,Linoleum
316,Grass,Grass,Sidewalk
317,Linoleum,Gravel,Sidewalk
318,Grass,Gravel,Sidewalk
319,Concrete,Gravel,Sidewalk
320,Concrete,Gravel,Sidewalk
321,Concrete,Gravel,Carpet
322,Concrete,Gravel,Sidewalk
323,Concrete,Gravel,Linoleum
324,Linoleum,Grass,Sidewalk
325,Grass,Grass,Sidewalk
326,Concrete,Gravel,Sidewalk
327,Linoleum,Gravel,Asphalt
328,Grass,Grass,Concrete
329,Grass,Grass,Concrete
330,Grass,Grass,Carpet
331,Grass,Grass,Carpet
332,Grass,Grass,Carpet
333,Grass,Grass,Carpet
334,Grass,Grass,Carpet
335,Linoleum,Gravel,Sidewalk
336,Linoleum,Grass,Sidewalk
337,Grass,Grass,Carpet
338,Grass,Grass,Linoleum
339,Linoleum,Gravel,Linoleum
340,Linoleum,Gravel,Sidewalk
341,Linoleum,Gravel,Sidewalk
342,Linoleum,Gravel,Asphalt
343,Linoleum,Grass,Concrete
344,Grass,Gravel,Sidewalk
345,Grass,Grass,Sidewalk
346,Linoleum,Gravel,Sidewalk
347,Linoleum,Gravel,Sidewalk
348,Linoleum,Gravel,Sidewalk
349,Asphalt,Gravel,Asphalt
350,Linoleum,Gravel,Asphalt
351,Linoleum,Gravel,Gravel
352,Linoleum,Gravel,Sidewalk
353,Concrete,Gravel,Sidewalk
354,Sidewalk,Gravel,Sidewalk
355,Sidewalk,Gravel,Concrete
356,Linoleum,Gravel,Sidewalk
357,Concrete,Gravel,Sidewalk
358,Concrete,Gravel,Concrete
359,Linoleum,Gravel,Sidewalk
360,Linoleum,Gravel,Linoleum
361,Grass,Grass,Concrete
362,Grass,Grass,Concrete
363,Grass,Grass,Concrete
364,Grass,Grass,Linoleum
365,Grass,Grass,Carpet
366,Grass,Gravel,Sidewalk
367,Grass,Grass,Sidewalk
368,Grass,Grass,Carpet
369,Grass,Grass,Carpet
370,Grass,Gravel,Asphalt
371,Grass,Grass,Carpet
372,Grass,Grass,Carpet
373,Grass,Gravel,Concrete
374,Grass,Gravel,Concrete
375,Linoleum,Grass,Sidewalk
376,Linoleum,Grass,Concrete
377,Grass,Grass,Concrete
378,Concrete,Gravel,Sidewalk
379,Linoleum,Gravel,Sidewalk
380,Linoleum,Gravel,Sidewalk
381,Sidewalk,Gravel,Gravel
382,Sidewalk,Gravel,Sidewalk
383,Carpet,Gravel,Sidewalk
384,Concrete,Gravel,Carpet
385,Linoleum,Gravel,Asphalt
386,Linoleum,Grass,Sidewalk
387,Linoleum,Gravel,Sidewalk
388,Concrete,Gravel,Asphalt
389,Linoleum,Gravel,Linoleum
390,Linoleum,Grass,Linoleum
391,Carpet,Grass,Linoleum
