,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Linoleum,Concrete,Asphalt
5,Linoleum,Grass,Grass
6,Asphalt,Asphalt,Asphalt
7,Asphalt,Sidewalk,Asphalt
8,Asphalt,Asphalt,Sidewalk
9,Asphalt,Asphalt,Asphalt
10,Asphalt,Sidewalk,Asphalt
11,Linoleum,Sidewalk,Grass
12,Asphalt,Sidewalk,Asphalt
13,Asphalt,Grass,Asphalt
14,Linoleum,Sidewalk,Grass
15,Asphalt,Asphalt,Grass
16,Linoleum,Sidewalk,Grass
17,Asphalt,Sidewalk,Grass
18,Asphalt,Sidewalk,Grass
19,Asphalt,Sidewalk,Grass
20,Linoleum,Linoleum,Linoleum
21,Linoleum,Linoleum,Carpet
22,Linoleum,Linoleum,Linoleum
23,Linoleum,Linoleum,Linoleum
24,Linoleum,Linoleum,Concrete
25,Linoleum,Linoleum,Concrete
26,Linoleum,Linoleum,Linoleum
27,Linoleum,Linoleum,Linoleum
28,Linoleum,Grass,Linoleum
29,Linoleum,Grass,Linoleum
30,Linoleum,Grass,Concrete
31,Linoleum,Grass,Linoleum
32,Linoleum,Grass,Linoleum
33,Linoleum,Grass,Linoleum
34,Concrete,Grass,Linoleum
35,Linoleum,Grass,Linoleum
36,Linoleum,Grass,Concrete
37,Concrete,Concrete,Concrete
38,Linoleum,Grass,Concrete
39,Concrete,Grass,Linoleum
40,Linoleum,Grass,Concrete
41,Linoleum,Grass,Concrete
42,Linoleum,Linoleum,Concrete
43,Linoleum,Grass,Concrete
44,Linoleum,Grass,Linoleum
45,Linoleum,Grass,Carpet
46,Linoleum,Linoleum,Linoleum
47,Linoleum,Linoleum,Linoleum
48,Linoleum,Grass,Linoleum
49,Carpet,Grass,Linoleum
50,Linoleum,Grass,Linoleum
51,Linoleum,Grass,Linoleum
52,Linoleum,Grass,Linoleum
53,Linoleum,Grass,Linoleum
54,Linoleum,Grass,Linoleum
55,Linoleum,Linoleum,Linoleum
56,Linoleum,Linoleum,Linoleum
57,Linoleum,Linoleum,Carpet
58,Linoleum,Linoleum,Concrete
59,Concrete,Grass,Linoleum
60,Linoleum,Linoleum,Concrete
61,Concrete,Linoleum,Carpet
62,Concrete,Linoleum,Carpet
63,Linoleum,Grass,Linoleum
64,Concrete,Grass,Carpet
65,Linoleum,Grass,Concrete
66,Linoleum,Linoleum,Linoleum
67,Linoleum,Linoleum,Carpet
68,Concrete,Grass,Carpet
69,Concrete,Grass,Carpet
70,Concrete,Grass,Carpet
71,Linoleum,Grass,Concrete
72,Linoleum,Grass,Concrete
73,Linoleum,Grass,Linoleum
74,Linoleum,Grass,Linoleum
75,Linoleum,Grass,Linoleum
76,Linoleum,Linoleum,Linoleum
77,Concrete,Grass,Linoleum
78,Linoleum,Grass,Linoleum
79,Linoleum,Grass,Concrete
80,Linoleum,Grass,Linoleum
81,Linoleum,Grass,Linoleum
82,Linoleum,Grass,Carpet
83,Linoleum,Linoleum,Carpet
84,Concrete,Grass,Concrete
85,Linoleum,Grass,Carpet
86,Linoleum,Grass,Concrete
87,Linoleum,Grass,Concrete
88,Concrete,Grass,Concrete
89,Concrete,Grass,Concrete
90,Linoleum,Grass,Linoleum
91,Concrete,Grass,Concrete
92,Concrete,Grass,Carpet
93,Concrete,Grass,Carpet
94,Linoleum,Grass,Concrete
95,Linoleum,Grass,Concrete
96,Linoleum,Grass,Concrete
97,Linoleum,Grass,Linoleum
98,Linoleum,Grass,Linoleum
99,Linoleum,Grass,Linoleum
100,Concrete,Grass,Linoleum
101,Concrete,Grass,Concrete
102,Concrete,Grass,Concrete
103,Concrete,Grass,Concrete
104,Linoleum,Grass,Carpet
105,Concrete,Grass,Concrete
106,Concrete,Grass,Concrete
107,Linoleum,Grass,Concrete
108,Carpet,Grass,Linoleum
109,Linoleum,Grass,Concrete
110,Linoleum,Grass,Concrete
111,Linoleum,Linoleum,Linoleum
112,Concrete,Grass,Linoleum
113,Concrete,Linoleum,Linoleum
114,Linoleum,Grass,Concrete
115,Linoleum,Concrete,Concrete
116,Linoleum,Linoleum,Carpet
117,Concrete,Grass,Concrete
118,Concrete,Grass,Concrete
119,Linoleum,Grass,Linoleum
120,Concrete,Grass,Linoleum
121,Concrete,Grass,Linoleum
122,Concrete,Grass,Linoleum
123,Linoleum,Linoleum,Linoleum
124,Linoleum,Grass,Concrete
125,Linoleum,Grass,Linoleum
126,Linoleum,Grass,Linoleum
127,Linoleum,Grass,Linoleum
128,Linoleum,Linoleum,Linoleum
129,Linoleum,Linoleum,Linoleum
130,Concrete,Linoleum,Linoleum
131,Linoleum,Grass,Linoleum
132,Linoleum,Grass,Linoleum
133,Concrete,Grass,Concrete
134,Linoleum,Linoleum,Carpet
135,Linoleum,Linoleum,Carpet
136,Linoleum,Concrete,Concrete
137,Linoleum,Grass,Linoleum
138,Linoleum,Grass,Concrete
139,Carpet,Linoleum,Concrete
140,Concrete,Grass,Linoleum
141,Carpet,Grass,Linoleum
142,Linoleum,Grass,Linoleum
143,Concrete,Linoleum,Carpet
144,Concrete,Linoleum,Carpet
145,Linoleum,Linoleum,Concrete
146,Concrete,Grass,Concrete
147,Linoleum,Grass,Concrete
148,Linoleum,Linoleum,Concrete
149,Linoleum,Grass,Linoleum
150,Linoleum,Grass,Carpet
151,Linoleum,Grass,Carpet
152,Linoleum,Grass,Carpet
153,Linoleum,Grass,Carpet
154,Concrete,Grass,Carpet
155,Linoleum,Grass,Linoleum
156,Concrete,Grass,Concrete
157,Concrete,Grass,Linoleum
158,Concrete,Grass,Carpet
159,Carpet,Grass,Carpet
160,Linoleum,Grass,Linoleum
161,Concrete,Grass,Concrete
162,Concrete,Grass,Concrete
163,Concrete,Grass,Linoleum
164,Concrete,Grass,Concrete
165,Concrete,Grass,Concrete
166,Linoleum,Linoleum,Linoleum
167,Linoleum,Linoleum,Concrete
168,Linoleum,Linoleum,Linoleum
169,Concrete,Linoleum,Linoleum
170,Concrete,Linoleum,Linoleum
171,Concrete,Grass,Linoleum
172,Linoleum,Linoleum,Linoleum
173,Concrete,Grass,Linoleum
174,Linoleum,Grass,Linoleum
175,Linoleum,Linoleum,Carpet
176,Linoleum,Linoleum,Carpet
177,Linoleum,Grass,Linoleum
178,Concrete,Linoleum,Carpet
179,Linoleum,Grass,Carpet
180,Carpet,Grass,Carpet
181,Concrete,Grass,Carpet
182,Linoleum,Linoleum,Concrete
183,Linoleum,Grass,Carpet
184,Linoleum,Grass,Carpet
185,Linoleum,Grass,Carpet
186,Linoleum,Grass,Concrete
187,Concrete,Gravel,Linoleum
188,Linoleum,Linoleum,Carpet
189,Linoleum,Linoleum,Linoleum
190,Linoleum,Grass,Concrete
191,Linoleum,Grass,Linoleum
192,Linoleum,Grass,Carpet
193,Linoleum,Grass,Carpet
194,Linoleum,Grass,Carpet
195,Linoleum,Grass,Concrete
196,Linoleum,Grass,Carpet
197,Linoleum,Grass,Concrete
198,Linoleum,Grass,Carpet
199,Linoleum,Linoleum,Concrete
200,Concrete,Linoleum,Concrete
201,Linoleum,Grass,Concrete
202,Linoleum,Grass,Concrete
203,Linoleum,Grass,Linoleum
204,Linoleum,Grass,Concrete
205,Concrete,Grass,Linoleum
206,Concrete,Grass,Linoleum
207,Concrete,Grass,Carpet
208,Linoleum,Grass,Linoleum
209,Linoleum,Grass,Linoleum
210,Linoleum,Grass,Linoleum
211,Linoleum,Grass,Concrete
212,Linoleum,Linoleum,Linoleum
213,Carpet,Grass,Linoleum
214,Carpet,Linoleum,Concrete
215,Concrete,Grass,Linoleum
216,Linoleum,Grass,Linoleum
217,Concrete,Grass,Concrete
218,Concrete,Concrete,Concrete
219,Concrete,Linoleum,Concrete
220,Concrete,Linoleum,Concrete
221,Linoleum,Grass,Linoleum
222,Linoleum,Linoleum,Linoleum
223,Carpet,Grass,Linoleum
224,Linoleum,Linoleum,Linoleum
225,Linoleum,Linoleum,Concrete
226,Linoleum,Grass,Linoleum
227,Linoleum,Linoleum,Carpet
228,Linoleum,Grass,Carpet
229,Concrete,Grass,Concrete
230,Concrete,Grass,Linoleum
231,Concrete,Grass,Linoleum
232,Linoleum,Linoleum,Concrete
233,Linoleum,Grass,Linoleum
234,Linoleum,Linoleum,Carpet
235,Linoleum,Linoleum,Concrete
236,Carpet,Linoleum,Concrete
237,Linoleum,Grass,Concrete
238,Linoleum,Grass,Linoleum
239,Linoleum,Grass,Concrete
240,Linoleum,Linoleum,Concrete
241,Linoleum,Grass,Linoleum
242,Linoleum,Linoleum,Linoleum
243,Linoleum,Linoleum,Carpet
244,Linoleum,Grass,Linoleum
245,Linoleum,Grass,Concrete
246,Concrete,Linoleum,Carpet
247,Linoleum,Grass,Concrete
248,Linoleum,Grass,Concrete
249,Concrete,Linoleum,Concrete
250,Concrete,Grass,Concrete
251,Linoleum,Grass,Linoleum
252,Linoleum,Grass,Concrete
253,Concrete,Grass,Linoleum
254,Linoleum,Linoleum,Concrete
255,Linoleum,Grass,Concrete
256,Linoleum,Grass,Concrete
257,Linoleum,Linoleum,Carpet
258,Linoleum,Linoleum,Linoleum
259,Linoleum,Linoleum,Linoleum
260,Linoleum,Grass,Linoleum
261,Linoleum,Grass,Linoleum
262,Linoleum,Linoleum,Linoleum
263,Linoleum,Grass,Concrete
264,Concrete,Grass,Concrete
265,Carpet,Grass,Carpet
266,Linoleum,Linoleum,Concrete
267,Linoleum,Grass,Concrete
268,Linoleum,Grass,Linoleum
269,Linoleum,Linoleum,Linoleum
270,Linoleum,Grass,Linoleum
271,Linoleum,Grass,Linoleum
272,Linoleum,Grass,Carpet
273,Linoleum,Grass,Linoleum
274,Linoleum,Linoleum,Linoleum
275,Linoleum,Linoleum,Carpet
276,Concrete,Linoleum,Linoleum
277,Concrete,Grass,Concrete
278,Linoleum,Linoleum,Concrete
279,Linoleum,Grass,Linoleum
280,Linoleum,Grass,Concrete
281,Linoleum,Grass,Concrete
282,Concrete,Linoleum,Concrete
283,Linoleum,Grass,Concrete
284,Linoleum,Grass,Concrete
285,Linoleum,Linoleum,Linoleum
286,Linoleum,Grass,Linoleum
287,Linoleum,Grass,Linoleum
288,Concrete,Grass,Carpet
289,Concrete,Grass,Linoleum
290,Linoleum,Grass,Linoleum
291,Linoleum,Grass,Concrete
292,Linoleum,Grass,Carpet
293,Concrete,Grass,Carpet
294,Linoleum,Grass,Concrete
295,Concrete,Grass,Carpet
296,Linoleum,Linoleum,Linoleum
297,Linoleum,Linoleum,Carpet
298,Concrete,Grass,Linoleum
299,Linoleum,Grass,Concrete
300,Linoleum,Linoleum,Linoleum
301,Linoleum,Grass,Linoleum
302,Linoleum,Grass,Concrete
303,Linoleum,Linoleum,Linoleum
304,Linoleum,Grass,Concrete
305,Linoleum,Grass,Linoleum
306,Linoleum,Grass,Linoleum
307,Concrete,Grass,Linoleum
308,Concrete,Grass,Concrete
309,Concrete,Grass,Carpet
310,Concrete,Grass,Concrete
311,Concrete,Grass,Linoleum
312,Concrete,Grass,Concrete
313,Concrete,Grass,Concrete
314,Linoleum,Linoleum,Linoleum
315,Linoleum,Grass,Concrete
316,Linoleum,Grass,Carpet
317,Linoleum,Grass,Linoleum
318,Linoleum,Grass,Linoleum
319,Linoleum,Grass,Concrete
320,Concrete,Linoleum,Carpet
321,Linoleum,Linoleum,Linoleum
322,Linoleum,Concrete,Concrete
323,Linoleum,Linoleum,Carpet
324,Concrete,Grass,Carpet
325,Concrete,Grass,Carpet
326,Concrete,Grass,Carpet
327,Concrete,Grass,Linoleum
328,Concrete,Grass,Linoleum
329,Concrete,Linoleum,Concrete
330,Linoleum,Linoleum,Linoleum
331,Linoleum,Grass,Concrete
332,Linoleum,Grass,Linoleum
333,Linoleum,Grass,Concrete
334,Linoleum,Grass,Carpet
335,Linoleum,Linoleum,Concrete
336,Concrete,Grass,Carpet
337,Linoleum,Grass,Linoleum
338,Linoleum,Linoleum,Carpet
339,Concrete,Linoleum,Concrete
340,Concrete,Grass,Carpet
341,Linoleum,Grass,Carpet
342,Carpet,Grass,Concrete
343,Linoleum,Grass,Linoleum
344,Concrete,Linoleum,Linoleum
345,Linoleum,Grass,Linoleum
346,Linoleum,Grass,Concrete
347,Linoleum,Linoleum,Concrete
348,Linoleum,Grass,Linoleum
349,Linoleum,Linoleum,Concrete
350,Linoleum,Linoleum,Concrete
351,Linoleum,Grass,Linoleum
352,Linoleum,Grass,Linoleum
353,Linoleum,Grass,Carpet
354,Concrete,Linoleum,Carpet
355,Carpet,Grass,Concrete
356,Linoleum,Grass,Concrete
357,Linoleum,Grass,Concrete
358,Concrete,Grass,Linoleum
