,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Linoleum,Concrete,Sidewalk
4,Linoleum,Grass,Asphalt
5,Linoleum,Sidewalk,Grass
6,Linoleum,Sidewalk,Asphalt
7,Linoleum,Sidewalk,Asphalt
8,Linoleum,Sidewalk,Asphalt
9,Linoleum,Sidewalk,Asphalt
10,Linoleum,Sidewalk,Sidewalk
11,Linoleum,Sidewalk,Grass
12,Linoleum,Sidewalk,Grass
13,Linoleum,Asphalt,Grass
14,Linoleum,Asphalt,Grass
15,Linoleum,Grass,Grass
16,Grass,Grass,Linoleum
17,Linoleum,Grass,Linoleum
18,Linoleum,Grass,Linoleum
19,Linoleum,Grass,Linoleum
20,Linoleum,Grass,Linoleum
21,Linoleum,Grass,Linoleum
22,Linoleum,Grass,Linoleum
23,Linoleum,Grass,Linoleum
24,Linoleum,Grass,Concrete
25,Linoleum,Grass,Carpet
26,Concrete,Grass,Carpet
27,Carpet,Grass,Concrete
28,Concrete,Grass,Concrete
29,Concrete,Grass,Linoleum
30,Linoleum,Grass,Concrete
31,Linoleum,Grass,Carpet
32,Linoleum,Grass,Linoleum
33,Linoleum,Linoleum,Concrete
34,Linoleum,Linoleum,Carpet
35,Linoleum,Linoleum,Carpet
36,Linoleum,Linoleum,Linoleum
37,Linoleum,Grass,Linoleum
38,Linoleum,Linoleum,Concrete
39,Linoleum,Linoleum,Concrete
40,Linoleum,Linoleum,Linoleum
41,Concrete,Grass,Linoleum
42,Concrete,Grass,Concrete
43,Concrete,Grass,Linoleum
44,Concrete,Grass,Concrete
45,Concrete,Grass,Concrete
46,Concrete,Grass,Linoleum
47,Concrete,Grass,Linoleum
48,Linoleum,Grass,Concrete
49,Linoleum,Grass,Carpet
50,Linoleum,Linoleum,Carpet
51,Linoleum,Grass,Linoleum
52,Linoleum,Grass,Linoleum
53,Linoleum,Grass,Linoleum
54,Linoleum,Grass,Linoleum
55,Linoleum,Grass,Linoleum
56,Linoleum,Grass,Linoleum
57,Linoleum,Grass,Linoleum
58,Linoleum,Grass,Linoleum
59,Linoleum,Grass,Linoleum
60,Linoleum,Grass,Linoleum
61,Linoleum,Linoleum,Linoleum
62,Linoleum,Grass,Concrete
63,Linoleum,Grass,Concrete
64,Linoleum,Grass,Linoleum
65,Concrete,Grass,Concrete
66,Concrete,Linoleum,Linoleum
67,Concrete,Grass,Linoleum
68,Linoleum,Grass,Linoleum
69,Linoleum,Grass,Concrete
70,Carpet,Grass,Concrete
71,Linoleum,Linoleum,Linoleum
72,Linoleum,Grass,Linoleum
73,Linoleum,Grass,Linoleum
74,Linoleum,Grass,Linoleum
75,Linoleum,Grass,Linoleum
76,Linoleum,Grass,Linoleum
77,Linoleum,Grass,Linoleum
78,Linoleum,Grass,Linoleum
79,Grass,Grass,Linoleum
80,Linoleum,Grass,Linoleum
81,Linoleum,Linoleum,Concrete
82,Linoleum,Linoleum,Linoleum
83,Linoleum,Grass,Concrete
84,Linoleum,Grass,Linoleum
85,Linoleum,Grass,Linoleum
86,Linoleum,Grass,Linoleum
87,Linoleum,Grass,Linoleum
88,Linoleum,Linoleum,Linoleum
89,Linoleum,Linoleum,Carpet
90,Linoleum,Grass,Concrete
91,Linoleum,Grass,Carpet
92,Concrete,Grass,Linoleum
93,Concrete,Grass,Linoleum
94,Concrete,Grass,Linoleum
95,Linoleum,Grass,Concrete
96,Linoleum,Grass,Carpet
97,Linoleum,Grass,Linoleum
98,Linoleum,Grass,Linoleum
99,Linoleum,Grass,Linoleum
100,Linoleum,Grass,Linoleum
101,Linoleum,Grass,Linoleum
102,Linoleum,Grass,Linoleum
103,Linoleum,Grass,Linoleum
104,Linoleum,Grass,Linoleum
105,Linoleum,Grass,Linoleum
106,Linoleum,Grass,Linoleum
107,Linoleum,Grass,Linoleum
108,Grass,Grass,Linoleum
109,Linoleum,Grass,Grass
110,Linoleum,Grass,Linoleum
111,Linoleum,Grass,Linoleum
112,Linoleum,Grass,Linoleum
113,Concrete,Grass,Carpet
114,Concrete,Grass,Concrete
115,Concrete,Grass,Linoleum
116,Linoleum,Grass,Linoleum
117,Linoleum,Grass,Linoleum
118,Linoleum,Grass,Linoleum
119,Linoleum,Grass,Concrete
120,Linoleum,Grass,Linoleum
121,Linoleum,Grass,Linoleum
122,Linoleum,Grass,Linoleum
123,Grass,Grass,Grass
124,Linoleum,Grass,Linoleum
125,Linoleum,Grass,Linoleum
126,Linoleum,Grass,Linoleum
127,Linoleum,Grass,Linoleum
128,Linoleum,Grass,Concrete
129,Linoleum,Grass,Concrete
130,Linoleum,Grass,Linoleum
131,Linoleum,Grass,Linoleum
132,Linoleum,Grass,Linoleum
133,Linoleum,Grass,Linoleum
134,Linoleum,Grass,Linoleum
135,Linoleum,Grass,Concrete
136,Carpet,Grass,Concrete
137,Concrete,Grass,Concrete
138,Linoleum,Grass,Linoleum
139,Linoleum,Grass,Linoleum
140,Linoleum,Grass,Concrete
141,Linoleum,Grass,Linoleum
142,Linoleum,Grass,Linoleum
143,Linoleum,Grass,Linoleum
144,Grass,Grass,Linoleum
145,Grass,Grass,Concrete
146,Grass,Grass,Linoleum
147,Linoleum,Grass,Grass
148,Linoleum,Grass,Linoleum
149,Linoleum,Linoleum,Linoleum
150,Linoleum,Grass,Linoleum
151,Linoleum,Grass,Linoleum
152,Linoleum,Grass,Linoleum
153,Linoleum,Grass,Linoleum
154,Linoleum,Grass,Concrete
155,Linoleum,Grass,Linoleum
156,Linoleum,Grass,Linoleum
157,Linoleum,Grass,Carpet
158,Linoleum,Grass,Concrete
159,Concrete,Grass,Carpet
160,Concrete,Grass,Concrete
161,Linoleum,Grass,Concrete
162,Linoleum,Grass,Linoleum
163,Linoleum,Grass,Concrete
164,Linoleum,Grass,Concrete
165,Linoleum,Grass,Carpet
166,Linoleum,Grass,Carpet
167,Linoleum,Linoleum,Linoleum
168,Linoleum,Linoleum,Concrete
169,Linoleum,Grass,Linoleum
170,Linoleum,Linoleum,Linoleum
171,Linoleum,Linoleum,Concrete
172,Linoleum,Grass,Concrete
173,Linoleum,Grass,Linoleum
174,Linoleum,Grass,Concrete
175,Linoleum,Grass,Linoleum
176,Linoleum,Grass,Linoleum
177,Concrete,Linoleum,Linoleum
178,Concrete,Grass,Linoleum
179,Concrete,Grass,Linoleum
180,Concrete,Grass,Linoleum
181,Concrete,Grass,Carpet
182,Concrete,Grass,Concrete
183,Linoleum,Grass,Linoleum
184,Concrete,Linoleum,Linoleum
185,Linoleum,Grass,Linoleum
186,Linoleum,Grass,Linoleum
187,Linoleum,Grass,Linoleum
188,Linoleum,Grass,Linoleum
189,Linoleum,Linoleum,Linoleum
190,Linoleum,Grass,Linoleum
191,Linoleum,Grass,Linoleum
192,Linoleum,Linoleum,Linoleum
193,Linoleum,Grass,Linoleum
194,Linoleum,Grass,Linoleum
195,Linoleum,Grass,Linoleum
196,Linoleum,Grass,Concrete
197,Linoleum,Grass,Concrete
198,Carpet,Grass,Linoleum
199,Concrete,Grass,Concrete
200,Concrete,Grass,Linoleum
201,Linoleum,Grass,Linoleum
202,Linoleum,Grass,Linoleum
203,Concrete,Grass,Concrete
204,Linoleum,Grass,Carpet
205,Linoleum,Grass,Concrete
206,Linoleum,Grass,Linoleum
207,Linoleum,Linoleum,Linoleum
208,Linoleum,Grass,Concrete
209,Linoleum,Grass,Concrete
210,Linoleum,Linoleum,Linoleum
211,Linoleum,Grass,Carpet
212,Linoleum,Grass,Linoleum
213,Linoleum,Grass,Linoleum
214,Concrete,Grass,Linoleum
215,Linoleum,Grass,Linoleum
216,Linoleum,Grass,Concrete
217,Concrete,Linoleum,Carpet
218,Concrete,Linoleum,Linoleum
219,Linoleum,Grass,Concrete
220,Linoleum,Grass,Linoleum
221,Linoleum,Grass,Linoleum
222,Linoleum,Grass,Linoleum
223,Linoleum,Grass,Concrete
224,Linoleum,Grass,Concrete
225,Linoleum,Linoleum,Linoleum
226,Linoleum,Grass,Linoleum
227,Linoleum,Grass,Concrete
228,Linoleum,Grass,Concrete
229,Linoleum,Grass,Carpet
230,Linoleum,Grass,Concrete
231,Concrete,Grass,Carpet
232,Concrete,Grass,Carpet
233,Concrete,Grass,Linoleum
234,Concrete,Grass,Concrete
235,Linoleum,Grass,Concrete
236,Linoleum,Grass,Linoleum
237,Grass,Grass,Linoleum
238,Grass,Grass,Linoleum
239,Grass,Grass,Linoleum
240,Linoleum,Asphalt,Linoleum
241,Linoleum,Grass,Linoleum
242,Grass,Grass,Linoleum
243,Grass,Grass,Grass
244,Linoleum,Grass,Grass
245,Linoleum,Asphalt,Grass
246,Grass,Linoleum,Linoleum
247,Linoleum,Linoleum,Carpet
248,Linoleum,Grass,Linoleum
249,Linoleum,Grass,Linoleum
250,Linoleum,Grass,Linoleum
251,Grass,Grass,Linoleum
252,Linoleum,Grass,Linoleum
253,Linoleum,Grass,Linoleum
254,Linoleum,Grass,Concrete
255,Grass,Grass,Linoleum
256,Linoleum,Grass,Linoleum
257,Linoleum,Grass,Linoleum
258,Linoleum,Linoleum,Linoleum
259,Linoleum,Grass,Linoleum
260,Linoleum,Grass,Concrete
261,Linoleum,Grass,Concrete
262,Linoleum,Grass,Concrete
263,Concrete,Grass,Concrete
264,Concrete,Grass,Concrete
265,Concrete,Grass,Linoleum
266,Concrete,Grass,Concrete
267,Linoleum,Grass,Concrete
268,Linoleum,Grass,Linoleum
269,Linoleum,Grass,Linoleum
270,Linoleum,Grass,Linoleum
271,Linoleum,Grass,Linoleum
272,Linoleum,Grass,Linoleum
273,Linoleum,Linoleum,Linoleum
274,Linoleum,Grass,Linoleum
275,Linoleum,Grass,Linoleum
276,Linoleum,Grass,Linoleum
277,Linoleum,Grass,Linoleum
278,Linoleum,Grass,Linoleum
279,Concrete,Grass,Concrete
280,Concrete,Grass,Carpet
281,Concrete,Grass,Concrete
282,Concrete,Grass,Linoleum
283,Concrete,Grass,Concrete
284,Linoleum,Grass,Carpet
285,Linoleum,Grass,Carpet
286,Linoleum,Grass,Linoleum
287,Linoleum,Grass,Linoleum
288,Linoleum,Grass,Linoleum
289,Linoleum,Linoleum,Linoleum
290,Linoleum,Grass,Linoleum
291,Linoleum,Grass,Linoleum
292,Linoleum,Grass,Concrete
293,Linoleum,Grass,Linoleum
294,Concrete,Grass,Linoleum
295,Linoleum,Grass,Concrete
296,Concrete,Grass,Linoleum
297,Concrete,Grass,Linoleum
298,Linoleum,Grass,Linoleum
299,Linoleum,Grass,Concrete
300,Concrete,Grass,Concrete
301,Linoleum,Grass,Linoleum
302,Linoleum,Linoleum,Concrete
303,Linoleum,Grass,Linoleum
304,Linoleum,Linoleum,Concrete
305,Linoleum,Grass,Linoleum
306,Linoleum,Grass,Linoleum
307,Linoleum,Linoleum,Linoleum
308,Linoleum,Linoleum,Carpet
309,Linoleum,Grass,Linoleum
310,Linoleum,Grass,Linoleum
311,Linoleum,Grass,Linoleum
312,Linoleum,Grass,Linoleum
313,Linoleum,Grass,Linoleum
314,Linoleum,Grass,Linoleum
315,Linoleum,Grass,Concrete
316,Linoleum,Grass,Carpet
317,Carpet,Grass,Concrete
318,Carpet,Grass,Concrete
319,Linoleum,Grass,Linoleum
320,Linoleum,Grass,Concrete
321,Linoleum,Grass,Concrete
322,Linoleum,Grass,Linoleum
323,Linoleum,Grass,Linoleum
324,Linoleum,Linoleum,Concrete
325,Linoleum,Linoleum,Linoleum
326,Linoleum,Linoleum,Concrete
327,Linoleum,Linoleum,Linoleum
328,Linoleum,Grass,Linoleum
329,Linoleum,Grass,Linoleum
330,Linoleum,Grass,Linoleum
331,Linoleum,Grass,Linoleum
332,Concrete,Grass,Carpet
333,Concrete,Grass,Linoleum
334,Concrete,Grass,Linoleum
335,Linoleum,Grass,Linoleum
336,Concrete,Grass,Concrete
337,Concrete,Grass,Concrete
338,Linoleum,Grass,Linoleum
339,Gravel,Grass,Linoleum
340,Linoleum,Grass,Linoleum
341,Linoleum,Grass,Grass
342,Linoleum,Grass,Linoleum
343,Linoleum,Linoleum,Linoleum
344,Linoleum,Grass,Linoleum
345,Linoleum,Grass,Concrete
346,Linoleum,Grass,Linoleum
347,Linoleum,Grass,Linoleum
348,Linoleum,Grass,Linoleum
349,Linoleum,Grass,Linoleum
350,Linoleum,Grass,Concrete
351,Linoleum,Grass,Linoleum
352,Linoleum,Grass,Linoleum
353,Linoleum,Grass,Concrete
354,Linoleum,Grass,Concrete
355,Linoleum,Grass,Concrete
356,Linoleum,Linoleum,Linoleum
357,Concrete,Grass,Concrete
358,Linoleum,Grass,Concrete
359,Linoleum,Grass,Linoleum
360,Linoleum,Grass,Linoleum
361,Linoleum,Grass,Linoleum
362,Linoleum,Grass,Linoleum
363,Linoleum,Grass,Linoleum
364,Grass,Grass,Grass
365,Grass,Grass,Linoleum
366,Grass,Grass,Linoleum
367,Linoleum,Grass,Grass
368,Grass,Grass,Linoleum
369,Grass,Grass,Linoleum
370,Grass,Grass,Linoleum
371,Linoleum,Grass,Linoleum
372,Linoleum,Grass,Grass
373,Linoleum,Grass,Grass
374,Linoleum,Grass,Linoleum
375,Linoleum,Grass,Grass
376,Linoleum,Grass,Grass
377,Linoleum,Asphalt,Grass
378,Linoleum,Grass,Grass
379,Linoleum,Grass,Grass
380,Linoleum,Grass,Grass
381,Grass,Grass,Grass
