,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Linoleum,Grass,Asphalt
3,Grass,Concrete,Grass
4,Grass,Sidewalk,Asphalt
5,Grass,Sidewalk,Grass
6,Sidewalk,Sidewalk,Asphalt
7,Sidewalk,Asphalt,Sidewalk
8,Sidewalk,Sidewalk,Sidewalk
9,Sidewalk,Sidewalk,Asphalt
10,Grass,Asphalt,Asphalt
11,Grass,Asphalt,Asphalt
12,Sidewalk,Asphalt,Asphalt
13,Sidewalk,Grass,Grass
14,Grass,Sidewalk,Grass
15,Grass,Grass,Linoleum
16,Grass,Grass,Grass
17,Linoleum,Grass,Linoleum
18,Grass,Grass,Grass
19,Grass,Grass,Concrete
20,Grass,Grass,Concrete
21,Linoleum,Grass,Concrete
22,Linoleum,Grass,Linoleum
23,Grass,Grass,Linoleum
24,Grass,Grass,Concrete
25,Grass,Grass,Concrete
26,Concrete,Grass,Carpet
27,Grass,Grass,Carpet
28,Grass,Grass,Linoleum
29,Grass,Grass,Concrete
30,Grass,Grass,Grass
31,Linoleum,Grass,Concrete
32,Linoleum,Grass,Carpet
33,Linoleum,Grass,Concrete
34,Linoleum,Grass,Concrete
35,Linoleum,Grass,Linoleum
36,Grass,Grass,Concrete
37,Linoleum,Grass,Concrete
38,Grass,Grass,Concrete
39,Grass,Gravel,Sidewalk
40,Grass,Gravel,Linoleum
41,Linoleum,Gravel,Sidewalk
42,Linoleum,Gravel,Carpet
43,Linoleum,Gravel,Concrete
44,Grass,Grass,Linoleum
45,Linoleum,Grass,Concrete
46,Grass,Grass,Concrete
47,Linoleum,Grass,Linoleum
48,Linoleum,Grass,Grass
49,Grass,Grass,Linoleum
50,Grass,Grass,Linoleum
51,Grass,Grass,Linoleum
52,Grass,Grass,Linoleum
53,Grass,Grass,Concrete
54,Grass,Grass,Concrete
55,Grass,Grass,Linoleum
56,Concrete,Grass,Linoleum
57,Carpet,Gravel,Linoleum
58,Concrete,Grass,Concrete
59,Linoleum,Grass,Linoleum
60,Linoleum,Grass,Concrete
61,Linoleum,Grass,Linoleum
62,Linoleum,Grass,Linoleum
63,Grass,Grass,Grass
64,Grass,Grass,Concrete
65,Grass,Grass,Concrete
66,Grass,Grass,Concrete
67,Grass,Grass,Linoleum
68,Grass,Grass,Concrete
69,Grass,Grass,Grass
70,Linoleum,Gravel,Concrete
71,Concrete,Grass,Concrete
72,Concrete,Grass,Concrete
73,Linoleum,Grass,Concrete
74,Linoleum,Gravel,Concrete
75,Grass,Grass,Concrete
76,Grass,Grass,Concrete
77,Grass,Grass,Linoleum
78,Linoleum,Grass,Concrete
79,Linoleum,Grass,Linoleum
80,Grass,Grass,Grass
81,Grass,Grass,Grass
82,Grass,Grass,Grass
83,Grass,Grass,Concrete
84,Grass,Gravel,Carpet
85,Grass,Grass,Concrete
86,Grass,Grass,Concrete
87,Linoleum,Grass,Concrete
88,Sidewalk,Grass,Concrete
89,Grass,Grass,Linoleum
90,Grass,Grass,Sidewalk
91,Grass,Grass,Concrete
92,Linoleum,Grass,Linoleum
93,Grass,Grass,Concrete
94,Linoleum,Grass,Concrete
95,Linoleum,Grass,Concrete
96,Linoleum,Grass,Linoleum
97,Grass,Grass,Linoleum
98,Linoleum,Grass,Linoleum
99,Grass,Grass,Concrete
100,Grass,Grass,Concrete
101,Grass,Grass,Concrete
102,Grass,Grass,Concrete
103,Linoleum,Gravel,Grass
104,Concrete,Gravel,Concrete
105,Concrete,Gravel,Sidewalk
106,Linoleum,Gravel,Concrete
107,Grass,Grass,Concrete
108,Linoleum,Grass,Linoleum
109,Linoleum,Grass,Carpet
110,Grass,Grass,Carpet
111,Grass,Grass,Concrete
112,Grass,Grass,Concrete
113,Grass,Grass,Concrete
114,Grass,Grass,Concrete
115,Grass,Grass,Concrete
116,Grass,Grass,Concrete
117,Linoleum,Gravel,Concrete
118,Linoleum,Gravel,Sidewalk
119,Grass,Gravel,Linoleum
120,Linoleum,Gravel,Sidewalk
121,Grass,Grass,Carpet
122,Grass,Grass,Linoleum
123,Grass,Grass,Concrete
124,Linoleum,Grass,Concrete
125,Linoleum,Grass,Linoleum
126,Linoleum,Grass,Linoleum
127,Linoleum,Grass,Linoleum
128,Linoleum,Grass,Carpet
129,Linoleum,Grass,Linoleum
130,Grass,Grass,Concrete
131,Grass,Grass,Grass
132,Linoleum,Gravel,Concrete
133,Concrete,Grass,Concrete
134,Grass,Grass,Concrete
135,Linoleum,Gravel,Concrete
136,Grass,Grass,Concrete
137,Linoleum,Grass,Carpet
138,Linoleum,Grass,Concrete
139,Linoleum,Grass,Concrete
140,Linoleum,Grass,Concrete
141,Grass,Grass,Concrete
142,Linoleum,Grass,Concrete
143,Grass,Grass,Carpet
144,Grass,Grass,Linoleum
145,Linoleum,Grass,Concrete
146,Grass,Gravel,Concrete
147,Sidewalk,Grass,Concrete
148,Linoleum,Gravel,Carpet
149,Linoleum,Gravel,Sidewalk
150,Grass,Grass,Concrete
151,Linoleum,Gravel,Carpet
152,Linoleum,Grass,Carpet
153,Linoleum,Grass,Linoleum
154,Linoleum,Grass,Concrete
155,Linoleum,Grass,Linoleum
156,Grass,Grass,Carpet
157,Grass,Grass,Concrete
158,Grass,Grass,Grass
159,Grass,Grass,Carpet
160,Grass,Grass,Concrete
161,Concrete,Grass,Linoleum
162,Concrete,Gravel,Concrete
163,Linoleum,Gravel,Sidewalk
164,Grass,Grass,Concrete
165,Linoleum,Grass,Carpet
166,Linoleum,Grass,Concrete
167,Linoleum,Gravel,Concrete
168,Linoleum,Grass,Linoleum
169,Grass,Grass,Linoleum
170,Linoleum,Grass,Linoleum
171,Linoleum,Grass,Linoleum
172,Grass,Grass,Linoleum
173,Grass,Grass,Carpet
174,Grass,Grass,Concrete
175,Linoleum,Grass,Concrete
176,Linoleum,Gravel,Concrete
177,Concrete,Gravel,Concrete
178,Linoleum,Gravel,Concrete
179,Linoleum,Grass,Concrete
180,Linoleum,Grass,Carpet
181,Grass,Grass,Linoleum
182,Grass,Gravel,Linoleum
183,Linoleum,Gravel,Linoleum
184,Linoleum,Grass,Concrete
185,Grass,Grass,Concrete
186,Linoleum,Grass,Concrete
187,Grass,Grass,Carpet
188,Grass,Grass,Linoleum
189,Grass,Grass,Carpet
190,Concrete,Grass,Concrete
191,Linoleum,Grass,Carpet
192,Linoleum,Grass,Concrete
193,Grass,Gravel,Concrete
194,Linoleum,Grass,Concrete
195,Linoleum,Grass,Linoleum
196,Linoleum,Grass,Concrete
197,Linoleum,Gravel,Concrete
198,Linoleum,Grass,Linoleum
199,Linoleum,Grass,Concrete
200,Linoleum,Grass,Concrete
201,Linoleum,Grass,Carpet
202,Grass,Grass,Concrete
203,Grass,Grass,Concrete
204,Grass,Grass,Carpet
205,Concrete,Gravel,Concrete
206,Carpet,Gravel,Concrete
207,Linoleum,Grass,Concrete
208,Grass,Grass,Linoleum
209,Grass,Grass,Linoleum
210,Linoleum,Grass,Linoleum
211,Linoleum,Grass,Concrete
212,Linoleum,Grass,Linoleum
213,Grass,Grass,Concrete
214,Linoleum,Grass,Concrete
215,Grass,Grass,Linoleum
216,Grass,Grass,Concrete
217,Grass,Grass,Concrete
218,Grass,Grass,Concrete
219,Linoleum,Grass,Linoleum
220,Concrete,Gravel,Concrete
221,Concrete,Grass,Linoleum
222,Concrete,Gravel,Carpet
223,Gravel,Gravel,Carpet
224,Linoleum,Grass,Concrete
225,Linoleum,Grass,Linoleum
226,Linoleum,Grass,Linoleum
227,Linoleum,Grass,Concrete
228,Grass,Grass,Linoleum
229,Grass,Grass,Linoleum
230,Linoleum,Grass,Carpet
231,Grass,Grass,Linoleum
232,Grass,Grass,Linoleum
233,Grass,Grass,Carpet
234,Grass,Grass,Concrete
235,Linoleum,Grass,Linoleum
236,Grass,Grass,Concrete
237,Linoleum,Grass,Concrete
238,Grass,Grass,Concrete
239,Grass,Gravel,Concrete
240,Linoleum,Gravel,Concrete
241,Linoleum,Grass,Linoleum
242,Grass,Grass,Linoleum
243,Linoleum,Grass,Linoleum
244,Linoleum,Grass,Linoleum
245,Grass,Gravel,Concrete
246,Linoleum,Gravel,Concrete
247,Grass,Grass,Linoleum
248,Grass,Grass,Linoleum
249,Grass,Grass,Concrete
250,Concrete,Gravel,Concrete
251,Concrete,Gravel,Carpet
252,Grass,Gravel,Concrete
253,Grass,Grass,Linoleum
254,Gravel,Asphalt,Grass
255,Sidewalk,Asphalt,Asphalt
256,Sidewalk,Asphalt,Grass
