,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Linoleum,Grass,Asphalt
4,Asphalt,Sidewalk,Grass
5,Asphalt,Sidewalk,Asphalt
6,Asphalt,Sidewalk,Grass
7,Asphalt,Sidewalk,Asphalt
8,Grass,Sidewalk,Asphalt
9,Asphalt,Sidewalk,Asphalt
10,Asphalt,Concrete,Asphalt
11,Linoleum,Sidewalk,Linoleum
12,Concrete,Grass,Carpet
13,Linoleum,Gravel,Sidewalk
14,Linoleum,Gravel,Sidewalk
15,Linoleum,Gravel,Sidewalk
16,Concrete,Gravel,Sidewalk
17,Linoleum,Gravel,Sidewalk
18,Asphalt,Gravel,Sidewalk
19,Asphalt,Gravel,Gravel
20,Linoleum,Gravel,Sidewalk
21,Concrete,Gravel,Sidewalk
22,Linoleum,Gravel,Sidewalk
23,Concrete,Gravel,Sidewalk
24,Linoleum,Gravel,Gravel
25,Linoleum,Gravel,Sidewalk
26,Linoleum,Gravel,Gravel
27,Linoleum,Gravel,Sidewalk
28,Linoleum,Gravel,Sidewalk
29,Linoleum,Gravel,Sidewalk
30,Concrete,Gravel,Sidewalk
31,Concrete,Gravel,Gravel
32,Concrete,Gravel,Sidewalk
33,Concrete,Gravel,Sidewalk
34,Linoleum,Gravel,Sidewalk
35,Linoleum,Gravel,Asphalt
36,Linoleum,Gravel,Sidewalk
37,Concrete,Gravel,Sidewalk
38,Linoleum,Gravel,Sidewalk
39,Sidewalk,Gravel,Sidewalk
40,Linoleum,Gravel,Asphalt
41,Concrete,Gravel,Sidewalk
42,Linoleum,Gravel,Sidewalk
43,Concrete,Gravel,Sidewalk
44,Linoleum,Gravel,Gravel
45,Linoleum,Gravel,Gravel
46,Concrete,Gravel,Sidewalk
47,Linoleum,Gravel,Sidewalk
48,Gravel,Gravel,Sidewalk
49,Linoleum,Gravel,Gravel
50,Concrete,Gravel,Gravel
51,Sidewalk,Gravel,Sidewalk
52,Carpet,Gravel,Gravel
53,Linoleum,Gravel,Sidewalk
54,Concrete,Gravel,Sidewalk
55,Linoleum,Gravel,Sidewalk
56,Linoleum,Gravel,Sidewalk
57,Concrete,Gravel,Gravel
58,Linoleum,Gravel,Sidewalk
59,Sidewalk,Gravel,Sidewalk
60,Carpet,Gravel,Sidewalk
61,Carpet,Gravel,Sidewalk
62,Asphalt,Gravel,Sidewalk
63,Linoleum,Gravel,Sidewalk
64,Linoleum,Gravel,Sidewalk
65,Linoleum,Gravel,Sidewalk
66,Linoleum,Gravel,Sidewalk
67,Concrete,Gravel,Sidewalk
68,Concrete,Gravel,Sidewalk
69,Concrete,Gravel,Sidewalk
70,Linoleum,Gravel,Gravel
71,Concrete,Gravel,Sidewalk
72,Asphalt,Gravel,Sidewalk
73,Linoleum,Gravel,Gravel
74,Linoleum,Gravel,Gravel
75,Linoleum,Gravel,Gravel
76,Linoleum,Gravel,Sidewalk
77,Concrete,Gravel,Sidewalk
78,Concrete,Gravel,Sidewalk
79,Linoleum,Gravel,Sidewalk
80,Linoleum,Gravel,Sidewalk
81,Concrete,Gravel,Asphalt
82,Carpet,Gravel,Gravel
83,Linoleum,Gravel,Sidewalk
84,Linoleum,Gravel,Sidewalk
85,Linoleum,Gravel,Sidewalk
86,Linoleum,Gravel,Sidewalk
87,Linoleum,Gravel,Sidewalk
88,Linoleum,Gravel,Asphalt
89,Linoleum,Gravel,Sidewalk
90,Concrete,Gravel,Sidewalk
91,Sidewalk,Gravel,Sidewalk
92,Linoleum,Gravel,Sidewalk
93,Sidewalk,Gravel,Sidewalk
94,Carpet,Gravel,Sidewalk
95,Linoleum,Gravel,Sidewalk
96,Linoleum,Gravel,Sidewalk
97,Linoleum,Gravel,Sidewalk
98,Linoleum,Gravel,Sidewalk
99,Linoleum,Gravel,Sidewalk
100,Concrete,Gravel,Sidewalk
101,Sidewalk,Gravel,Sidewalk
102,Asphalt,Gravel,Sidewalk
103,Asphalt,Gravel,Sidewalk
104,Asphalt,Gravel,Sidewalk
105,Concrete,Gravel,Gravel
106,Linoleum,Gravel,Sidewalk
107,Linoleum,Gravel,Sidewalk
108,Linoleum,Gravel,Sidewalk
109,Linoleum,Gravel,Sidewalk
110,Linoleum,Gravel,Asphalt
111,Linoleum,Gravel,Sidewalk
112,Carpet,Gravel,Sidewalk
113,Concrete,Gravel,Sidewalk
114,Linoleum,Gravel,Sidewalk
115,Linoleum,Gravel,Sidewalk
116,Linoleum,Gravel,Gravel
117,Linoleum,Gravel,Gravel
118,Concrete,Gravel,Sidewalk
119,Linoleum,Gravel,Sidewalk
120,Linoleum,Gravel,Sidewalk
121,Linoleum,Gravel,Sidewalk
122,Linoleum,Gravel,Sidewalk
123,Linoleum,Gravel,Gravel
124,Concrete,Gravel,Sidewalk
125,Sidewalk,Gravel,Sidewalk
126,Asphalt,Gravel,Gravel
127,Linoleum,Gravel,Gravel
128,Linoleum,Gravel,Sidewalk
129,Linoleum,Gravel,Sidewalk
130,Carpet,Gravel,Gravel
131,Linoleum,Gravel,Asphalt
132,Linoleum,Gravel,Gravel
133,Concrete,Gravel,Sidewalk
134,Linoleum,Gravel,Sidewalk
135,Linoleum,Gravel,Gravel
136,Sidewalk,Gravel,Sidewalk
137,Sidewalk,Gravel,Sidewalk
138,Linoleum,Gravel,Sidewalk
139,Linoleum,Gravel,Sidewalk
140,Linoleum,Gravel,Sidewalk
141,Linoleum,Gravel,Gravel
142,Linoleum,Gravel,Sidewalk
143,Concrete,Gravel,Asphalt
144,Linoleum,Gravel,Sidewalk
145,Linoleum,Gravel,Gravel
146,Linoleum,Gravel,Sidewalk
147,Linoleum,Gravel,Sidewalk
148,Concrete,Gravel,Sidewalk
149,Linoleum,Gravel,Sidewalk
150,Linoleum,Gravel,Asphalt
151,Linoleum,Gravel,Sidewalk
152,Linoleum,Gravel,Sidewalk
153,Linoleum,Gravel,Sidewalk
154,Linoleum,Gravel,Sidewalk
155,Linoleum,Gravel,Sidewalk
156,Concrete,Gravel,Sidewalk
157,Concrete,Gravel,Asphalt
158,Linoleum,Gravel,Sidewalk
159,Concrete,Gravel,Gravel
160,Linoleum,Gravel,Sidewalk
161,Linoleum,Gravel,Sidewalk
162,Carpet,Gravel,Gravel
163,Concrete,Gravel,Sidewalk
164,Linoleum,Gravel,Asphalt
165,Linoleum,Gravel,Sidewalk
166,Concrete,Gravel,Sidewalk
167,Linoleum,Gravel,Sidewalk
168,Concrete,Gravel,Sidewalk
169,Concrete,Gravel,Sidewalk
170,Sidewalk,Gravel,Gravel
171,Concrete,Gravel,Sidewalk
172,Linoleum,Gravel,Sidewalk
173,Linoleum,Gravel,Sidewalk
174,Linoleum,Gravel,Sidewalk
175,Linoleum,Gravel,Sidewalk
176,Concrete,Gravel,Sidewalk
177,Linoleum,Gravel,Sidewalk
178,Concrete,Gravel,Sidewalk
179,Sidewalk,Gravel,Sidewalk
180,Concrete,Gravel,Sidewalk
181,Sidewalk,Gravel,Sidewalk
182,Linoleum,Gravel,Sidewalk
183,Sidewalk,Gravel,Sidewalk
184,Linoleum,Gravel,Gravel
185,Linoleum,Gravel,Sidewalk
186,Linoleum,Gravel,Asphalt
187,Concrete,Gravel,Sidewalk
188,Linoleum,Gravel,Sidewalk
189,Linoleum,Gravel,Sidewalk
190,Sidewalk,Gravel,Sidewalk
191,Concrete,Gravel,Sidewalk
192,Linoleum,Gravel,Sidewalk
193,Linoleum,Gravel,Sidewalk
194,Linoleum,Gravel,Asphalt
195,Sidewalk,Gravel,Sidewalk
196,Linoleum,Gravel,Sidewalk
197,Concrete,Gravel,Asphalt
198,Linoleum,Gravel,Sidewalk
199,Sidewalk,Gravel,Sidewalk
200,Concrete,Gravel,Sidewalk
201,Sidewalk,Gravel,Sidewalk
202,Asphalt,Gravel,Sidewalk
203,Linoleum,Gravel,Sidewalk
204,Linoleum,Gravel,Sidewalk
205,Concrete,Gravel,Sidewalk
206,Concrete,Gravel,Sidewalk
207,Linoleum,Gravel,Asphalt
208,Concrete,Gravel,Sidewalk
209,Sidewalk,Gravel,Sidewalk
210,Asphalt,Gravel,Sidewalk
211,Concrete,Gravel,Asphalt
212,Linoleum,Gravel,Sidewalk
213,Sidewalk,Gravel,Sidewalk
214,Concrete,Gravel,Sidewalk
215,Concrete,Gravel,Gravel
216,Carpet,Gravel,Sidewalk
217,Concrete,Gravel,Sidewalk
218,Linoleum,Gravel,Sidewalk
219,Concrete,Gravel,Asphalt
220,Concrete,Gravel,Sidewalk
221,Concrete,Gravel,Sidewalk
222,Sidewalk,Gravel,Sidewalk
223,Asphalt,Gravel,Sidewalk
224,Sidewalk,Gravel,Sidewalk
225,Sidewalk,Gravel,Sidewalk
226,Linoleum,Gravel,Sidewalk
227,Carpet,Gravel,Sidewalk
228,Linoleum,Gravel,Sidewalk
229,Carpet,Gravel,Sidewalk
230,Concrete,Gravel,Sidewalk
231,Linoleum,Gravel,Sidewalk
232,Linoleum,Gravel,Sidewalk
233,Sidewalk,Gravel,Sidewalk
234,Linoleum,Gravel,Sidewalk
235,Linoleum,Gravel,Sidewalk
236,Linoleum,Gravel,Sidewalk
237,Linoleum,Gravel,Sidewalk
238,Linoleum,Gravel,Gravel
239,Linoleum,Gravel,Asphalt
240,Gravel,Gravel,Sidewalk
241,Linoleum,Gravel,Asphalt
242,Concrete,Gravel,Asphalt
243,Linoleum,Grass,Concrete
244,Grass,Sidewalk,Linoleum
245,Grass,Asphalt,Grass
246,Grass,Sidewalk,Grass
247,Grass,Sidewalk,Grass
