,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Grass,Concrete,Gravel
4,Linoleum,Concrete,Asphalt
5,Linoleum,Linoleum,Grass
6,Concrete,Sidewalk,Asphalt
7,Asphalt,Sidewalk,Grass
8,Asphalt,Sidewalk,Asphalt
9,Concrete,Sidewalk,Grass
10,Concrete,Sidewalk,Asphalt
11,Asphalt,Sidewalk,Grass
12,Asphalt,Asphalt,Asphalt
13,Concrete,Grass,Asphalt
14,Concrete,Concrete,Asphalt
15,Asphalt,Asphalt,Grass
16,Asphalt,Asphalt,Asphalt
17,Asphalt,Asphalt,Asphalt
18,Asphalt,Asphalt,Grass
19,Concrete,Sidewalk,Asphalt
20,Concrete,Grass,Asphalt
21,Concrete,Grass,Asphalt
22,Concrete,Grass,Grass
23,Grass,Linoleum,Linoleum
24,Concrete,Gravel,Concrete
25,Linoleum,Gravel,Asphalt
26,Linoleum,Gravel,Sidewalk
27,Linoleum,Gravel,Sidewalk
28,Sidewalk,Gravel,Sidewalk
29,Linoleum,Gravel,Sidewalk
30,Linoleum,Gravel,Sidewalk
31,Linoleum,Gravel,Sidewalk
32,Linoleum,Gravel,Sidewalk
33,Linoleum,Gravel,Asphalt
34,Linoleum,Gravel,Sidewalk
35,Linoleum,Gravel,Asphalt
36,Linoleum,Gravel,Sidewalk
37,Linoleum,Gravel,Sidewalk
38,Linoleum,Gravel,Gravel
39,Linoleum,Gravel,Concrete
40,Concrete,Gravel,Sidewalk
41,Carpet,Gravel,Sidewalk
42,Linoleum,Gravel,Sidewalk
43,Linoleum,Gravel,Gravel
44,Concrete,Gravel,Sidewalk
45,Linoleum,Gravel,Sidewalk
46,Concrete,Gravel,Asphalt
47,Linoleum,Gravel,Carpet
48,Sidewalk,Gravel,Gravel
49,Concrete,Gravel,Sidewalk
50,Linoleum,Gravel,Concrete
51,Concrete,Gravel,Sidewalk
52,Concrete,Gravel,Gravel
53,Linoleum,Gravel,Sidewalk
54,Concrete,Gravel,Sidewalk
55,Concrete,Gravel,Sidewalk
56,Sidewalk,Gravel,Sidewalk
57,Linoleum,Gravel,Sidewalk
58,Linoleum,Gravel,Sidewalk
59,Linoleum,Gravel,Gravel
60,Linoleum,Gravel,Gravel
61,Linoleum,Gravel,Sidewalk
62,Gravel,Gravel,Sidewalk
63,Linoleum,Gravel,Sidewalk
64,Concrete,Gravel,Gravel
65,Linoleum,Gravel,Sidewalk
66,Concrete,Gravel,Sidewalk
67,Carpet,Gravel,Asphalt
68,Sidewalk,Gravel,Sidewalk
69,Concrete,Gravel,Sidewalk
70,Sidewalk,Gravel,Sidewalk
71,Concrete,Gravel,Sidewalk
72,Gravel,Gravel,Sidewalk
73,Concrete,Gravel,Sidewalk
74,Concrete,Gravel,Sidewalk
75,Linoleum,Gravel,Gravel
76,Asphalt,Gravel,Sidewalk
77,Linoleum,Gravel,Sidewalk
78,Linoleum,Gravel,Sidewalk
79,Linoleum,Gravel,Sidewalk
80,Linoleum,Gravel,Sidewalk
81,Concrete,Gravel,Gravel
82,Sidewalk,Gravel,Sidewalk
83,Linoleum,Gravel,Sidewalk
84,Linoleum,Gravel,Asphalt
85,Sidewalk,Gravel,Gravel
86,Concrete,Gravel,Gravel
87,Sidewalk,Gravel,Sidewalk
88,Linoleum,Gravel,Gravel
89,Sidewalk,Gravel,Sidewalk
90,Concrete,Gravel,Sidewalk
91,Concrete,Gravel,Sidewalk
92,Concrete,Gravel,Asphalt
93,Sidewalk,Gravel,Sidewalk
94,Concrete,Gravel,Concrete
95,Linoleum,Gravel,Sidewalk
96,Linoleum,Gravel,Asphalt
97,Linoleum,Gravel,Sidewalk
98,Linoleum,Gravel,Sidewalk
99,Linoleum,Gravel,Sidewalk
100,Concrete,Gravel,Sidewalk
101,Linoleum,Gravel,Sidewalk
102,Concrete,Gravel,Sidewalk
103,Linoleum,Gravel,Sidewalk
104,Linoleum,Gravel,Sidewalk
105,Concrete,Gravel,Sidewalk
106,Linoleum,Gravel,Sidewalk
107,Carpet,Gravel,Sidewalk
108,Sidewalk,Gravel,Sidewalk
109,Concrete,Gravel,Sidewalk
110,Concrete,Gravel,Sidewalk
111,Concrete,Gravel,Sidewalk
112,Concrete,Gravel,Sidewalk
113,Linoleum,Gravel,Sidewalk
114,Carpet,Gravel,Sidewalk
115,Linoleum,Gravel,Sidewalk
116,Linoleum,Gravel,Sidewalk
117,Linoleum,Gravel,Gravel
118,Linoleum,Gravel,Gravel
119,Linoleum,Gravel,Asphalt
120,Linoleum,Gravel,Asphalt
121,Gravel,Gravel,Sidewalk
122,Gravel,Gravel,Sidewalk
123,Linoleum,Gravel,Sidewalk
124,Concrete,Gravel,Sidewalk
125,Concrete,Gravel,Sidewalk
126,Linoleum,Gravel,Sidewalk
127,Concrete,Gravel,Sidewalk
128,Linoleum,Gravel,Asphalt
129,Sidewalk,Gravel,Sidewalk
130,Sidewalk,Gravel,Sidewalk
131,Linoleum,Gravel,Gravel
132,Concrete,Gravel,Sidewalk
133,Sidewalk,Gravel,Sidewalk
134,Carpet,Gravel,Gravel
135,Concrete,Gravel,Sidewalk
136,Concrete,Gravel,Gravel
137,Linoleum,Gravel,Sidewalk
138,Linoleum,Gravel,Sidewalk
139,Concrete,Gravel,Sidewalk
140,Concrete,Gravel,Sidewalk
141,Carpet,Gravel,Sidewalk
142,Concrete,Gravel,Sidewalk
143,Linoleum,Gravel,Sidewalk
144,Linoleum,Gravel,Sidewalk
145,Linoleum,Gravel,Sidewalk
146,Linoleum,Gravel,Sidewalk
147,Sidewalk,Gravel,Sidewalk
148,Linoleum,Gravel,Linoleum
149,Sidewalk,Gravel,Asphalt
150,Concrete,Gravel,Concrete
151,Linoleum,Gravel,Sidewalk
152,Concrete,Gravel,Gravel
153,Concrete,Gravel,Sidewalk
154,Sidewalk,Gravel,Sidewalk
155,Sidewalk,Gravel,Sidewalk
156,Linoleum,Gravel,Sidewalk
157,Concrete,Gravel,Sidewalk
158,Linoleum,Gravel,Sidewalk
159,Linoleum,Gravel,Sidewalk
160,Linoleum,Gravel,Asphalt
161,Linoleum,Gravel,Sidewalk
162,Linoleum,Gravel,Sidewalk
163,Linoleum,Gravel,Carpet
164,Carpet,Gravel,Gravel
165,Sidewalk,Gravel,Sidewalk
166,Concrete,Gravel,Linoleum
167,Sidewalk,Gravel,Sidewalk
168,Sidewalk,Gravel,Sidewalk
169,Concrete,Gravel,Sidewalk
170,Linoleum,Gravel,Sidewalk
171,Linoleum,Gravel,Sidewalk
172,Concrete,Gravel,Sidewalk
173,Concrete,Gravel,Sidewalk
174,Linoleum,Gravel,Asphalt
175,Concrete,Gravel,Sidewalk
176,Concrete,Gravel,Sidewalk
177,Linoleum,Gravel,Sidewalk
178,Sidewalk,Gravel,Sidewalk
179,Linoleum,Gravel,Sidewalk
180,Concrete,Gravel,Sidewalk
181,Sidewalk,Gravel,Sidewalk
182,Concrete,Gravel,Sidewalk
183,Linoleum,Gravel,Sidewalk
184,Concrete,Gravel,Sidewalk
185,Linoleum,Gravel,Sidewalk
186,Concrete,Gravel,Sidewalk
187,Linoleum,Gravel,Sidewalk
188,Linoleum,Gravel,Asphalt
189,Linoleum,Gravel,Asphalt
190,Linoleum,Gravel,Sidewalk
191,Linoleum,Gravel,Sidewalk
192,Sidewalk,Gravel,Sidewalk
193,Sidewalk,Gravel,Asphalt
194,Sidewalk,Gravel,Sidewalk
195,Linoleum,Gravel,Sidewalk
196,Linoleum,Gravel,Sidewalk
197,Linoleum,Gravel,Sidewalk
198,Concrete,Gravel,Asphalt
199,Linoleum,Gravel,Sidewalk
200,Linoleum,Gravel,Sidewalk
201,Linoleum,Gravel,Concrete
202,Linoleum,Gravel,Sidewalk
203,Linoleum,Gravel,Sidewalk
204,Concrete,Gravel,Sidewalk
205,Sidewalk,Gravel,Sidewalk
206,Concrete,Gravel,Sidewalk
207,Carpet,Gravel,Linoleum
208,Concrete,Gravel,Asphalt
209,Concrete,Gravel,Sidewalk
210,Concrete,Gravel,Sidewalk
211,Concrete,Gravel,Sidewalk
212,Linoleum,Gravel,Sidewalk
213,Linoleum,Gravel,Sidewalk
214,Linoleum,Gravel,Sidewalk
215,Linoleum,Gravel,Sidewalk
216,Linoleum,Gravel,Sidewalk
217,Linoleum,Gravel,Sidewalk
218,Linoleum,Gravel,Asphalt
219,Linoleum,Gravel,Sidewalk
220,Sidewalk,Gravel,Sidewalk
221,Concrete,Gravel,Sidewalk
222,Concrete,Gravel,Sidewalk
223,Linoleum,Gravel,Sidewalk
224,Concrete,Gravel,Gravel
225,Linoleum,Gravel,Sidewalk
226,Linoleum,Gravel,Sidewalk
227,Concrete,Gravel,Sidewalk
228,Concrete,Gravel,Sidewalk
229,Concrete,Gravel,Asphalt
230,Linoleum,Gravel,Sidewalk
231,Concrete,Gravel,Sidewalk
232,Concrete,Gravel,Sidewalk
233,Concrete,Gravel,Sidewalk
234,Sidewalk,Gravel,Sidewalk
235,Concrete,Gravel,Sidewalk
236,Sidewalk,Gravel,Sidewalk
237,Concrete,Gravel,Sidewalk
238,Concrete,Gravel,Sidewalk
239,Linoleum,Gravel,Sidewalk
240,Linoleum,Gravel,Sidewalk
241,Concrete,Gravel,Concrete
242,Linoleum,Gravel,Sidewalk
243,Linoleum,Gravel,Sidewalk
244,Linoleum,Gravel,Sidewalk
245,Concrete,Gravel,Sidewalk
246,Concrete,Gravel,Carpet
247,Concrete,Gravel,Sidewalk
248,Sidewalk,Gravel,Concrete
249,Sidewalk,Gravel,Sidewalk
250,Sidewalk,Gravel,Sidewalk
251,Sidewalk,Gravel,Sidewalk
252,Linoleum,Gravel,Asphalt
253,Sidewalk,Gravel,Sidewalk
254,Linoleum,Gravel,Sidewalk
255,Concrete,Gravel,Sidewalk
256,Linoleum,Gravel,Sidewalk
257,Sidewalk,Gravel,Concrete
258,Linoleum,Gravel,Carpet
259,Linoleum,Gravel,Sidewalk
260,Linoleum,Gravel,Sidewalk
261,Linoleum,Gravel,Sidewalk
262,Linoleum,Gravel,Sidewalk
263,Concrete,Gravel,Sidewalk
264,Concrete,Gravel,Asphalt
265,Concrete,Gravel,Concrete
266,Linoleum,Gravel,Asphalt
267,Sidewalk,Gravel,Asphalt
268,Linoleum,Gravel,Sidewalk
269,Concrete,Gravel,Sidewalk
270,Linoleum,Gravel,Sidewalk
271,Linoleum,Gravel,Sidewalk
272,Concrete,Gravel,Asphalt
273,Gravel,Gravel,Sidewalk
274,Linoleum,Gravel,Sidewalk
275,Linoleum,Gravel,Sidewalk
276,Concrete,Gravel,Sidewalk
277,Asphalt,Gravel,Sidewalk
278,Sidewalk,Gravel,Sidewalk
279,Concrete,Gravel,Concrete
280,Concrete,Gravel,Sidewalk
281,Sidewalk,Gravel,Sidewalk
282,Concrete,Gravel,Sidewalk
283,Concrete,Gravel,Sidewalk
284,Gravel,Gravel,Sidewalk
285,Carpet,Gravel,Sidewalk
286,Concrete,Gravel,Sidewalk
287,Concrete,Gravel,Sidewalk
288,Concrete,Gravel,Sidewalk
289,Concrete,Gravel,Sidewalk
290,Concrete,Gravel,Sidewalk
291,Sidewalk,Gravel,Sidewalk
292,Linoleum,Gravel,Concrete
293,Linoleum,Gravel,Sidewalk
294,Concrete,Gravel,Sidewalk
295,Linoleum,Gravel,Gravel
296,Linoleum,Gravel,Sidewalk
297,Linoleum,Grass,Linoleum
298,Linoleum,Asphalt,Grass
299,Concrete,Sidewalk,Asphalt
300,Concrete,Sidewalk,Asphalt
301,Concrete,Sidewalk,Asphalt
302,Concrete,Sidewalk,Grass
303,Concrete,Sidewalk,Grass
