,RF Time,RF Frequency,RF PSD
0,Grass,Concrete,Gravel
1,Grass,Concrete,Gravel
2,Grass,Concrete,Gravel
3,Linoleum,Linoleum,Asphalt
4,Grass,Asphalt,Asphalt
5,Asphalt,Concrete,Asphalt
6,Asphalt,Linoleum,Asphalt
7,Asphalt,Sidewalk,Asphalt
8,Asphalt,Asphalt,Grass
9,Asphalt,Asphalt,Grass
10,Grass,Grass,Linoleum
11,Linoleum,Linoleum,Concrete
12,Linoleum,Grass,Linoleum
13,Linoleum,Gravel,Concrete
14,Linoleum,Grass,Concrete
15,Linoleum,Grass,Linoleum
16,Carpet,Linoleum,Linoleum
17,Linoleum,Grass,Concrete
18,Linoleum,Grass,Concrete
19,Linoleum,Linoleum,Linoleum
20,Linoleum,Grass,Linoleum
21,Linoleum,Grass,Linoleum
22,Linoleum,Grass,Linoleum
23,Linoleum,Grass,Concrete
24,Linoleum,Grass,Linoleum
25,Concrete,Linoleum,Linoleum
26,Concrete,Grass,Concrete
27,Concrete,Grass,Linoleum
28,Concrete,Grass,Linoleum
29,Linoleum,Grass,Concrete
30,Linoleum,Linoleum,Concrete
31,Linoleum,Grass,Carpet
32,Linoleum,Linoleum,Carpet
33,Linoleum,Grass,Linoleum
34,Linoleum,Grass,Linoleum
35,Linoleum,Grass,Concrete
36,Concrete,Grass,Carpet
37,Linoleum,Grass,Linoleum
38,Concrete,Grass,Carpet
39,Concrete,Grass,Carpet
40,Concrete,Grass,Carpet
41,Concrete,Grass,Linoleum
42,Linoleum,Grass,Linoleum
43,Linoleum,Linoleum,Concrete
44,Linoleum,Linoleum,Linoleum
45,Linoleum,Grass,Linoleum
46,Linoleum,Linoleum,Concrete
47,Concrete,Linoleum,Carpet
48,Concrete,Grass,Linoleum
49,Linoleum,Grass,Linoleum
50,Concrete,Grass,Carpet
51,Linoleum,Grass,Linoleum
52,Concrete,Grass,Linoleum
53,Concrete,Grass,Concrete
54,Linoleum,Grass,Concrete
55,Linoleum,Grass,Carpet
56,Linoleum,Grass,Linoleum
57,Linoleum,Grass,Linoleum
58,Concrete,Grass,Linoleum
59,Linoleum,Linoleum,Linoleum
60,Linoleum,Grass,Linoleum
61,Concrete,Linoleum,Concrete
62,Linoleum,Grass,Linoleum
63,Linoleum,Grass,Linoleum
64,Linoleum,Grass,Linoleum
65,Linoleum,Grass,Linoleum
66,Linoleum,Grass,Linoleum
67,Linoleum,Linoleum,Linoleum
68,Linoleum,Grass,Linoleum
69,Linoleum,Grass,Linoleum
70,Linoleum,Grass,Linoleum
71,Linoleum,Grass,Carpet
72,Linoleum,Grass,Concrete
73,Linoleum,Grass,Linoleum
74,Linoleum,Linoleum,Concrete
75,Concrete,Grass,Carpet
76,Concrete,Grass,Carpet
77,Linoleum,Grass,Concrete
78,Linoleum,Grass,Concrete
79,Linoleum,Grass,Concrete
80,Linoleum,Linoleum,Concrete
81,Linoleum,Linoleum,Concrete
82,Linoleum,Grass,Linoleum
83,Linoleum,Grass,Linoleum
84,Linoleum,Grass,Carpet
85,Linoleum,Grass,Concrete
86,Linoleum,Grass,Linoleum
87,Concrete,Grass,Carpet
88,Concrete,Concrete,Carpet
89,Concrete,Linoleum,Concrete
90,Linoleum,Grass,Linoleum
91,Linoleum,Linoleum,Carpet
92,Linoleum,Linoleum,Carpet
93,Linoleum,Grass,Linoleum
94,Linoleum,Grass,Carpet
95,Concrete,Grass,Concrete
96,Concrete,Grass,Linoleum
97,Concrete,Grass,Concrete
98,Concrete,Grass,Carpet
99,Concrete,Grass,Concrete
100,Linoleum,Grass,Linoleum
101,Linoleum,Grass,Concrete
102,Linoleum,Grass,Linoleum
103,Linoleum,Linoleum,Linoleum
104,Linoleum,Grass,Linoleum
105,Linoleum,Grass,Linoleum
106,Concrete,Grass,Carpet
107,Linoleum,Grass,Linoleum
108,Concrete,Grass,Concrete
109,Linoleum,Grass,Linoleum
110,Concrete,Grass,Linoleum
111,Linoleum,Grass,Carpet
112,Carpet,Grass,Linoleum
113,Linoleum,Grass,Linoleum
114,Linoleum,Grass,Linoleum
115,Linoleum,Grass,Concrete
116,Linoleum,Grass,Linoleum
117,Linoleum,Grass,Linoleum
118,Linoleum,Grass,Linoleum
119,Linoleum,Linoleum,Carpet
120,Linoleum,Grass,Concrete
121,Linoleum,Grass,Carpet
122,Concrete,Concrete,Carpet
123,Concrete,Grass,Linoleum
124,Linoleum,Linoleum,Linoleum
125,Linoleum,Grass,Linoleum
126,Linoleum,Grass,Linoleum
127,Linoleum,Grass,Carpet
128,Linoleum,Linoleum,Carpet
129,Linoleum,Grass,Carpet
130,Concrete,Grass,Linoleum
131,Concrete,Grass,Linoleum
132,Linoleum,Grass,Concrete
133,Linoleum,Linoleum,Carpet
134,Linoleum,Grass,Linoleum
135,Linoleum,Grass,Linoleum
136,Linoleum,Linoleum,Linoleum
137,Linoleum,Grass,Linoleum
138,Concrete,Grass,Carpet
139,Linoleum,Grass,Concrete
140,Linoleum,Grass,Linoleum
141,Linoleum,Grass,Linoleum
142,Linoleum,Grass,Linoleum
143,Linoleum,Grass,Carpet
144,Linoleum,Grass,Linoleum
145,Linoleum,Grass,Concrete
146,Concrete,Grass,Concrete
147,Concrete,Grass,Linoleum
148,Linoleum,Grass,Linoleum
149,Linoleum,Grass,Concrete
150,Linoleum,Linoleum,Carpet
151,Linoleum,Grass,Carpet
152,Linoleum,Grass,Carpet
153,Linoleum,Grass,Linoleum
154,Linoleum,Grass,Concrete
155,Linoleum,Grass,Concrete
156,Linoleum,Linoleum,Concrete
157,Carpet,Grass,Concrete
158,Linoleum,Grass,Linoleum
159,Linoleum,Grass,Carpet
160,Linoleum,Grass,Concrete
161,Linoleum,Grass,Carpet
162,Linoleum,Grass,Carpet
163,Linoleum,Grass,Concrete
164,Linoleum,Grass,Linoleum
165,Linoleum,Linoleum,Carpet
166,Linoleum,Linoleum,Concrete
167,Linoleum,Linoleum,Concrete
168,Concrete,Grass,Concrete
169,Linoleum,Grass,Linoleum
170,Concrete,Grass,Linoleum
171,Linoleum,Grass,Linoleum
172,Linoleum,Grass,Concrete
173,Linoleum,Grass,Concrete
174,Linoleum,Grass,Concrete
175,Linoleum,Linoleum,Concrete
176,Linoleum,Grass,Concrete
177,Linoleum,Grass,Linoleum
178,Linoleum,Grass,Carpet
179,Concrete,Grass,Carpet
180,Concrete,Grass,Sidewalk
181,Concrete,Linoleum,Concrete
182,Concrete,Grass,Carpet
183,Linoleum,Grass,Concrete
184,Linoleum,Grass,Linoleum
185,Linoleum,Grass,Carpet
186,Linoleum,Grass,Carpet
187,Linoleum,Grass,Linoleum
188,Linoleum,Grass,Linoleum
189,Linoleum,Grass,Concrete
190,Concrete,Linoleum,Carpet
191,Linoleum,Linoleum,Linoleum
192,Linoleum,Grass,Concrete
193,Linoleum,Grass,Carpet
194,Linoleum,Grass,Concrete
195,Linoleum,Linoleum,Linoleum
196,Linoleum,Grass,Linoleum
197,Linoleum,Grass,Linoleum
198,Linoleum,Grass,Linoleum
199,Linoleum,Grass,Concrete
200,Concrete,Grass,Linoleum
201,Linoleum,Grass,Concrete
202,Linoleum,Grass,Linoleum
203,Linoleum,Grass,Carpet
204,Linoleum,Grass,Concrete
205,Linoleum,Grass,Concrete
206,Linoleum,Grass,Linoleum
207,Linoleum,Grass,Linoleum
208,Linoleum,Grass,Linoleum
209,Linoleum,Concrete,Carpet
210,Concrete,Grass,Carpet
211,Concrete,Grass,Linoleum
212,Concrete,Grass,Carpet
213,Linoleum,Grass,Linoleum
214,Linoleum,Grass,Carpet
215,Linoleum,Grass,Linoleum
216,Linoleum,Grass,Linoleum
217,Linoleum,Grass,Linoleum
218,Linoleum,Grass,Linoleum
219,Linoleum,Grass,Linoleum
220,Concrete,Grass,Carpet
221,Concrete,Grass,Carpet
222,Linoleum,Grass,Concrete
223,Concrete,Linoleum,Concrete
224,Concrete,Grass,Linoleum
225,Linoleum,Grass,Concrete
226,Linoleum,Grass,Linoleum
227,Linoleum,Grass,Linoleum
228,Linoleum,Grass,Linoleum
229,Linoleum,Grass,Concrete
230,Concrete,Linoleum,Carpet
231,Linoleum,Grass,Linoleum
232,Concrete,Grass,Linoleum
