,True Label,RF Time,Time
0,1.0,0.0,1612686582.5986404
1,1.0,0.0,1612686582.6287587
2,1.0,0.0,1612686582.6582654
3,1.0,0.0,1612686582.688335
4,1.0,0.0,1612686582.7177823
5,1.0,0.0,1612686582.748929
6,1.0,0.0,1612686582.775489
7,1.0,0.0,1612686582.808048
8,1.0,0.0,1612686582.8348215
9,1.0,0.0,1612686582.859794
10,1.0,0.0,1612686582.885878
11,1.0,0.0,1612686582.9133198
12,1.0,0.0,1612686582.938586
13,1.0,0.0,1612686582.959328
14,1.0,0.0,1612686582.9771342
15,1.0,0.0,1612686583.0007696
16,1.0,0.0,1612686583.0256338
17,1.0,0.0,1612686583.0505545
18,1.0,0.0,1612686583.0761495
19,1.0,0.0,1612686583.1005526
20,1.0,0.0,1612686583.1262205
21,1.0,0.0,1612686583.149783
22,1.0,0.0,1612686583.1714246
23,1.0,0.0,1612686583.1936512
24,1.0,0.0,1612686583.2185485
25,1.0,0.0,1612686583.2415588
26,1.0,0.0,1612686583.2689633
27,1.0,0.0,1612686583.2959557
28,1.0,0.0,1612686583.319374
29,1.0,0.0,1612686583.346119
30,1.0,0.0,1612686583.372417
31,1.0,0.0,1612686583.3900108
32,1.0,0.0,1612686583.4156046
33,1.0,0.0,1612686583.442239
34,1.0,0.0,1612686583.46967
35,1.0,0.0,1612686583.4953053
36,1.0,0.0,1612686583.5189586
37,1.0,0.0,1612686583.5431347
38,1.0,0.0,1612686583.5683885
39,1.0,0.0,1612686583.59101
40,1.0,0.0,1612686583.6093142
41,1.0,0.0,1612686583.6361387
42,1.0,0.0,1612686583.6635273
43,1.0,0.0,1612686583.6948204
44,1.0,0.0,1612686583.720537
45,1.0,0.0,1612686583.7490559
46,1.0,0.0,1612686583.7750835
47,1.0,0.0,1612686583.8015964
48,1.0,0.0,1612686583.8216863
49,1.0,0.0,1612686583.8428593
50,1.0,0.0,1612686583.8687005
51,1.0,0.0,1612686583.893492
52,1.0,0.0,1612686583.9204035
53,1.0,0.0,1612686583.9444997
54,1.0,0.0,1612686583.9716725
55,1.0,0.0,1612686583.9966857
56,1.0,0.0,1612686584.022083
57,1.0,0.0,1612686584.042511
58,1.0,0.0,1612686584.066684
59,1.0,0.0,1612686584.0947263
