,True Label,RF Time,Time
0,2.0,0.0,1612687119.9471571
1,2.0,0.0,1612687119.9761508
2,2.0,0.0,1612687120.0108798
3,2.0,0.0,1612687120.0424542
4,2.0,0.0,1612687120.0714793
5,2.0,0.0,1612687120.0997288
6,2.0,0.0,1612687120.1298287
7,2.0,0.0,1612687120.157197
8,2.0,0.0,1612687120.185199
9,2.0,0.0,1612687120.2098868
10,2.0,0.0,1612687120.2370622
11,2.0,0.0,1612687120.266046
12,2.0,0.0,1612687120.2911723
13,2.0,0.0,1612687120.3112993
14,2.0,0.0,1612687120.3289506
15,2.0,0.0,1612687120.353254
16,2.0,0.0,1612687120.3813193
17,2.0,0.0,1612687120.408843
18,2.0,0.0,1612687120.4327803
19,2.0,0.0,1612687120.4566712
20,2.0,0.0,1612687120.4829485
21,2.0,0.0,1612687120.5068183
22,2.0,0.0,1612687120.526831
23,2.0,0.0,1612687120.5440319
24,2.0,0.0,1612687120.5665941
25,2.0,0.0,1612687120.5914538
26,2.0,0.0,1612687120.6152184
27,2.0,0.0,1612687120.6392872
28,2.0,0.0,1612687120.6637335
29,2.0,0.0,1612687120.688974
30,2.0,0.0,1612687120.7126033
31,2.0,0.0,1612687120.7366118
32,2.0,0.0,1612687120.7569017
33,2.0,0.0,1612687120.7767591
34,2.0,0.0,1612687120.8033516
35,2.0,0.0,1612687120.8265705
36,2.0,0.0,1612687120.8515642
37,2.0,0.0,1612687120.8807373
38,2.0,0.0,1612687120.9077644
39,2.0,0.0,1612687120.933689
40,2.0,0.0,1612687120.9573019
41,2.0,0.0,1612687120.9757454
42,2.0,0.0,1612687120.9994354
43,2.0,0.0,1612687121.024759
44,2.0,0.0,1612687121.0528154
45,2.0,0.0,1612687121.078583
46,2.0,0.0,1612687121.1068683
47,2.0,0.0,1612687121.1322048
48,2.0,0.0,1612687121.1566505
49,2.0,0.0,1612687121.1752746
50,2.0,0.0,1612687121.1980639
51,2.0,0.0,1612687121.2249599
52,2.0,0.0,1612687121.2485723
53,2.0,0.0,1612687121.2727547
54,2.0,0.0,1612687121.299377
55,2.0,0.0,1612687121.3239563
56,2.0,0.0,1612687121.3494716
57,2.0,0.0,1612687121.3728142
58,2.0,0.0,1612687121.394887
59,2.0,0.0,1612687121.4193597
60,2.0,0.0,1612687121.4435823
61,2.0,0.0,1612687121.4691467
62,2.0,0.0,1612687121.4942403
63,2.0,0.0,1612687121.521899
64,2.0,0.0,1612687121.5482764
65,2.0,0.0,1612687121.5717902
66,2.0,0.0,1612687121.5895452
67,2.0,0.0,1612687121.6102846
68,2.0,0.0,1612687121.639836
69,2.0,0.0,1612687121.670043
70,2.0,0.0,1612687121.6964514
71,2.0,0.0,1612687121.7219136
72,2.0,0.0,1612687121.7478168
73,2.0,0.0,1612687121.772733
74,2.0,0.0,1612687121.7931476
75,2.0,0.0,1612687121.8114557
76,2.0,0.0,1612687121.837101
77,2.0,0.0,1612687121.8632512
78,2.0,0.0,1612687121.8900795
79,2.0,0.0,1612687121.9157279
80,2.0,0.0,1612687121.940078
81,2.0,0.0,1612687121.965361
82,2.0,0.0,1612687121.9908764
83,2.0,0.0,1612687122.015607
