,True Label,RF Time,Time
0,1.0,0.0,1612685145.8040257
1,1.0,0.0,1612685145.8235343
2,1.0,0.0,1612685145.848457
3,1.0,0.0,1612685145.8771362
4,1.0,0.0,1612685145.907605
5,1.0,0.0,1612685145.941068
6,1.0,0.0,1612685145.9738379
7,1.0,0.0,1612685146.006373
8,1.0,0.0,1612685146.0360537
9,1.0,0.0,1612685146.0596092
10,1.0,0.0,1612685146.086159
11,1.0,0.0,1612685146.1112719
12,1.0,0.0,1612685146.135549
13,1.0,0.0,1612685146.1625195
14,1.0,0.0,1612685146.1876087
15,1.0,0.0,1612685146.2134464
16,1.0,0.0,1612685146.2372153
17,1.0,0.0,1612685146.2549958
18,1.0,0.0,1612685146.2775319
19,1.0,0.0,1612685146.3009813
20,1.0,0.0,1612685146.3270164
21,1.0,0.0,1612685146.3528812
22,1.0,0.0,1612685146.3782878
23,1.0,0.0,1612685146.4027157
24,1.0,0.0,1612685146.4257648
25,1.0,0.0,1612685146.4491673
26,1.0,0.0,1612685146.466269
27,1.0,0.0,1612685146.487787
28,1.0,0.0,1612685146.5133996
29,1.0,0.0,1612685146.5400007
30,1.0,0.0,1612685146.5649893
31,1.0,0.0,1612685146.592718
32,1.0,0.0,1612685146.6176977
33,1.0,0.0,1612685146.6427352
34,1.0,0.0,1612685146.662075
35,1.0,0.0,1612685146.6801946
36,1.0,0.0,1612685146.700782
37,1.0,0.0,1612685146.7242663
38,1.0,0.0,1612685146.7495234
39,1.0,0.0,1612685146.7750254
40,1.0,0.0,1612685146.7984357
41,1.0,0.0,1612685146.82307
42,1.0,0.0,1612685146.8482885
43,1.0,0.0,1612685146.8718457
44,1.0,0.0,1612685146.889768
45,1.0,0.0,1612685146.908666
46,1.0,0.0,1612685146.9339356
47,1.0,0.0,1612685146.9604905
48,1.0,0.0,1612685146.986364
49,1.0,0.0,1612685147.010547
50,1.0,0.0,1612685147.0382397
51,1.0,0.0,1612685147.0626817
52,1.0,0.0,1612685147.0862563
53,1.0,0.0,1612685147.1044466
54,1.0,0.0,1612685147.1292052
55,1.0,0.0,1612685147.1535547
56,1.0,0.0,1612685147.180687
57,1.0,0.0,1612685147.2054303
58,1.0,0.0,1612685147.2297041
59,1.0,0.0,1612685147.2535768
60,1.0,0.0,1612685147.2789698
61,1.0,0.0,1612685147.302464
62,1.0,0.0,1612685147.3202095
63,1.0,0.0,1612685147.3411136
64,1.0,0.0,1612685147.3672764
65,1.0,0.0,1612685147.3918498
66,1.0,0.0,1612685147.418598
67,1.0,0.0,1612685147.4427881
68,1.0,0.0,1612685147.4670744
69,1.0,0.0,1612685147.491615
70,1.0,0.0,1612685147.5139925
71,1.0,0.0,1612685147.5319078
72,1.0,0.0,1612685147.552889
73,1.0,0.0,1612685147.5773451
74,1.0,0.0,1612685147.6031172
75,1.0,0.0,1612685147.6324217
76,1.0,0.0,1612685147.6640332
77,1.0,0.0,1612685147.6888916
78,1.0,0.0,1612685147.7128997
79,1.0,0.0,1612685147.7327926
80,1.0,0.0,1612685147.7503622
81,1.0,0.0,1612685147.773715
82,1.0,0.0,1612685147.7994685
83,1.0,0.0,1612685147.8275733
84,1.0,0.0,1612685147.8521113
85,1.0,0.0,1612685147.882195
86,1.0,0.0,1612685147.9059007
87,1.0,0.0,1612685147.930033
88,1.0,0.0,1612685147.952834
89,1.0,0.0,1612685147.970113
90,1.0,0.0,1612685147.9929502
91,1.0,0.0,1612685148.0172212
92,1.0,0.0,1612685148.0436943
93,1.0,0.0,1612685148.071153
94,1.0,0.0,1612685148.096056
95,1.0,0.0,1612685148.120609
96,1.0,0.0,1612685148.1472807
97,1.0,0.0,1612685148.1664624
98,1.0,0.0,1612685148.1838822
99,1.0,0.0,1612685148.2037811
100,1.0,0.0,1612685148.2291617
101,1.0,0.0,1612685148.256967
102,1.0,0.0,1612685148.283073
103,1.0,0.0,1612685148.3080535
104,1.0,0.0,1612685148.3341227
105,1.0,0.0,1612685148.358953
106,1.0,0.0,1612685148.3824165
107,1.0,0.0,1612685148.400402
108,1.0,0.0,1612685148.4242642
109,1.0,0.0,1612685148.4511409
110,1.0,0.0,1612685148.477665
111,1.0,0.0,1612685148.5032527
112,1.0,0.0,1612685148.529157
113,1.0,0.0,1612685148.5550246
114,1.0,0.0,1612685148.578606
115,1.0,0.0,1612685148.598789
116,1.0,0.0,1612685148.6162152
117,1.0,0.0,1612685148.636366
118,1.0,0.0,1612685148.661115
119,1.0,0.0,1612685148.6865091
120,1.0,0.0,1612685148.7125638
121,1.0,0.0,1612685148.7383928
122,1.0,0.0,1612685148.767
123,1.0,0.0,1612685148.7924974
124,1.0,0.0,1612685148.8142846
125,1.0,0.0,1612685148.8322213
126,1.0,0.0,1612685148.85286
127,1.0,0.0,1612685148.8810568
128,1.0,0.0,1612685148.909552
129,1.0,0.0,1612685148.9353087
130,1.0,0.0,1612685148.9590204
131,1.0,0.0,1612685148.9837587
132,1.0,0.0,1612685149.0107162
133,1.0,0.0,1612685149.029546
134,1.0,0.0,1612685149.046788
135,1.0,0.0,1612685149.120759
136,1.0,0.0,1612685149.151528
137,1.0,0.0,1612685149.1773827
138,1.0,0.0,1612685149.2039645
139,1.0,0.0,1612685149.2286842
140,1.0,0.0,1612685149.2569196
141,1.0,0.0,1612685149.2828062
142,1.0,0.0,1612685149.3045342
143,1.0,0.0,1612685149.323137
144,1.0,0.0,1612685149.3490505
145,1.0,0.0,1612685149.3775353
146,1.0,0.0,1612685149.404882
147,1.0,0.0,1612685149.4299085
148,1.0,0.0,1612685149.4559288
149,1.0,0.0,1612685149.480919
150,1.0,0.0,1612685149.5054016
151,1.0,0.0,1612685149.5234363
152,1.0,0.0,1612685149.5475426
153,1.0,0.0,1612685149.5725904
154,1.0,0.0,1612685149.5990548
155,1.0,0.0,1612685149.6240227
156,1.0,0.0,1612685149.6497657
157,1.0,0.0,1612685149.6734695
158,1.0,0.0,1612685149.6970663
159,1.0,0.0,1612685149.7182293
160,1.0,0.0,1612685149.7401993
161,1.0,0.0,1612685149.7660844
162,1.0,0.0,1612685149.7905319
163,1.0,0.0,1612685149.8151655
164,1.0,0.0,1612685149.839463
165,1.0,0.0,1612685149.864823
166,1.0,0.0,1612685149.8889318
167,1.0,0.0,1612685149.9128313
168,1.0,0.0,1612685149.9300592
169,1.0,0.0,1612685149.949962
170,1.0,0.0,1612685149.973717
171,1.0,0.0,1612685149.999704
172,1.0,0.0,1612685150.0271595
173,1.0,0.0,1612685150.0525017
174,1.0,0.0,1612685150.0797994
175,1.0,0.0,1612685150.104309
176,1.0,0.0,1612685150.1308813
177,1.0,0.0,1612685150.149482
178,1.0,0.0,1612685150.1740737
179,1.0,0.0,1612685150.1976688
180,1.0,0.0,1612685150.222187
181,1.0,0.0,1612685150.2450192
182,1.0,0.0,1612685150.2702055
183,1.0,0.0,1612685150.296598
184,1.0,0.0,1612685150.3202746
185,1.0,0.0,1612685150.3431623
186,1.0,0.0,1612685150.365852
187,1.0,0.0,1612685150.3912992
188,1.0,0.0,1612685150.4181695
189,1.0,0.0,1612685150.44477
190,1.0,0.0,1612685150.4732351
191,1.0,0.0,1612685150.5004108
192,1.0,0.0,1612685150.526739
193,1.0,0.0,1612685150.5455945
194,1.0,0.0,1612685150.5630264
195,1.0,0.0,1612685150.5859013
196,1.0,0.0,1612685150.6107988
197,1.0,0.0,1612685150.637749
198,1.0,0.0,1612685150.6613832
199,1.0,0.0,1612685150.6859608
200,1.0,0.0,1612685150.712666
201,1.0,0.0,1612685150.736174
202,1.0,0.0,1612685150.7577686
203,1.0,0.0,1612685150.7765622
204,1.0,0.0,1612685150.7969792
205,1.0,0.0,1612685150.8257885
206,1.0,0.0,1612685150.852894
207,1.0,0.0,1612685150.8781517
208,1.0,0.0,1612685150.9017296
209,1.0,0.0,1612685150.925619
210,1.0,0.0,1612685150.949338
211,1.0,0.0,1612685150.9711483
212,1.0,0.0,1612685150.9886608
213,1.0,0.0,1612685151.0095615
214,1.0,0.0,1612685151.0359998
215,1.0,0.0,1612685151.0660827
216,1.0,0.0,1612685151.0925627
217,1.0,0.0,1612685151.1162496
218,1.0,0.0,1612685151.1405444
219,1.0,0.0,1612685151.1658952
220,1.0,0.0,1612685151.1897774
221,1.0,0.0,1612685151.207833
222,1.0,0.0,1612685151.231209
223,1.0,0.0,1612685151.2559705
224,1.0,0.0,1612685151.2840836
225,1.0,0.0,1612685151.308198
226,1.0,0.0,1612685151.3323812
227,1.0,0.0,1612685151.3556976
228,1.0,0.0,1612685151.3805792
229,1.0,0.0,1612685151.400925
230,1.0,0.0,1612685151.4188056
231,1.0,0.0,1612685151.4372401
232,1.0,0.0,1612685151.4627697
233,1.0,0.0,1612685151.4865863
234,1.0,0.0,1612685151.5147371
235,1.0,0.0,1612685151.5393536
236,1.0,0.0,1612685151.5652094
237,1.0,0.0,1612685151.592115
238,1.0,0.0,1612685151.6153166
239,1.0,0.0,1612685151.6339407
240,1.0,0.0,1612685151.6573536
241,1.0,0.0,1612685151.6817515
242,1.0,0.0,1612685151.7048857
243,1.0,0.0,1612685151.7302415
244,1.0,0.0,1612685151.7537816
245,1.0,0.0,1612685151.7782226
246,1.0,0.0,1612685151.802533
247,1.0,0.0,1612685151.8268933
248,1.0,0.0,1612685151.844706
249,1.0,0.0,1612685151.8642075
250,1.0,0.0,1612685151.8910124
251,1.0,0.0,1612685151.9142702
252,1.0,0.0,1612685151.938587
253,1.0,0.0,1612685151.9624817
254,1.0,0.0,1612685151.9887068
255,1.0,0.0,1612685152.0126793
256,1.0,0.0,1612685152.0366826
257,1.0,0.0,1612685152.055333
258,1.0,0.0,1612685152.0753608
259,1.0,0.0,1612685152.1046345
260,1.0,0.0,1612685152.1315608
261,1.0,0.0,1612685152.1606662
262,1.0,0.0,1612685152.1889646
263,1.0,0.0,1612685152.215054
264,1.0,0.0,1612685152.2390275
265,1.0,0.0,1612685152.2595696
266,1.0,0.0,1612685152.2774446
267,1.0,0.0,1612685152.3006854
268,1.0,0.0,1612685152.32769
269,1.0,0.0,1612685152.3554857
270,1.0,0.0,1612685152.3794422
271,1.0,0.0,1612685152.4072394
272,1.0,0.0,1612685152.4349685
273,1.0,1.0,1612685152.4591832
274,1.0,1.0,1612685152.4779994
275,1.0,1.0,1612685152.5025158
276,1.0,1.0,1612685152.5272827
277,1.0,1.0,1612685152.5532057
278,1.0,1.0,1612685152.5774014
279,1.0,1.0,1612685152.6056247
280,1.0,1.0,1612685152.6325696
281,1.0,1.0,1612685152.661167
282,1.0,1.0,1612685152.6795955
283,1.0,1.0,1612685152.7053173
284,1.0,1.0,1612685152.7296853
285,1.0,1.0,1612685152.7539184
286,1.0,1.0,1612685152.778593
287,1.0,1.0,1612685152.805754
288,1.0,1.0,1612685152.8330095
289,1.0,1.0,1612685152.8602064
290,1.0,1.0,1612685152.8784435
291,1.0,1.0,1612685152.902496
292,1.0,1.0,1612685152.9262302
293,1.0,1.0,1612685152.9506223
294,1.0,1.0,1612685152.9750419
295,1.0,1.0,1612685153.0029533
296,1.0,1.0,1612685153.026418
297,1.0,1.0,1612685153.0498407
298,1.0,1.0,1612685153.0717006
299,1.0,1.0,1612685153.092017
300,1.0,1.0,1612685153.1121712
301,1.0,1.0,1612685153.1362624
302,1.0,1.0,1612685153.1603475
303,1.0,1.0,1612685153.185857
304,1.0,1.0,1612685153.210135
305,1.0,1.0,1612685153.2396033
306,1.0,1.0,1612685153.2636929
307,1.0,1.0,1612685153.287209
308,1.0,1.0,1612685153.3051405
309,1.0,1.0,1612685153.326784
310,1.0,1.0,1612685153.3523986
311,1.0,1.0,1612685153.3764858
312,1.0,1.0,1612685153.4000938
313,1.0,1.0,1612685153.4250793
314,1.0,1.0,1612685153.4500127
315,1.0,1.0,1612685153.4742692
316,1.0,1.0,1612685153.497531
317,1.0,1.0,1612685153.5151682
318,1.0,1.0,1612685153.5341136
319,1.0,1.0,1612685153.5589292
320,1.0,1.0,1612685153.5864108
321,1.0,1.0,1612685153.611661
322,1.0,1.0,1612685153.6366544
323,1.0,1.0,1612685153.6635442
324,1.0,1.0,1612685153.6918988
325,1.0,1.0,1612685153.7145503
326,1.0,1.0,1612685153.7327385
327,1.0,1.0,1612685153.756785
328,1.0,1.0,1612685153.7829819
329,1.0,1.0,1612685153.8091586
330,1.0,1.0,1612685153.8330634
331,1.0,1.0,1612685153.8581011
332,1.0,1.0,1612685153.8849401
