,True Label,RF Time,Time
0,2.0,0.0,1612685277.911663
1,2.0,0.0,1612685277.9411087
2,2.0,0.0,1612685277.9744968
3,2.0,0.0,1612685278.0058448
4,2.0,0.0,1612685278.0365832
5,2.0,0.0,1612685278.064942
6,2.0,0.0,1612685278.0891254
7,2.0,0.0,1612685278.1085603
8,2.0,0.0,1612685278.1319542
9,2.0,0.0,1612685278.1548057
10,2.0,0.0,1612685278.179698
11,2.0,0.0,1612685278.2058992
12,2.0,0.0,1612685278.2294543
13,2.0,0.0,1612685278.2577791
14,2.0,0.0,1612685278.2825534
15,2.0,0.0,1612685278.305933
16,2.0,0.0,1612685278.323613
17,2.0,0.0,1612685278.3425007
18,2.0,0.0,1612685278.3689284
19,2.0,0.0,1612685278.3959794
20,2.0,0.0,1612685278.423098
21,2.0,0.0,1612685278.4487689
22,2.0,0.0,1612685278.4758434
23,2.0,0.0,1612685278.5044675
24,2.0,0.0,1612685278.5272682
25,2.0,0.0,1612685278.5447664
26,2.0,0.0,1612685278.5697417
27,2.0,0.0,1612685278.5931628
28,2.0,0.0,1612685278.6184278
29,2.0,0.0,1612685278.6476488
30,2.0,0.0,1612685278.6767294
31,2.0,0.0,1612685278.7037358
32,2.0,0.0,1612685278.7292147
33,2.0,0.0,1612685278.7488487
34,2.0,0.0,1612685278.7744071
35,2.0,0.0,1612685278.7991693
36,2.0,0.0,1612685278.8245609
37,2.0,0.0,1612685278.848835
38,2.0,0.0,1612685278.8750331
39,2.0,0.0,1612685278.899527
40,2.0,0.0,1612685278.9232936
41,2.0,0.0,1612685278.9430432
42,2.0,0.0,1612685278.965039
43,2.0,0.0,1612685278.9889636
44,2.0,0.0,1612685279.0160952
45,2.0,0.0,1612685279.0441282
46,2.0,0.0,1612685279.067428
47,2.0,0.0,1612685279.0923862
48,2.0,0.0,1612685279.1161082
49,2.0,0.0,1612685279.139353
50,2.0,0.0,1612685279.1569471
51,2.0,0.0,1612685279.1770644
52,2.0,0.0,1612685279.2040718
53,2.0,0.0,1612685279.2289212
54,2.0,0.0,1612685279.2528422
55,2.0,0.0,1612685279.278323
56,2.0,0.0,1612685279.3020205
57,2.0,0.0,1612685279.3257535
58,2.0,0.0,1612685279.3518984
59,2.0,0.0,1612685279.3715405
60,2.0,0.0,1612685279.3960772
61,2.0,0.0,1612685279.4232883
62,2.0,0.0,1612685279.4477549
63,2.0,0.0,1612685279.473434
64,2.0,0.0,1612685279.4974701
65,2.0,0.0,1612685279.52406
66,2.0,0.0,1612685279.5490818
67,2.0,0.0,1612685279.5702713
68,2.0,0.0,1612685279.5873032
69,2.0,0.0,1612685279.6065164
70,2.0,0.0,1612685279.6317801
71,2.0,0.0,1612685279.6600044
72,2.0,0.0,1612685279.6846066
73,2.0,0.0,1612685279.7092538
74,2.0,0.0,1612685279.7330768
75,2.0,0.0,1612685279.7582057
76,2.0,0.0,1612685279.7820168
77,2.0,0.0,1612685279.800787
78,2.0,0.0,1612685279.8253834
