,True Label,RF Time,Time
0,1.0,0.0,1613479336.5574117
1,1.0,0.0,1613479336.58202
2,1.0,0.0,1613479336.602034
3,1.0,0.0,1613479336.624418
4,1.0,0.0,1613479336.6434932
5,1.0,0.0,1613479336.6622624
6,1.0,0.0,1613479336.6804674
7,1.0,0.0,1613479336.6987967
8,1.0,0.0,1613479336.7172384
9,1.0,0.0,1613479336.743192
10,1.0,0.0,1613479336.7652378
11,1.0,0.0,1613479336.7892096
12,1.0,0.0,1613479336.8123074
13,1.0,0.0,1613479336.8341317
14,1.0,0.0,1613479336.8532958
15,1.0,0.0,1613479336.8725328
16,1.0,0.0,1613479336.8912055
17,1.0,0.0,1613479336.9085948
18,1.0,0.0,1613479336.9268613
19,1.0,0.0,1613479336.9456482
20,1.0,0.0,1613479336.969461
21,1.0,0.0,1613479336.9942818
22,1.0,0.0,1613479337.01769
23,1.0,0.0,1613479337.041518
24,1.0,0.0,1613479337.0643132
25,1.0,0.0,1613479337.086675
26,1.0,0.0,1613479337.1073017
27,1.0,0.0,1613479337.125317
28,1.0,0.0,1613479337.1440287
29,1.0,0.0,1613479337.1632571
30,1.0,0.0,1613479337.1846132
31,1.0,0.0,1613479337.2092519
32,1.0,0.0,1613479337.2319188
33,1.0,0.0,1613479337.2562761
34,1.0,0.0,1613479337.2786055
35,1.0,0.0,1613479337.298726
36,1.0,0.0,1613479337.3180282
37,1.0,0.0,1613479337.3360448
38,1.0,0.0,1613479337.3550167
39,1.0,0.0,1613479337.3736112
40,1.0,0.0,1613479337.3948212
41,1.0,0.0,1613479337.4213972
42,1.0,0.0,1613479337.4444473
43,1.0,0.0,1613479337.4678404
44,1.0,0.0,1613479337.491161
45,1.0,0.0,1613479337.5108356
46,1.0,0.0,1613479337.5308821
47,1.0,0.0,1613479337.548351
48,1.0,0.0,1613479337.567742
49,1.0,0.0,1613479337.5882773
50,1.0,0.0,1613479337.6122913
51,1.0,0.0,1613479337.6383183
52,1.0,0.0,1613479337.661594
53,1.0,0.0,1613479337.683879
54,1.0,0.0,1613479337.7041793
55,1.0,0.0,1613479337.7222466
56,1.0,0.0,1613479337.7408326
57,1.0,0.0,1613479337.7580848
58,1.0,0.0,1613479337.7757738
59,1.0,0.0,1613479337.7943532
60,1.0,0.0,1613479337.8132303
61,1.0,0.0,1613479337.833434
62,1.0,0.0,1613479337.853781
63,1.0,0.0,1613479337.874922
64,1.0,0.0,1613479337.8950534
65,1.0,0.0,1613479337.9172485
66,1.0,0.0,1613479337.9361715
67,1.0,0.0,1613479337.9547288
68,1.0,0.0,1613479337.9728253
69,1.0,0.0,1613479337.9915235
70,1.0,0.0,1613479338.008971
71,1.0,0.0,1613479338.027277
72,1.0,0.0,1613479338.047157
73,1.0,0.0,1613479338.0676837
