,True Label,RF Time,Time
0,3.0,0.0,1613479124.031812
1,3.0,0.0,1613479124.0518997
2,3.0,0.0,1613479124.0703669
3,3.0,0.0,1613479124.0879188
4,3.0,0.0,1613479124.1133413
5,3.0,0.0,1613479124.1402125
6,3.0,1.0,1613479124.1656144
7,3.0,1.0,1613479124.191625
8,3.0,1.0,1613479124.211342
9,3.0,1.0,1613479124.2313282
10,3.0,1.0,1613479124.249941
11,3.0,1.0,1613479124.2685237
12,3.0,1.0,1613479124.287575
13,3.0,1.0,1613479124.3072262
14,3.0,1.0,1613479124.3311572
15,3.0,1.0,1613479124.35488
16,3.0,1.0,1613479124.3779387
17,3.0,1.0,1613479124.3998437
18,3.0,1.0,1613479124.4219413
19,3.0,1.0,1613479124.443511
20,3.0,1.0,1613479124.4632595
21,3.0,1.0,1613479124.482031
22,3.0,1.0,1613479124.5014317
23,3.0,1.0,1613479124.520302
24,3.0,1.0,1613479124.544828
25,3.0,1.0,1613479124.5693426
26,3.0,1.0,1613479124.595391
27,3.0,1.0,1613479124.6177933
28,3.0,1.0,1613479124.6407177
29,3.0,1.0,1613479124.6609657
30,3.0,1.0,1613479124.6805074
31,3.0,1.0,1613479124.6988435
32,3.0,1.0,1613479124.7175765
33,3.0,1.0,1613479124.7359557
34,3.0,1.0,1613479124.7592664
35,3.0,1.0,1613479124.783805
36,3.0,1.0,1613479124.8084319
37,3.0,1.0,1613479124.8310888
38,3.0,1.0,1613479124.8533359
39,3.0,1.0,1613479124.8728812
40,3.0,1.0,1613479124.8913374
41,3.0,1.0,1613479124.9101815
42,3.0,1.0,1613479124.928078
43,3.0,1.0,1613479124.9488943
44,3.0,1.0,1613479124.972695
45,3.0,1.0,1613479124.9957137
46,3.0,1.0,1613479125.0197148
47,3.0,1.0,1613479125.0427752
48,3.0,1.0,1613479125.0653305
49,3.0,1.0,1613479125.0845358
50,3.0,1.0,1613479125.1025407
51,3.0,1.0,1613479125.1200495
52,3.0,1.0,1613479125.138395
53,3.0,1.0,1613479125.1570482
54,3.0,1.0,1613479125.177061
55,3.0,1.0,1613479125.195575
56,3.0,2.0,1613479125.2154386
57,3.0,2.0,1613479125.2369595
58,3.0,2.0,1613479125.2586682
59,3.0,2.0,1613479125.2776377
60,3.0,3.0,1613479125.2955635
61,3.0,2.0,1613479125.3123827
62,3.0,3.0,1613479125.3295557
63,3.0,3.0,1613479125.3468826
64,3.0,2.0,1613479125.3665318
65,3.0,3.0,1613479125.3849075
66,3.0,3.0,1613479125.4045577
67,3.0,3.0,1613479125.4244678
68,3.0,3.0,1613479125.4454792
69,3.0,3.0,1613479125.467602
70,3.0,3.0,1613479125.4876926
71,3.0,3.0,1613479125.5071337
72,3.0,3.0,1613479125.5248203
73,3.0,3.0,1613479125.54203
74,3.0,3.0,1613479125.5602887
75,3.0,3.0,1613479125.5785851
76,3.0,3.0,1613479125.6029215
77,3.0,3.0,1613479125.6229358
78,3.0,3.0,1613479125.644084
79,3.0,3.0,1613479125.6647666
80,3.0,3.0,1613479125.6855557
81,3.0,3.0,1613479125.7039735
82,3.0,3.0,1613479125.7219777
83,3.0,3.0,1613479125.7387033
84,3.0,3.0,1613479125.7562902
85,3.0,3.0,1613479125.7750657
86,3.0,3.0,1613479125.7932534
87,3.0,3.0,1613479125.812564
88,3.0,3.0,1613479125.83512
89,3.0,3.0,1613479125.8562446
90,3.0,3.0,1613479125.8761146
91,3.0,3.0,1613479125.8965263
92,3.0,3.0,1613479125.9160135
93,3.0,3.0,1613479125.934296
94,3.0,3.0,1613479125.9541967
95,3.0,3.0,1613479125.9719625
96,3.0,3.0,1613479125.9897099
97,3.0,3.0,1613479126.0079184
98,3.0,3.0,1613479126.0301735
99,3.0,3.0,1613479126.048592
100,3.0,3.0,1613479126.0708659
101,3.0,3.0,1613479126.0934038
102,3.0,3.0,1613479126.1140864
103,3.0,3.0,1613479126.132608
104,3.0,3.0,1613479126.1508236
105,3.0,3.0,1613479126.168754
106,3.0,3.0,1613479126.1872973
107,3.0,1.0,1613479126.2054088
108,3.0,3.0,1613479126.2239962
109,3.0,3.0,1613479126.2438712
110,3.0,1.0,1613479126.2637503
111,3.0,1.0,1613479126.2855473
112,3.0,1.0,1613479126.3075137
113,3.0,1.0,1613479126.3273392
114,3.0,1.0,1613479126.3477552
115,3.0,1.0,1613479126.3671153
116,3.0,1.0,1613479126.386217
117,3.0,1.0,1613479126.4038446
118,3.0,1.0,1613479126.4213755
119,3.0,1.0,1613479126.4388626
120,3.0,1.0,1613479126.4621422
121,3.0,1.0,1613479126.4819314
122,3.0,1.0,1613479126.5030766
123,3.0,1.0,1613479126.5248098
124,3.0,1.0,1613479126.5447547
125,3.0,1.0,1613479126.5642931
126,3.0,1.0,1613479126.5814476
127,3.0,1.0,1613479126.5996346
128,3.0,1.0,1613479126.6176398
129,3.0,1.0,1613479126.6344824
130,3.0,1.0,1613479126.6515436
131,3.0,1.0,1613479126.6719239
132,3.0,1.0,1613479126.690535
133,3.0,1.0,1613479126.7108188
