,True Label,RF Time,Time
0,2.0,0.0,1612556678.7140749
1,2.0,0.0,1612556678.73851
2,2.0,0.0,1612556678.7614677
3,2.0,0.0,1612556678.7846
4,2.0,0.0,1612556678.8075786
5,2.0,0.0,1612556678.8281858
6,2.0,0.0,1612556678.845823
7,2.0,0.0,1612556678.8640952
8,2.0,0.0,1612556678.8836412
9,2.0,0.0,1612556678.90316
10,2.0,0.0,1612556678.9252863
11,2.0,0.0,1612556678.9476771
12,2.0,0.0,1612556678.9695308
13,2.0,0.0,1612556678.990931
14,2.0,0.0,1612556679.0106783
15,2.0,0.0,1612556679.0297885
16,2.0,0.0,1612556679.0498953
17,2.0,0.0,1612556679.0688608
18,2.0,0.0,1612556679.087182
19,2.0,0.0,1612556679.1054468
20,2.0,0.0,1612556679.1247108
21,2.0,0.0,1612556679.1432438
22,2.0,0.0,1612556679.1630948
23,2.0,0.0,1612556679.1856914
24,2.0,0.0,1612556679.20864
25,2.0,0.0,1612556679.2308567
26,2.0,0.0,1612556679.2487173
27,2.0,0.0,1612556679.2679532
28,2.0,0.0,1612556679.287042
29,2.0,0.0,1612556679.3044033
30,2.0,0.0,1612556679.3227031
31,2.0,0.0,1612556679.3422418
32,2.0,0.0,1612556679.364184
33,2.0,0.0,1612556679.3862896
34,2.0,0.0,1612556679.4078765
35,2.0,0.0,1612556679.4291737
36,2.0,0.0,1612556679.4500973
37,2.0,0.0,1612556679.468935
38,2.0,0.0,1612556679.4883413
39,2.0,0.0,1612556679.5071604
40,2.0,0.0,1612556679.524369
41,2.0,0.0,1612556679.5415094
42,2.0,0.0,1612556679.5608382
43,2.0,0.0,1612556679.5815344
44,2.0,0.0,1612556679.6020265
45,2.0,0.0,1612556679.6248333
46,2.0,0.0,1612556679.6443095
47,2.0,0.0,1612556679.6660008
48,2.0,0.0,1612556679.6858773
49,2.0,0.0,1612556679.7050388
50,2.0,0.0,1612556679.7247705
51,2.0,0.0,1612556679.7440042
52,2.0,0.0,1612556679.7632647
53,2.0,0.0,1612556679.7815928
54,2.0,0.0,1612556679.8009808
55,2.0,0.0,1612556679.8215146
56,2.0,0.0,1612556679.8452709
57,2.0,0.0,1612556679.866051
58,2.0,0.0,1612556679.8873684
59,2.0,0.0,1612556679.906203
60,2.0,0.0,1612556679.9246228
61,2.0,0.0,1612556679.9415293
62,2.0,0.0,1612556679.9589136
63,2.0,0.0,1612556679.9772844
64,2.0,0.0,1612556679.9946342
