,True Label,RF Time,Time
0,1.0,0.0,1612555825.2797139
1,1.0,0.0,1612555825.3014774
2,1.0,0.0,1612555825.3220916
3,1.0,0.0,1612555825.3462021
4,1.0,0.0,1612555825.366272
5,1.0,0.0,1612555825.386463
6,1.0,0.0,1612555825.4061391
7,1.0,0.0,1612555825.425327
8,1.0,0.0,1612555825.445397
9,1.0,0.0,1612555825.4647546
10,1.0,0.0,1612555825.482627
11,1.0,0.0,1612555825.5030239
12,1.0,0.0,1612555825.5224943
13,1.0,0.0,1612555825.5487387
14,1.0,0.0,1612555825.5716228
15,1.0,0.0,1612555825.5952415
16,1.0,0.0,1612555825.6149652
17,1.0,0.0,1612555825.6345809
18,1.0,0.0,1612555825.6540914
19,1.0,0.0,1612555825.6738567
20,1.0,0.0,1612555825.6931214
21,1.0,0.0,1612555825.7124457
22,1.0,0.0,1612555825.7310615
23,1.0,0.0,1612555825.7505085
24,1.0,0.0,1612555825.7756765
25,1.0,0.0,1612555825.8004444
26,1.0,0.0,1612555825.826278
27,1.0,0.0,1612555825.8492184
28,1.0,0.0,1612555825.8696985
29,1.0,0.0,1612555825.888453
30,1.0,0.0,1612555825.9069538
31,1.0,0.0,1612555825.92479
32,1.0,0.0,1612555825.9439936
33,1.0,0.0,1612555825.9621904
34,1.0,0.0,1612555825.9819977
35,1.0,0.0,1612555826.0038366
36,1.0,0.0,1612555826.0259724
37,1.0,0.0,1612555826.047291
38,1.0,0.0,1612555826.066737
39,1.0,0.0,1612555826.0866272
40,1.0,0.0,1612555826.1061065
41,1.0,0.0,1612555826.1239216
42,1.0,0.0,1612555826.1426446
43,1.0,0.0,1612555826.1617923
44,1.0,0.0,1612555826.1797369
45,1.0,0.0,1612555826.1992052
46,1.0,0.0,1612555826.2218256
47,1.0,0.0,1612555826.2438264
48,1.0,0.0,1612555826.2658257
49,1.0,0.0,1612555826.2889464
50,1.0,0.0,1612555826.3065667
51,1.0,0.0,1612555826.3243246
52,1.0,0.0,1612555826.3431969
53,1.0,0.0,1612555826.361228
54,1.0,0.0,1612555826.3792558
55,1.0,0.0,1612555826.396974
56,1.0,0.0,1612555826.4182014
57,1.0,0.0,1612555826.4394872
58,1.0,0.0,1612555826.462309
59,1.0,0.0,1612555826.483948
60,1.0,0.0,1612555826.5052412
61,1.0,0.0,1612555826.5242136
62,1.0,0.0,1612555826.5423753
63,1.0,0.0,1612555826.560486
64,1.0,0.0,1612555826.5785978
65,1.0,0.0,1612555826.5967767
66,1.0,0.0,1612555826.6153376
67,1.0,0.0,1612555826.6340466
68,1.0,0.0,1612555826.6553555
69,1.0,0.0,1612555826.6770766
70,1.0,0.0,1612555826.6984758
71,1.0,0.0,1612555826.7175572
72,1.0,0.0,1612555826.7373328
73,1.0,0.0,1612555826.7547061
74,1.0,0.0,1612555826.7731042
75,1.0,0.0,1612555826.7907734
76,1.0,0.0,1612555826.8087566
77,1.0,0.0,1612555826.8258524
78,1.0,0.0,1612555826.8452504
79,1.0,0.0,1612555826.8665006
80,1.0,0.0,1612555826.889645
81,1.0,0.0,1612555826.9109445
82,1.0,0.0,1612555826.9303598
83,1.0,0.0,1612555826.9505713
84,1.0,0.0,1612555826.9690335
85,1.0,0.0,1612555826.987185
86,1.0,0.0,1612555827.004926
87,1.0,0.0,1612555827.0243297
88,1.0,0.0,1612555827.0432966
89,1.0,0.0,1612555827.0648706
90,1.0,0.0,1612555827.0840828
91,1.0,0.0,1612555827.1084297
92,1.0,0.0,1612555827.128158
93,1.0,0.0,1612555827.1488338
94,1.0,0.0,1612555827.168394
95,1.0,0.0,1612555827.1859381
96,1.0,0.0,1612555827.20286
97,1.0,0.0,1612555827.2215905
98,1.0,0.0,1612555827.2397892
99,1.0,0.0,1612555827.2573466
100,1.0,0.0,1612555827.2776647
101,1.0,0.0,1612555827.2988803
102,1.0,0.0,1612555827.3210878
103,1.0,0.0,1612555827.341991
104,1.0,0.0,1612555827.3641226
105,1.0,0.0,1612555827.3825498
106,1.0,0.0,1612555827.4020238
107,1.0,0.0,1612555827.4198632
108,1.0,0.0,1612555827.4388413
109,1.0,0.0,1612555827.4566913
110,1.0,0.0,1612555827.4752464
111,1.0,0.0,1612555827.4956183
112,1.0,0.0,1612555827.5174618
113,1.0,0.0,1612555827.5392919
114,1.0,0.0,1612555827.559807
115,1.0,0.0,1612555827.5818107
116,1.0,0.0,1612555827.6015103
117,1.0,0.0,1612555827.6198297
118,1.0,0.0,1612555827.6385558
119,1.0,0.0,1612555827.6595283
120,1.0,0.0,1612555827.6776297
121,1.0,0.0,1612555827.695949
122,1.0,0.0,1612555827.7158563
123,1.0,0.0,1612555827.7368457
124,1.0,0.0,1612555827.7582412
125,1.0,0.0,1612555827.7798083
126,1.0,0.0,1612555827.7992868
127,1.0,0.0,1612555827.817606
128,1.0,0.0,1612555827.835828
129,1.0,0.0,1612555827.8544757
130,1.0,0.0,1612555827.874068
131,1.0,0.0,1612555827.8921664
132,1.0,0.0,1612555827.9123468
133,1.0,0.0,1612555827.9329178
134,1.0,0.0,1612555827.9550834
135,1.0,0.0,1612555827.9762168
136,1.0,0.0,1612555827.9976704
137,1.0,0.0,1612555828.0178967
138,1.0,0.0,1612555828.036341
139,1.0,0.0,1612555828.0535376
140,1.0,0.0,1612555828.0717041
141,1.0,0.0,1612555828.0905175
142,1.0,0.0,1612555828.107973
143,1.0,0.0,1612555828.1293325
144,1.0,0.0,1612555828.1483638
145,1.0,0.0,1612555828.1700578
146,1.0,0.0,1612555828.1904826
