,True Label,RF Time,Time
0,4.0,0.0,1612558769.1170175
1,4.0,0.0,1612558769.1362355
2,4.0,0.0,1612558769.1560578
3,4.0,0.0,1612558769.1739292
4,4.0,0.0,1612558769.1982765
5,4.0,0.0,1612558769.2212968
6,4.0,0.0,1612558769.247039
7,4.0,0.0,1612558769.2705045
8,4.0,0.0,1612558769.2964017
9,4.0,0.0,1612558769.3163064
10,4.0,0.0,1612558769.3364394
11,4.0,0.0,1612558769.3556705
12,4.0,0.0,1612558769.3749032
13,4.0,0.0,1612558769.3964498
14,4.0,0.0,1612558769.4225557
15,4.0,0.0,1612558769.4481118
16,4.0,0.0,1612558769.4704146
17,4.0,0.0,1612558769.4924223
18,4.0,0.0,1612558769.5145543
19,4.0,0.0,1612558769.5346372
20,4.0,0.0,1612558769.5538313
21,4.0,0.0,1612558769.5729978
22,4.0,0.0,1612558769.5919962
23,4.0,0.0,1612558769.6106849
24,4.0,0.0,1612558769.6338675
25,4.0,0.0,1612558769.6560125
26,4.0,0.0,1612558769.6833193
27,4.0,0.0,1612558769.7064962
28,4.0,0.0,1612558769.7304254
29,4.0,0.0,1612558769.7507565
30,4.0,0.0,1612558769.7708247
31,4.0,0.0,1612558769.789382
32,4.0,0.0,1612558769.8080988
33,4.0,0.0,1612558769.8272548
34,4.0,0.0,1612558769.8532026
35,4.0,0.0,1612558769.8793688
36,4.0,0.0,1612558769.9023197
37,4.0,0.0,1612558769.9239035
38,4.0,0.0,1612558769.943864
39,4.0,0.0,1612558769.9618578
40,4.0,0.0,1612558769.9791796
41,4.0,0.0,1612558769.996292
42,4.0,0.0,1612558770.014494
43,4.0,0.0,1612558770.032239
44,4.0,0.0,1612558770.0505784
45,4.0,0.0,1612558770.070803
46,4.0,0.0,1612558770.0913758
47,4.0,0.0,1612558770.1127048
48,4.0,0.0,1612558770.134521
49,4.0,0.0,1612558770.1543107
50,4.0,0.0,1612558770.1740034
51,4.0,0.0,1612558770.1914148
52,4.0,0.0,1612558770.209653
53,4.0,0.0,1612558770.2281556
54,4.0,0.0,1612558770.2473562
