,True Label,RF Time,Time
0,2.0,0.0,1612557746.7980192
1,2.0,0.0,1612557746.8170137
2,2.0,0.0,1612557746.8353717
3,2.0,0.0,1612557746.8552263
4,2.0,0.0,1612557746.881979
5,2.0,0.0,1612557746.9081743
6,2.0,0.0,1612557746.9348202
7,2.0,0.0,1612557746.9603767
8,2.0,0.0,1612557746.9812071
9,2.0,0.0,1612557747.0018053
10,2.0,0.0,1612557747.0218654
11,2.0,0.0,1612557747.0411859
12,2.0,0.0,1612557747.0607357
13,2.0,0.0,1612557747.085559
14,2.0,0.0,1612557747.1118376
15,2.0,0.0,1612557747.133102
16,2.0,0.0,1612557747.1559827
17,2.0,0.0,1612557747.1772149
18,2.0,0.0,1612557747.1968942
19,2.0,0.0,1612557747.2170973
20,2.0,0.0,1612557747.2362812
21,2.0,0.0,1612557747.256213
22,2.0,0.0,1612557747.2814877
23,2.0,0.0,1612557747.3060017
24,2.0,0.0,1612557747.3313067
25,2.0,0.0,1612557747.355031
26,2.0,0.0,1612557747.3779416
27,2.0,0.0,1612557747.3965824
28,2.0,0.0,1612557747.4150708
29,2.0,0.0,1612557747.4336836
30,2.0,0.0,1612557747.4522007
31,2.0,0.0,1612557747.4705493
32,2.0,0.0,1612557747.4910448
33,2.0,0.0,1612557747.5141842
34,2.0,0.0,1612557747.5358381
35,2.0,0.0,1612557747.556744
36,2.0,0.0,1612557747.5760531
37,2.0,0.0,1612557747.5960855
38,2.0,0.0,1612557747.6149564
39,2.0,0.0,1612557747.632139
40,2.0,0.0,1612557747.650096
41,2.0,0.0,1612557747.6690502
42,2.0,0.0,1612557747.686422
43,2.0,0.0,1612557747.7099845
44,2.0,0.0,1612557747.7301216
45,2.0,0.0,1612557747.7517402
46,2.0,0.0,1612557747.7725093
47,2.0,0.0,1612557747.7941124
48,2.0,0.0,1612557747.812999
49,2.0,0.0,1612557747.8308928
50,2.0,0.0,1612557747.850138
51,2.0,0.0,1612557747.8688436
52,2.0,0.0,1612557747.88593
53,2.0,0.0,1612557747.9028397
54,2.0,0.0,1612557747.9230351
55,2.0,0.0,1612557747.9454389
56,2.0,0.0,1612557747.968469
57,2.0,0.0,1612557747.9908006
58,2.0,0.0,1612557748.010021
59,2.0,0.0,1612557748.0299287
60,2.0,0.0,1612557748.0489402
61,2.0,0.0,1612557748.068296
62,2.0,0.0,1612557748.0877795
63,2.0,0.0,1612557748.1061776
64,2.0,0.0,1612557748.1241345
65,2.0,0.0,1612557748.147483
66,2.0,0.0,1612557748.166301
67,2.0,0.0,1612557748.189988
68,2.0,0.0,1612557748.2110603
69,2.0,0.0,1612557748.2325182
70,2.0,0.0,1612557748.2519553
71,2.0,0.0,1612557748.2717636
