,True Label,RF Time,Time
0,2.0,0.0,1612556737.6514611
1,2.0,0.0,1612556737.6746137
2,2.0,0.0,1612556737.696408
3,2.0,0.0,1612556737.716336
4,2.0,0.0,1612556737.736286
5,2.0,0.0,1612556737.7569697
6,2.0,0.0,1612556737.7762196
7,2.0,0.0,1612556737.7953713
8,2.0,0.0,1612556737.8170526
9,2.0,0.0,1612556737.8409562
10,2.0,0.0,1612556737.868744
11,2.0,0.0,1612556737.894128
12,2.0,0.0,1612556737.9144607
13,2.0,0.0,1612556737.9355507
14,2.0,0.0,1612556737.9529824
15,2.0,0.0,1612556737.971239
16,2.0,0.0,1612556737.9886281
17,2.0,0.0,1612556738.0077748
18,2.0,0.0,1612556738.0295963
19,2.0,0.0,1612556738.048771
20,2.0,0.0,1612556738.0704148
21,2.0,0.0,1612556738.0929103
22,2.0,0.0,1612556738.1139746
23,2.0,0.0,1612556738.132618
24,2.0,0.0,1612556738.1515734
25,2.0,0.0,1612556738.1697068
26,2.0,0.0,1612556738.18826
27,2.0,0.0,1612556738.207453
28,2.0,0.0,1612556738.2255838
29,2.0,0.0,1612556738.2457643
30,2.0,0.0,1612556738.2674077
31,2.0,0.0,1612556738.2894387
32,2.0,0.0,1612556738.3115015
33,2.0,0.0,1612556738.3326705
34,2.0,0.0,1612556738.3529313
35,2.0,0.0,1612556738.3718758
36,2.0,0.0,1612556738.3892493
37,2.0,0.0,1612556738.4062839
38,2.0,0.0,1612556738.4237194
39,2.0,0.0,1612556738.4420211
40,2.0,0.0,1612556738.4651928
41,2.0,0.0,1612556738.487942
42,2.0,0.0,1612556738.5084357
43,2.0,0.0,1612556738.5290565
44,2.0,0.0,1612556738.5509057
45,2.0,0.0,1612556738.5702467
46,2.0,0.0,1612556738.588745
47,2.0,0.0,1612556738.606049
48,2.0,0.0,1612556738.6256099
49,2.0,0.0,1612556738.6448605
50,2.0,0.0,1612556738.6640074
51,2.0,0.0,1612556738.689611
52,2.0,0.0,1612556738.7123282
53,2.0,0.0,1612556738.7551537
54,2.0,0.0,1612556738.7763135
55,2.0,0.0,1612556738.7967901
56,2.0,0.0,1612556738.815604
57,2.0,0.0,1612556738.8328743
58,2.0,0.0,1612556738.8516374
59,2.0,0.0,1612556738.8693345
60,2.0,0.0,1612556738.8865757
61,2.0,0.0,1612556738.907243
62,2.0,0.0,1612556738.930344
63,2.0,0.0,1612556738.9533272
64,2.0,0.0,1612556738.974845
65,2.0,0.0,1612556738.9932766
66,2.0,0.0,1612556739.0114443
67,2.0,0.0,1612556739.0296283
68,2.0,0.0,1612556739.0472643
69,2.0,0.0,1612556739.064791
70,2.0,0.0,1612556739.0823863
71,2.0,0.0,1612556739.1067543
72,2.0,0.0,1612556739.125972
73,2.0,0.0,1612556739.147527
74,2.0,0.0,1612556739.1680584
75,2.0,0.0,1612556739.1908667
76,2.0,0.0,1612556739.209343
77,2.0,0.0,1612556739.2275488
78,2.0,0.0,1612556739.2456706
79,2.0,0.0,1612556739.2631378
80,2.0,0.0,1612556739.2819955
81,2.0,0.0,1612556739.300992
82,2.0,0.0,1612556739.32146
83,2.0,0.0,1612556739.3426106
84,2.0,0.0,1612556739.3646097
85,2.0,0.0,1612556739.387009
86,2.0,0.0,1612556739.4080234
87,2.0,0.0,1612556739.4276755
88,2.0,0.0,1612556739.4456546
89,2.0,0.0,1612556739.4625514
90,2.0,0.0,1612556739.480799
91,2.0,0.0,1612556739.49851
92,2.0,0.0,1612556739.5168252
93,2.0,0.0,1612556739.5396519
94,2.0,0.0,1612556739.5602674
95,2.0,0.0,1612556739.5806115
96,2.0,0.0,1612556739.6025302
97,2.0,0.0,1612556739.6229296
98,2.0,0.0,1612556739.6430192
99,2.0,0.0,1612556739.6605182
100,2.0,0.0,1612556739.6783786
101,2.0,0.0,1612556739.6969573
102,2.0,0.0,1612556739.7159762
103,2.0,0.0,1612556739.7360384
104,2.0,0.0,1612556739.758576
105,2.0,0.0,1612556739.7798154
106,2.0,0.0,1612556739.8006968
107,2.0,0.0,1612556739.821525
108,2.0,0.0,1612556739.8436797
109,2.0,0.0,1612556739.863327
110,2.0,0.0,1612556739.8811808
111,2.0,0.0,1612556739.8992448
112,2.0,0.0,1612556739.9170978
113,2.0,0.0,1612556739.9355805
114,2.0,0.0,1612556739.9530187
115,2.0,0.0,1612556739.9732416
116,2.0,0.0,1612556739.9940047
117,2.0,0.0,1612556740.0158231
118,2.0,0.0,1612556740.0366266
119,2.0,0.0,1612556740.0570877
120,2.0,0.0,1612556740.0763345
121,2.0,0.0,1612556740.094207
122,2.0,0.0,1612556740.113049
123,2.0,0.0,1612556740.133213
124,2.0,0.0,1612556740.1522064
125,2.0,0.0,1612556740.1698253
126,2.0,0.0,1612556740.1900315
127,2.0,0.0,1612556740.2117014
128,2.0,0.0,1612556740.2343454
129,2.0,0.0,1612556740.2559037
130,2.0,0.0,1612556740.2760944
131,2.0,0.0,1612556740.2960346
