,True Label,RF Time,Time
0,1.0,0.0,1612652572.9577637
1,1.0,0.0,1612652572.9772933
2,1.0,0.0,1612652572.9960332
3,1.0,0.0,1612652573.0132709
4,1.0,0.0,1612652573.0320854
5,1.0,0.0,1612652573.054322
6,1.0,0.0,1612652573.0823188
7,1.0,0.0,1612652573.1125376
8,1.0,0.0,1612652573.1417255
9,1.0,0.0,1612652573.1688876
10,1.0,0.0,1612652573.196724
11,1.0,0.0,1612652573.2230618
12,1.0,0.0,1612652573.2505507
13,1.0,0.0,1612652573.2745965
14,1.0,0.0,1612652573.2971017
15,1.0,0.0,1612652573.3200622
16,1.0,0.0,1612652573.3424833
17,1.0,0.0,1612652573.3664966
18,1.0,0.0,1612652573.3912532
19,1.0,0.0,1612652573.413414
20,1.0,0.0,1612652573.4367023
21,1.0,0.0,1612652573.456392
22,1.0,0.0,1612652573.4814746
23,1.0,0.0,1612652573.5045211
24,1.0,0.0,1612652573.5284545
25,1.0,0.0,1612652573.551789
26,1.0,0.0,1612652573.5764265
27,1.0,0.0,1612652573.5998785
28,1.0,0.0,1612652573.625635
29,1.0,0.0,1612652573.6443164
30,1.0,0.0,1612652573.6624124
31,1.0,0.0,1612652573.6838808
32,1.0,0.0,1612652573.706629
33,1.0,0.0,1612652573.7288756
34,1.0,0.0,1612652573.75296
35,1.0,0.0,1612652573.7771711
36,1.0,0.0,1612652573.8018718
37,1.0,0.0,1612652573.8234448
38,1.0,0.0,1612652573.8456883
39,1.0,0.0,1612652573.862476
40,1.0,0.0,1612652573.8838713
41,1.0,0.0,1612652573.906302
42,1.0,0.0,1612652573.93095
43,1.0,0.0,1612652573.9525673
44,1.0,0.0,1612652573.9755461
45,1.0,0.0,1612652573.9998949
46,1.0,0.0,1612652574.0228531
47,1.0,0.0,1612652574.0468352
48,1.0,0.0,1612652574.0639613
49,1.0,0.0,1612652574.084418
50,1.0,0.0,1612652574.106182
51,1.0,0.0,1612652574.1290953
52,1.0,0.0,1612652574.153091
53,1.0,0.0,1612652574.1758146
54,1.0,0.0,1612652574.197926
55,1.0,0.0,1612652574.219681
56,1.0,0.0,1612652574.2424831
57,1.0,0.0,1612652574.259252
58,1.0,0.0,1612652574.2781532
59,1.0,0.0,1612652574.300724
60,1.0,0.0,1612652574.3248837
61,1.0,0.0,1612652574.351034
62,1.0,0.0,1612652574.3754797
63,1.0,0.0,1612652574.3994348
64,1.0,0.0,1612652574.4243343
65,1.0,0.0,1612652574.4508946
66,1.0,0.0,1612652574.467213
67,1.0,0.0,1612652574.485041
68,1.0,0.0,1612652574.508032
69,1.0,0.0,1612652574.529453
70,1.0,0.0,1612652574.553628
71,1.0,0.0,1612652574.5771222
72,1.0,0.0,1612652574.6015759
73,1.0,0.0,1612652574.6248257
74,1.0,0.0,1612652574.6461937
75,1.0,0.0,1612652574.6661365
76,1.0,0.0,1612652574.6825101
77,1.0,0.0,1612652574.7029088
78,1.0,0.0,1612652574.72676
79,1.0,0.0,1612652574.7490501
80,1.0,0.0,1612652574.7737992
81,1.0,0.0,1612652574.796002
82,1.0,0.0,1612652574.8201742
83,1.0,0.0,1612652574.8425536
84,1.0,0.0,1612652574.8678305
85,1.0,0.0,1612652574.885303
86,1.0,0.0,1612652574.9023101
87,1.0,0.0,1612652574.9234173
88,1.0,0.0,1612652574.945902
89,1.0,0.0,1612652574.971976
90,1.0,0.0,1612652574.9956138
91,1.0,0.0,1612652575.0226688
92,1.0,0.0,1612652575.0490983
93,1.0,0.0,1612652575.0779366
94,1.0,0.0,1612652575.0988503
95,1.0,0.0,1612652575.1203418
96,1.0,0.0,1612652575.1451948
97,1.0,0.0,1612652575.1693387
98,1.0,0.0,1612652575.1935222
99,1.0,0.0,1612652575.216185
100,1.0,0.0,1612652575.238963
101,1.0,0.0,1612652575.261689
102,1.0,0.0,1612652575.289014
103,1.0,0.0,1612652575.3072305
104,1.0,0.0,1612652575.3308473
105,1.0,0.0,1612652575.3520663
106,1.0,0.0,1612652575.3752816
107,1.0,0.0,1612652575.4009123
108,1.0,0.0,1612652575.4223666
109,1.0,0.0,1612652575.4483445
110,1.0,0.0,1612652575.4749794
111,1.0,0.0,1612652575.498396
112,1.0,0.0,1612652575.5152032
113,1.0,0.0,1612652575.5374014
114,1.0,0.0,1612652575.5627286
115,1.0,0.0,1612652575.5881243
116,1.0,0.0,1612652575.6100235
117,1.0,0.0,1612652575.6361217
118,1.0,0.0,1612652575.6591904
119,1.0,0.0,1612652575.6826968
120,1.0,0.0,1612652575.700659
121,1.0,0.0,1612652575.719925
122,1.0,0.0,1612652575.7403545
123,1.0,0.0,1612652575.7669117
124,1.0,0.0,1612652575.7898414
125,1.0,0.0,1612652575.8119087
126,1.0,0.0,1612652575.8385296
127,1.0,0.0,1612652575.8612077
128,1.0,0.0,1612652575.8826253
129,1.0,0.0,1612652575.9046202
130,1.0,0.0,1612652575.9218872
131,1.0,0.0,1612652575.9404979
132,1.0,0.0,1612652575.968542
133,1.0,0.0,1612652575.9906142
134,1.0,0.0,1612652576.0145109
135,1.0,0.0,1612652576.03626
136,1.0,0.0,1612652576.0620399
137,1.0,0.0,1612652576.08946
138,1.0,0.0,1612652576.1153336
139,1.0,0.0,1612652576.1328998
140,1.0,0.0,1612652576.1525042
141,1.0,0.0,1612652576.177079
142,1.0,0.0,1612652576.2022033
143,1.0,0.0,1612652576.2250674
144,1.0,0.0,1612652576.2491655
145,1.0,0.0,1612652576.2744722
146,1.0,0.0,1612652576.2982671
147,1.0,0.0,1612652576.3202198
148,1.0,0.0,1612652576.3427649
149,1.0,0.0,1612652576.3667154
150,1.0,0.0,1612652576.3929136
151,1.0,0.0,1612652576.4182227
152,1.0,0.0,1612652576.4458647
153,1.0,0.0,1612652576.4672043
154,1.0,0.0,1612652576.4889355
155,1.0,0.0,1612652576.5162494
156,1.0,0.0,1612652576.5391657
157,1.0,0.0,1612652576.5616567
158,1.0,0.0,1612652576.579026
159,1.0,0.0,1612652576.6002092
160,1.0,0.0,1612652576.6225102
161,1.0,0.0,1612652576.6489131
162,1.0,0.0,1612652576.6721363
163,1.0,0.0,1612652576.6946225
164,1.0,0.0,1612652576.7191532
165,1.0,0.0,1612652576.741825
166,1.0,0.0,1612652576.7647238
167,1.0,0.0,1612652576.7810285
168,1.0,0.0,1612652576.8019052
169,1.0,0.0,1612652576.826118
170,1.0,0.0,1612652576.853347
171,1.0,0.0,1612652576.875912
172,1.0,0.0,1612652576.8980703
173,1.0,0.0,1612652576.9232552
174,1.0,0.0,1612652576.9465442
175,1.0,0.0,1612652576.9712353
176,1.0,0.0,1612652576.9885721
177,1.0,0.0,1612652577.010096
178,1.0,0.0,1612652577.0321379
179,1.0,0.0,1612652577.0577543
180,1.0,0.0,1612652577.085604
181,1.0,0.0,1612652577.1130645
182,1.0,0.0,1612652577.1380491
183,1.0,0.0,1612652577.1615915
184,1.0,0.0,1612652577.1827872
185,1.0,0.0,1612652577.1995666
186,1.0,0.0,1612652577.223037
187,1.0,0.0,1612652577.2452452
188,1.0,0.0,1612652577.2693462
189,1.0,0.0,1612652577.2923517
190,1.0,0.0,1612652577.3201294
191,1.0,0.0,1612652577.3426452
192,1.0,0.0,1612652577.3651476
193,1.0,0.0,1612652577.3858173
194,1.0,0.0,1612652577.402302
195,1.0,0.0,1612652577.42517
196,1.0,0.0,1612652577.4471183
197,1.0,0.0,1612652577.4699893
198,1.0,0.0,1612652577.4919
199,1.0,0.0,1612652577.5145721
200,1.0,0.0,1612652577.5391169
201,1.0,0.0,1612652577.5634727
202,1.0,0.0,1612652577.5847816
203,1.0,0.0,1612652577.6020997
204,1.0,0.0,1612652577.6220882
205,1.0,0.0,1612652577.6436977
206,1.0,0.0,1612652577.6664536
207,1.0,0.0,1612652577.688865
208,1.0,0.0,1612652577.712169
209,1.0,0.0,1612652577.7360113
210,1.0,0.0,1612652577.7593803
211,1.0,0.0,1612652577.7824526
212,1.0,0.0,1612652577.799682
213,1.0,0.0,1612652577.8198164
214,1.0,0.0,1612652577.8464482
215,1.0,0.0,1612652577.8756201
216,1.0,0.0,1612652577.8980186
217,1.0,0.0,1612652577.9222472
218,1.0,0.0,1612652577.9435937
219,1.0,0.0,1612652577.9658453
220,1.0,0.0,1612652577.9878979
221,1.0,0.0,1612652578.004457
222,1.0,0.0,1612652578.023465
223,1.0,0.0,1612652578.0455787
224,1.0,0.0,1612652578.0676057
225,1.0,0.0,1612652578.0888765
226,1.0,0.0,1612652578.1145961
227,1.0,0.0,1612652578.1372948
228,1.0,0.0,1612652578.1592917
229,1.0,0.0,1612652578.1808033
230,1.0,0.0,1612652578.2015526
231,1.0,0.0,1612652578.2216046
232,1.0,0.0,1612652578.2445378
233,1.0,0.0,1612652578.2673686
234,1.0,0.0,1612652578.2895525
235,1.0,0.0,1612652578.3122675
236,1.0,0.0,1612652578.3360395
237,1.0,0.0,1612652578.3599696
238,1.0,0.0,1612652578.3831344
239,1.0,0.0,1612652578.402922
240,1.0,0.0,1612652578.4195328
241,1.0,0.0,1612652578.4422843
242,1.0,0.0,1612652578.4647844
243,1.0,0.0,1612652578.4884758
244,1.0,0.0,1612652578.5111237
245,1.0,0.0,1612652578.53463
246,1.0,0.0,1612652578.5581927
247,1.0,0.0,1612652578.581083
248,1.0,0.0,1612652578.6036692
249,1.0,0.0,1612652578.620608
250,1.0,0.0,1612652578.6400383
251,1.0,0.0,1612652578.668598
252,1.0,0.0,1612652578.6948864
253,1.0,0.0,1612652578.7186036
254,1.0,0.0,1612652578.7458527
255,1.0,0.0,1612652578.7687721
256,1.0,0.0,1612652578.7939773
257,1.0,0.0,1612652578.8129075
258,1.0,0.0,1612652578.8299665
259,1.0,0.0,1612652578.8526692
260,1.0,0.0,1612652578.8760777
261,1.0,0.0,1612652578.9008484
262,1.0,0.0,1612652578.9229074
263,1.0,0.0,1612652578.945922
264,1.0,0.0,1612652578.968918
265,1.0,0.0,1612652578.9913385
266,1.0,0.0,1612652579.0149803
267,1.0,0.0,1612652579.0312266
268,1.0,0.0,1612652579.0519404
269,1.0,0.0,1612652579.0746624
270,1.0,0.0,1612652579.0985222
271,1.0,0.0,1612652579.1262581
272,1.0,0.0,1612652579.1518738
273,1.0,0.0,1612652579.1745036
274,1.0,0.0,1612652579.1985931
275,1.0,0.0,1612652579.2213068
276,1.0,0.0,1612652579.239342
277,1.0,0.0,1612652579.2623763
278,1.0,0.0,1612652579.2828293
279,1.0,0.0,1612652579.305638
280,1.0,0.0,1612652579.328922
281,1.0,0.0,1612652579.35191
282,1.0,0.0,1612652579.3760507
283,1.0,0.0,1612652579.3981843
284,1.0,0.0,1612652579.4226372
285,1.0,0.0,1612652579.4400249
286,1.0,0.0,1612652579.4625335
287,1.0,0.0,1612652579.485366
288,1.0,0.0,1612652579.5113995
289,1.0,0.0,1612652579.535382
290,1.0,0.0,1612652579.561127
291,1.0,0.0,1612652579.587058
292,1.0,0.0,1612652579.6097374
293,1.0,0.0,1612652579.6348333
294,1.0,0.0,1612652579.6531723
295,1.0,0.0,1612652579.6753178
296,1.0,0.0,1612652579.6977892
297,1.0,0.0,1612652579.7259586
298,1.0,0.0,1612652579.7480843
299,1.0,0.0,1612652579.7748475
300,1.0,0.0,1612652579.7988906
301,1.0,0.0,1612652579.8218737
302,1.0,0.0,1612652579.8398921
303,1.0,0.0,1612652579.8588727
304,1.0,0.0,1612652579.8816395
