,True Label,RF Time,Time
0,2.0,0.0,1612654507.0885167
1,2.0,0.0,1612654507.1063313
2,2.0,0.0,1612654507.1264553
3,2.0,0.0,1612654507.1456563
4,2.0,0.0,1612654507.1635692
5,2.0,0.0,1612654507.189367
6,2.0,0.0,1612654507.2159135
7,2.0,0.0,1612654507.244985
8,2.0,0.0,1612654507.2706769
9,2.0,1.0,1612654507.2977383
10,2.0,1.0,1612654507.3236198
11,2.0,1.0,1612654507.352533
12,2.0,1.0,1612654507.3826218
13,2.0,1.0,1612654507.4051802
14,2.0,1.0,1612654507.4273694
15,2.0,1.0,1612654507.4523351
16,2.0,1.0,1612654507.4750073
17,2.0,1.0,1612654507.502211
18,2.0,1.0,1612654507.5273745
19,2.0,1.0,1612654507.5498402
20,2.0,1.0,1612654507.5689285
21,2.0,1.0,1612654507.5860746
22,2.0,1.0,1612654507.6093013
23,2.0,1.0,1612654507.6325328
24,2.0,1.0,1612654507.6547909
25,2.0,1.0,1612654507.6780202
26,2.0,1.0,1612654507.7000463
27,2.0,1.0,1612654507.7254534
28,2.0,1.0,1612654507.7489514
29,2.0,1.0,1612654507.7771251
30,2.0,1.0,1612654507.8019314
31,2.0,1.0,1612654507.8270767
32,2.0,1.0,1612654507.8519962
33,2.0,1.0,1612654507.8744676
34,2.0,1.0,1612654507.899298
35,2.0,1.0,1612654507.9239404
36,2.0,1.0,1612654507.9499116
37,2.0,1.0,1612654507.9762208
38,2.0,1.0,1612654507.998858
39,2.0,1.0,1612654508.0202148
40,2.0,1.0,1612654508.045564
41,2.0,1.0,1612654508.0692303
42,2.0,1.0,1612654508.095208
43,2.0,1.0,1612654508.119978
44,2.0,2.0,1612654508.1449459
45,2.0,2.0,1612654508.1738183
46,2.0,2.0,1612654508.1968653
47,2.0,2.0,1612654508.2199998
48,2.0,2.0,1612654508.2375414
49,2.0,2.0,1612654508.2630434
50,2.0,2.0,1612654508.2876258
51,2.0,2.0,1612654508.3113072
52,2.0,2.0,1612654508.3360944
53,2.0,2.0,1612654508.3598304
54,2.0,2.0,1612654508.3856492
55,2.0,2.0,1612654508.4086142
56,2.0,2.0,1612654508.4280214
57,2.0,2.0,1612654508.446503
58,2.0,2.0,1612654508.4734569
59,2.0,2.0,1612654508.4966636
60,2.0,2.0,1612654508.5207083
61,2.0,2.0,1612654508.5456579
62,2.0,2.0,1612654508.5700688
63,2.0,2.0,1612654508.5923662
64,2.0,2.0,1612654508.6195786
65,2.0,2.0,1612654508.640734
66,2.0,2.0,1612654508.6642323
67,2.0,2.0,1612654508.68626
68,2.0,2.0,1612654508.7082577
69,2.0,2.0,1612654508.7335105
70,2.0,2.0,1612654508.7630725
71,2.0,2.0,1612654508.7899191
72,2.0,2.0,1612654508.8142772
73,2.0,2.0,1612654508.833056
74,2.0,2.0,1612654508.8526895
75,2.0,2.0,1612654508.8760035
76,2.0,2.0,1612654508.9017024
77,2.0,2.0,1612654508.9253602
78,2.0,2.0,1612654508.946333
79,2.0,2.0,1612654508.9704874
80,2.0,2.0,1612654508.9943078
81,2.0,2.0,1612654509.015673
82,2.0,2.0,1612654509.0377123
83,2.0,2.0,1612654509.055187
84,2.0,2.0,1612654509.0796301
85,2.0,2.0,1612654509.1038902
86,2.0,2.0,1612654509.1288357
87,2.0,2.0,1612654509.1533625
88,2.0,2.0,1612654509.1921232
89,2.0,2.0,1612654509.2156777
90,2.0,2.0,1612654509.2386122
91,2.0,2.0,1612654509.2565887
92,2.0,2.0,1612654509.2799382
93,2.0,2.0,1612654509.3055496
94,2.0,2.0,1612654509.3331397
95,2.0,2.0,1612654509.357887
96,2.0,2.0,1612654509.3797085
97,2.0,2.0,1612654509.4034195
98,2.0,2.0,1612654509.4251666
99,2.0,2.0,1612654509.4460487
100,2.0,2.0,1612654509.4660406
101,2.0,2.0,1612654509.4920163
102,2.0,2.0,1612654509.5187252
103,2.0,2.0,1612654509.5449567
104,2.0,2.0,1612654509.5667603
105,2.0,2.0,1612654509.5900323
106,2.0,2.0,1612654509.6155715
107,2.0,2.0,1612654509.6393337
108,2.0,2.0,1612654509.6576257
109,2.0,2.0,1612654509.6791685
110,2.0,2.0,1612654509.7035062
111,2.0,1.0,1612654509.7266457
112,2.0,1.0,1612654509.7496822
113,2.0,1.0,1612654509.7736957
114,2.0,1.0,1612654509.7985892
115,2.0,1.0,1612654509.8226967
116,2.0,1.0,1612654509.8444226
117,2.0,1.0,1612654509.8619776
118,2.0,1.0,1612654509.883259
119,2.0,1.0,1612654509.9055364
120,2.0,1.0,1612654509.9289076
121,2.0,1.0,1612654509.955331
122,2.0,1.0,1612654509.983415
123,2.0,1.0,1612654510.008928
124,2.0,1.0,1612654510.0349643
125,2.0,1.0,1612654510.054461
126,2.0,1.0,1612654510.0759845
