,True Label,RF Time,Time
0,1.0,0.0,1612630722.507762
1,1.0,0.0,1612630722.5337496
2,1.0,0.0,1612630722.5573807
3,1.0,0.0,1612630722.5813458
4,1.0,0.0,1612630722.602221
5,1.0,0.0,1612630722.6202018
6,1.0,0.0,1612630722.639332
7,1.0,0.0,1612630722.6579099
8,1.0,0.0,1612630722.6742432
9,1.0,0.0,1612630722.692398
10,1.0,0.0,1612630722.7127323
11,1.0,0.0,1612630722.736014
12,1.0,0.0,1612630722.758638
13,1.0,0.0,1612630722.7841032
14,1.0,0.0,1612630722.8026416
15,1.0,0.0,1612630722.822055
16,1.0,0.0,1612630722.841286
17,1.0,0.0,1612630722.8585052
18,1.0,0.0,1612630722.8752708
19,1.0,0.0,1612630722.8920426
20,1.0,0.0,1612630722.9092176
21,1.0,0.0,1612630722.9303942
22,1.0,0.0,1612630722.9500613
23,1.0,0.0,1612630722.9709022
24,1.0,0.0,1612630722.9905803
25,1.0,0.0,1612630723.0106153
26,1.0,0.0,1612630723.0287783
27,1.0,0.0,1612630723.046301
28,1.0,0.0,1612630723.06306
29,1.0,0.0,1612630723.079278
30,1.0,0.0,1612630723.095888
31,1.0,0.0,1612630723.1136289
32,1.0,0.0,1612630723.134619
33,1.0,0.0,1612630723.1544166
34,1.0,0.0,1612630723.173104
35,1.0,0.0,1612630723.1929789
36,1.0,0.0,1612630723.213723
37,1.0,0.0,1612630723.2333915
38,1.0,0.0,1612630723.251679
39,1.0,0.0,1612630723.2694063
40,1.0,0.0,1612630723.2868202
41,1.0,0.0,1612630723.3041759
42,1.0,0.0,1612630723.3210783
43,1.0,0.0,1612630723.3380754
44,1.0,0.0,1612630723.3582675
45,1.0,0.0,1612630723.3783393
46,1.0,0.0,1612630723.397976
47,1.0,0.0,1612630723.4181917
48,1.0,0.0,1612630723.438873
49,1.0,0.0,1612630723.4558315
50,1.0,0.0,1612630723.472938
51,1.0,0.0,1612630723.4893181
52,1.0,0.0,1612630723.506587
53,1.0,0.0,1612630723.5229323
54,1.0,0.0,1612630723.5404127
55,1.0,0.0,1612630723.5625315
56,1.0,0.0,1612630723.5823495
57,1.0,0.0,1612630723.6040735
58,1.0,0.0,1612630723.624729
59,1.0,0.0,1612630723.6431413
60,1.0,0.0,1612630723.6618319
61,1.0,0.0,1612630723.6786113
62,1.0,0.0,1612630723.6952884
63,1.0,0.0,1612630723.711619
64,1.0,0.0,1612630723.7286901
65,1.0,0.0,1612630723.7460105
66,1.0,0.0,1612630723.7642345
67,1.0,0.0,1612630723.7830515
68,1.0,0.0,1612630723.8043053
69,1.0,0.0,1612630723.8228388
70,1.0,0.0,1612630723.8442628
71,1.0,0.0,1612630723.8650596
72,1.0,0.0,1612630723.8825738
73,1.0,0.0,1612630723.8999295
74,1.0,0.0,1612630723.916947
75,1.0,0.0,1612630723.9335809
76,1.0,0.0,1612630723.951922
77,1.0,0.0,1612630723.968344
78,1.0,0.0,1612630723.9879024
79,1.0,0.0,1612630724.0074394
80,1.0,0.0,1612630724.0276163
81,1.0,0.0,1612630724.0484052
82,1.0,0.0,1612630724.0687685
83,1.0,0.0,1612630724.0866554
84,1.0,0.0,1612630724.1038194
85,1.0,0.0,1612630724.1201708
