,True Label,RF Time,Time
0,3.0,0.0,1612629614.8475885
1,3.0,0.0,1612629614.8651707
2,3.0,0.0,1612629614.882292
3,3.0,0.0,1612629614.8996384
4,3.0,0.0,1612629614.9183078
5,3.0,0.0,1612629614.9397588
6,3.0,0.0,1612629614.96072
7,3.0,0.0,1612629614.984493
8,3.0,0.0,1612629615.0092897
9,3.0,0.0,1612629615.0311587
10,3.0,0.0,1612629615.05026
11,3.0,0.0,1612629615.0687897
12,3.0,0.0,1612629615.0867884
13,3.0,0.0,1612629615.1043913
14,3.0,0.0,1612629615.1227422
15,3.0,0.0,1612629615.1399384
16,3.0,0.0,1612629615.1653671
17,3.0,0.0,1612629615.188809
18,3.0,0.0,1612629615.2118237
19,3.0,0.0,1612629615.2354672
20,3.0,0.0,1612629615.255089
21,3.0,0.0,1612629615.272807
22,3.0,0.0,1612629615.289573
23,3.0,0.0,1612629615.3069296
24,3.0,0.0,1612629615.3235912
25,3.0,0.0,1612629615.341114
26,3.0,0.0,1612629615.3599646
27,3.0,0.0,1612629615.3790817
28,3.0,0.0,1612629615.398888
29,3.0,0.0,1612629615.4215553
30,3.0,0.0,1612629615.442485
31,3.0,0.0,1612629615.4616854
32,3.0,0.0,1612629615.4788687
33,3.0,0.0,1612629615.4959676
34,3.0,0.0,1612629615.5136018
35,3.0,0.0,1612629615.5301273
36,3.0,0.0,1612629615.5468972
37,3.0,0.0,1612629615.564764
38,3.0,0.0,1612629615.5829158
39,3.0,0.0,1612629615.6024122
40,3.0,0.0,1612629615.622221
41,3.0,0.0,1612629615.641664
42,3.0,0.0,1612629615.659674
43,3.0,0.0,1612629615.6790104
44,3.0,0.0,1612629615.6953654
45,3.0,0.0,1612629615.712227
46,3.0,0.0,1612629615.7295368
47,3.0,0.0,1612629615.7465634
48,3.0,0.0,1612629615.7665782
49,3.0,0.0,1612629615.78732
50,3.0,0.0,1612629615.8082395
51,3.0,0.0,1612629615.8275867
52,3.0,0.0,1612629615.8474216
53,3.0,0.0,1612629615.8662622
54,3.0,0.0,1612629615.8826091
55,3.0,0.0,1612629615.8998141
56,3.0,0.0,1612629615.9169126
57,3.0,0.0,1612629615.9338536
58,3.0,0.0,1612629615.9515018
59,3.0,0.0,1612629615.9727526
60,3.0,0.0,1612629615.9919884
61,3.0,0.0,1612629616.0122309
62,3.0,0.0,1612629616.0313723
63,3.0,0.0,1612629616.051302
64,3.0,0.0,1612629616.0714166
65,3.0,0.0,1612629616.0888858
66,3.0,0.0,1612629616.1054182
67,3.0,0.0,1612629616.1228905
68,3.0,0.0,1612629616.1398983
69,3.0,0.0,1612629616.156654
70,3.0,0.0,1612629616.1740355
71,3.0,0.0,1612629616.1939738
72,3.0,0.0,1612629616.214652
73,3.0,0.0,1612629616.2348151
74,3.0,0.0,1612629616.2556155
75,3.0,0.0,1612629616.2756405
76,3.0,0.0,1612629616.2921562
77,3.0,0.0,1612629616.3097515
78,3.0,0.0,1612629616.3286014
79,3.0,0.0,1612629616.3467653
80,3.0,0.0,1612629616.3648286
81,3.0,0.0,1612629616.383738
82,3.0,0.0,1612629616.404583
83,3.0,0.0,1612629616.4245865
84,3.0,0.0,1612629616.4442616
85,3.0,0.0,1612629616.4635134
86,3.0,0.0,1612629616.4830992
87,3.0,0.0,1612629616.5012138
88,3.0,0.0,1612629616.518439
89,3.0,0.0,1612629616.5347927
90,3.0,0.0,1612629616.5516992
91,3.0,0.0,1612629616.5683463
92,3.0,0.0,1612629616.5868318
93,3.0,0.0,1612629616.6065712
94,3.0,0.0,1612629616.6255486
95,3.0,0.0,1612629616.6448472
96,3.0,0.0,1612629616.6641884
97,3.0,0.0,1612629616.6838882
