,True Label,RF Time,Time
0,3.0,0.0,1612630510.1068792
1,3.0,0.0,1612630510.1252968
2,3.0,0.0,1612630510.1433837
3,3.0,0.0,1612630510.1621618
4,3.0,0.0,1612630510.1792433
5,3.0,0.0,1612630510.2005963
6,3.0,1.0,1612630510.2235217
7,3.0,1.0,1612630510.247054
8,3.0,1.0,1612630510.2706065
9,3.0,1.0,1612630510.291066
10,3.0,1.0,1612630510.3112633
11,3.0,1.0,1612630510.3305376
12,3.0,1.0,1612630510.3495827
13,3.0,1.0,1612630510.368853
14,3.0,1.0,1612630510.386211
15,3.0,1.0,1612630510.4119444
16,3.0,1.0,1612630510.4364574
17,3.0,1.0,1612630510.4620235
18,3.0,1.0,1612630510.4821055
19,3.0,1.0,1612630510.5019417
20,3.0,1.0,1612630510.5206075
21,3.0,1.0,1612630510.5367222
22,3.0,1.0,1612630510.5540042
23,3.0,1.0,1612630510.5711722
24,3.0,1.0,1612630510.5885296
25,3.0,1.0,1612630510.6091046
26,3.0,1.0,1612630510.6302843
27,3.0,1.0,1612630510.6516845
28,3.0,1.0,1612630510.6713083
29,3.0,1.0,1612630510.6900156
30,3.0,1.0,1612630510.7089336
31,3.0,1.0,1612630510.7258694
32,3.0,1.0,1612630510.7424054
33,3.0,1.0,1612630510.7591846
34,3.0,1.0,1612630510.775341
35,3.0,1.0,1612630510.7925777
36,3.0,1.0,1612630510.8128972
37,3.0,1.0,1612630510.8315873
38,3.0,1.0,1612630510.851438
39,3.0,1.0,1612630510.8708339
40,3.0,1.0,1612630510.8917046
41,3.0,1.0,1612630510.910375
42,3.0,1.0,1612630510.927879
43,3.0,1.0,1612630510.9450603
44,3.0,1.0,1612630510.9624329
45,3.0,1.0,1612630510.9789612
46,3.0,1.0,1612630510.9958525
47,3.0,1.0,1612630511.0129943
48,3.0,1.0,1612630511.0343492
49,3.0,1.0,1612630511.05495
50,3.0,1.0,1612630511.0735402
51,3.0,1.0,1612630511.093583
52,3.0,1.0,1612630511.1145716
53,3.0,1.0,1612630511.1321971
54,3.0,1.0,1612630511.15019
55,3.0,1.0,1612630511.168159
56,3.0,1.0,1612630511.185386
57,3.0,1.0,1612630511.20125
58,3.0,1.0,1612630511.2169354
59,3.0,1.0,1612630511.2375505
60,3.0,3.0,1612630511.256815
61,3.0,3.0,1612630511.2762318
62,3.0,3.0,1612630511.2969537
63,3.0,3.0,1612630511.3161058
64,3.0,3.0,1612630511.334804
65,3.0,3.0,1612630511.352008
66,3.0,3.0,1612630511.3691993
67,3.0,3.0,1612630511.3861954
68,3.0,3.0,1612630511.403491
69,3.0,3.0,1612630511.4197068
70,3.0,3.0,1612630511.438689
71,3.0,3.0,1612630511.4581645
72,3.0,3.0,1612630511.4772773
73,3.0,3.0,1612630511.497253
74,3.0,3.0,1612630511.5166876
75,3.0,3.0,1612630511.5355024
76,3.0,3.0,1612630511.552443
77,3.0,3.0,1612630511.5694044
78,3.0,3.0,1612630511.5855384
79,3.0,3.0,1612630511.6024323
80,3.0,3.0,1612630511.6197083
81,3.0,3.0,1612630511.636578
82,3.0,3.0,1612630511.658541
83,3.0,3.0,1612630511.6768982
84,3.0,3.0,1612630511.6981921
85,3.0,3.0,1612630511.7179961
86,3.0,3.0,1612630511.7378297
87,3.0,3.0,1612630511.7555237
88,3.0,3.0,1612630511.7733712
89,3.0,3.0,1612630511.790223
90,3.0,3.0,1612630511.8080935
91,3.0,3.0,1612630511.8252227
92,3.0,3.0,1612630511.8460453
93,3.0,3.0,1612630511.8650177
94,3.0,3.0,1612630511.8853588
95,3.0,3.0,1612630511.904702
96,3.0,3.0,1612630511.9242368
97,3.0,3.0,1612630511.9445124
98,3.0,3.0,1612630511.9626145
99,3.0,3.0,1612630511.980735
100,3.0,3.0,1612630511.9982808
101,3.0,3.0,1612630512.0159612
102,3.0,3.0,1612630512.0333023
103,3.0,3.0,1612630512.0516145
104,3.0,3.0,1612630512.0709646
105,3.0,3.0,1612630512.0921314
106,3.0,3.0,1612630512.1127114
107,3.0,3.0,1612630512.1313853
108,3.0,3.0,1612630512.1502645
109,3.0,3.0,1612630512.168428
110,3.0,3.0,1612630512.1852472
111,3.0,3.0,1612630512.201207
112,3.0,3.0,1612630512.2185142
113,3.0,3.0,1612630512.234737
114,3.0,3.0,1612630512.2520788
