,True Label,RF Time,Time
0,3.0,0.0,1613480972.4682243
1,3.0,0.0,1613480972.4900515
2,3.0,0.0,1613480972.508868
3,3.0,0.0,1613480972.5279293
4,3.0,0.0,1613480972.5476584
5,3.0,0.0,1613480972.5730386
6,3.0,0.0,1613480972.599329
7,3.0,0.0,1613480972.6258142
8,3.0,0.0,1613480972.653448
9,3.0,0.0,1613480972.6840913
10,3.0,0.0,1613480972.7136593
11,3.0,0.0,1613480972.7386577
12,3.0,0.0,1613480972.7630517
13,3.0,0.0,1613480972.7872133
14,3.0,0.0,1613480972.8111644
15,3.0,0.0,1613480972.8364766
16,3.0,0.0,1613480972.8616729
17,3.0,0.0,1613480972.8863285
18,3.0,0.0,1613480972.9113946
19,3.0,0.0,1613480972.93399
20,3.0,0.0,1613480972.9513655
21,3.0,0.0,1613480972.9690661
22,3.0,0.0,1613480972.9941897
23,3.0,0.0,1613480973.0167525
24,3.0,0.0,1613480973.0414078
25,3.0,0.0,1613480973.0648448
26,3.0,0.0,1613480973.0935009
27,3.0,0.0,1613480973.1197548
28,3.0,0.0,1613480973.1430697
29,3.0,0.0,1613480973.1606593
30,3.0,0.0,1613480973.182013
31,3.0,0.0,1613480973.2079492
32,3.0,0.0,1613480973.2339742
33,3.0,0.0,1613480973.2588055
34,3.0,0.0,1613480973.283678
35,3.0,0.0,1613480973.309044
36,3.0,0.0,1613480973.3334835
37,3.0,0.0,1613480973.3537917
38,3.0,0.0,1613480973.371662
39,3.0,0.0,1613480973.3915362
40,3.0,0.0,1613480973.415715
41,3.0,0.0,1613480973.4416714
42,3.0,0.0,1613480973.4674678
43,3.0,0.0,1613480973.4911935
44,3.0,0.0,1613480973.5186613
45,3.0,0.0,1613480973.5437834
46,3.0,0.0,1613480973.566131
47,3.0,0.0,1613480973.5840688
48,3.0,0.0,1613480973.6042657
49,3.0,0.0,1613480973.6312726
50,3.0,0.0,1613480973.6591957
51,3.0,0.0,1613480973.6867838
52,3.0,0.0,1613480973.7108998
53,3.0,0.0,1613480973.7370682
54,3.0,0.0,1613480973.7640128
55,3.0,0.0,1613480973.7837777
56,3.0,0.0,1613480973.8025749
57,3.0,0.0,1613480973.825714
58,3.0,0.0,1613480973.8514276
59,3.0,0.0,1613480973.8790166
60,3.0,0.0,1613480973.9025214
61,3.0,0.0,1613480973.9271927
62,3.0,0.0,1613480973.9545095
63,3.0,0.0,1613480973.979374
64,3.0,0.0,1613480973.9991515
65,3.0,0.0,1613480974.0177214
66,3.0,0.0,1613480974.0398817
67,3.0,0.0,1613480974.0651937
68,3.0,0.0,1613480974.0935693
69,3.0,0.0,1613480974.1183112
70,3.0,0.0,1613480974.1451857
71,3.0,0.0,1613480974.1695678
72,3.0,0.0,1613480974.1940403
73,3.0,0.0,1613480974.2133439
74,3.0,0.0,1613480974.2308364
75,3.0,0.0,1613480974.2503953
76,3.0,0.0,1613480974.2741244
77,3.0,0.0,1613480974.2999895
78,3.0,0.0,1613480974.3251348
79,3.0,0.0,1613480974.3498836
80,3.0,0.0,1613480974.3755279
81,3.0,0.0,1613480974.401271
82,3.0,0.0,1613480974.4306345
83,3.0,0.0,1613480974.4483883
84,3.0,0.0,1613480974.471794
85,3.0,0.0,1613480974.49702
86,3.0,0.0,1613480974.5228562
87,3.0,0.0,1613480974.548709
88,3.0,0.0,1613480974.5778425
89,3.0,0.0,1613480974.6016066
90,3.0,0.0,1613480974.629767
91,3.0,0.0,1613480974.6468875
92,3.0,0.0,1613480974.670457
93,3.0,0.0,1613480974.69497
94,3.0,0.0,1613480974.7195702
95,3.0,0.0,1613480974.7447186
96,3.0,0.0,1613480974.7678792
97,3.0,0.0,1613480974.7921038
98,3.0,0.0,1613480974.8162465
99,3.0,0.0,1613480974.8387518
100,3.0,0.0,1613480974.8563955
101,3.0,0.0,1613480974.8738015
102,3.0,0.0,1613480974.8980966
103,3.0,0.0,1613480974.9236
104,3.0,0.0,1613480974.9519532
105,3.0,0.0,1613480974.9775007
106,3.0,0.0,1613480975.0064871
107,3.0,0.0,1613480975.0331533
108,3.0,0.0,1613480975.0583282
109,3.0,0.0,1613480975.0769088
110,3.0,0.0,1613480975.1017652
111,3.0,0.0,1613480975.1268294
112,3.0,0.0,1613480975.1522415
113,3.0,0.0,1613480975.1772022
114,3.0,0.0,1613480975.2069948
115,3.0,0.0,1613480975.2318478
116,3.0,0.0,1613480975.2580795
117,3.0,0.0,1613480975.2767453
118,3.0,0.0,1613480975.3014524
119,3.0,0.0,1613480975.3259165
120,3.0,0.0,1613480975.3528817
121,3.0,0.0,1613480975.3790472
122,3.0,0.0,1613480975.4044611
123,3.0,0.0,1613480975.4353583
124,3.0,0.0,1613480975.4606192
125,3.0,0.0,1613480975.4797714
126,3.0,0.0,1613480975.4978673
127,3.0,0.0,1613480975.521603
128,3.0,0.0,1613480975.5467834
129,3.0,0.0,1613480975.5713184
130,3.0,0.0,1613480975.6002107
131,3.0,0.0,1613480975.6299644
132,3.0,0.0,1613480975.657562
133,3.0,0.0,1613480975.6825576
134,3.0,0.0,1613480975.7007997
135,3.0,0.0,1613480975.7181015
136,3.0,0.0,1613480975.7395282
137,3.0,0.0,1613480975.7656994
138,3.0,0.0,1613480975.795329
139,3.0,0.0,1613480975.8231835
140,3.0,0.0,1613480975.848557
141,3.0,0.0,1613480975.872004
142,3.0,0.0,1613480975.895866
143,3.0,0.0,1613480975.9171522
144,3.0,0.0,1613480975.9340792
145,3.0,0.0,1613480975.957848
146,3.0,0.0,1613480975.9815009
147,3.0,0.0,1613480976.0057976
148,3.0,0.0,1613480976.0311131
149,3.0,0.0,1613480976.055745
150,3.0,0.0,1613480976.0809493
151,3.0,0.0,1613480976.104436
152,3.0,0.0,1613480976.1280344
153,3.0,0.0,1613480976.1454518
154,3.0,0.0,1613480976.1628437
155,3.0,0.0,1613480976.1874378
156,3.0,0.0,1613480976.2137809
157,3.0,0.0,1613480976.2400048
158,3.0,0.0,1613480976.2631311
159,3.0,0.0,1613480976.2894115
160,3.0,0.0,1613480976.31672
161,3.0,0.0,1613480976.340132
162,3.0,0.0,1613480976.3587239
163,3.0,0.0,1613480976.3820012
164,3.0,0.0,1613480976.4057772
165,3.0,0.0,1613480976.4340515
166,3.0,0.0,1613480976.463899
167,3.0,0.0,1613480976.4898744
168,3.0,0.0,1613480976.513901
169,3.0,0.0,1613480976.5405838
170,3.0,0.0,1613480976.5588138
171,3.0,0.0,1613480976.5758543
172,3.0,0.0,1613480976.5984783
173,3.0,0.0,1613480976.624399
174,3.0,0.0,1613480976.6494308
175,3.0,0.0,1613480976.6733348
176,3.0,0.0,1613480976.7012684
177,3.0,0.0,1613480976.7270281
178,3.0,0.0,1613480976.7542255
179,3.0,0.0,1613480976.7740183
180,3.0,0.0,1613480976.7912977
181,3.0,0.0,1613480976.8132262
182,3.0,0.0,1613480976.8360078
183,3.0,0.0,1613480976.8607295
184,3.0,0.0,1613480976.8864274
185,3.0,0.0,1613480976.910915
186,3.0,0.0,1613480976.937355
187,3.0,0.0,1613480976.9616573
188,3.0,0.0,1613480976.9857144
189,3.0,0.0,1613480977.0038683
190,3.0,0.0,1613480977.025357
191,3.0,0.0,1613480977.0505831
192,3.0,0.0,1613480977.0755928
193,3.0,0.0,1613480977.1013496
194,3.0,0.0,1613480977.1257303
195,3.0,0.0,1613480977.1519032
196,3.0,0.0,1613480977.1768305
