,True Label,RF Time,Time
0,3.0,0.0,1612560493.5692015
1,3.0,0.0,1612560493.5882056
2,3.0,0.0,1612560493.6090667
3,3.0,0.0,1612560493.6297576
4,3.0,0.0,1612560493.6585798
5,3.0,0.0,1612560493.6888568
6,3.0,0.0,1612560493.7207472
7,3.0,0.0,1612560493.7508523
8,3.0,0.0,1612560493.7830951
9,3.0,0.0,1612560493.8150175
10,3.0,0.0,1612560493.8429973
11,3.0,0.0,1612560493.8642204
12,3.0,0.0,1612560493.8884265
13,3.0,0.0,1612560493.914875
14,3.0,0.0,1612560493.941296
15,3.0,0.0,1612560493.9660163
16,3.0,0.0,1612560493.9923084
17,3.0,0.0,1612560494.0169096
18,3.0,0.0,1612560494.0429778
19,3.0,0.0,1612560494.0611994
20,3.0,0.0,1612560494.0853424
21,3.0,0.0,1612560494.1111867
22,3.0,0.0,1612560494.1354837
23,3.0,0.0,1612560494.1631649
24,3.0,0.0,1612560494.1949215
25,3.0,0.0,1612560494.220808
26,3.0,0.0,1612560494.2448325
27,3.0,0.0,1612560494.2641683
28,3.0,0.0,1612560494.2824476
29,3.0,0.0,1612560494.3074734
30,3.0,0.0,1612560494.3321598
31,3.0,0.0,1612560494.3594663
32,3.0,0.0,1612560494.3845763
33,3.0,0.0,1612560494.4092789
34,3.0,0.0,1612560494.4367466
35,3.0,0.0,1612560494.4622452
36,3.0,0.0,1612560494.4853404
37,3.0,0.0,1612560494.5034106
38,3.0,0.0,1612560494.527192
39,3.0,0.0,1612560494.5523298
40,3.0,0.0,1612560494.5810778
41,3.0,0.0,1612560494.605942
42,3.0,0.0,1612560494.6323235
43,3.0,0.0,1612560494.6591585
44,3.0,0.0,1612560494.6848762
45,3.0,0.0,1612560494.707263
46,3.0,0.0,1612560494.7253087
47,3.0,0.0,1612560494.7492592
48,3.0,0.0,1612560494.7751563
49,3.0,0.0,1612560494.8071587
50,3.0,0.0,1612560494.8332217
51,3.0,0.0,1612560494.8600802
52,3.0,0.0,1612560494.8871813
53,3.0,0.0,1612560494.9132845
54,3.0,0.0,1612560494.9326606
55,3.0,0.0,1612560494.9512358
56,3.0,0.0,1612560494.976338
57,3.0,0.0,1612560495.003075
