,True Label,RF Time,Time
0,3.0,0.0,1612562005.6922324
1,3.0,0.0,1612562005.7130268
2,3.0,0.0,1612562005.732126
3,3.0,0.0,1612562005.7506037
4,3.0,0.0,1612562005.7776575
5,3.0,0.0,1612562005.8078392
6,3.0,0.0,1612562005.8381402
7,3.0,0.0,1612562005.86888
8,3.0,1.0,1612562005.898301
9,3.0,1.0,1612562005.927744
10,3.0,1.0,1612562005.952345
11,3.0,1.0,1612562005.9740644
12,3.0,1.0,1612562005.9961061
13,3.0,1.0,1612562006.0220163
14,3.0,1.0,1612562006.0481517
15,3.0,1.0,1612562006.0773492
16,3.0,1.0,1612562006.1025932
17,3.0,1.0,1612562006.128497
18,3.0,1.0,1612562006.1529706
19,3.0,1.0,1612562006.1744692
20,3.0,1.0,1612562006.1920054
21,3.0,1.0,1612562006.2154918
22,3.0,1.0,1612562006.2410634
23,3.0,1.0,1612562006.2710435
24,3.0,1.0,1612562006.2956126
25,3.0,1.0,1612562006.3215487
26,3.0,1.0,1612562006.3457665
27,3.0,1.0,1612562006.3709474
28,3.0,1.0,1612562006.396007
29,3.0,1.0,1612562006.413662
30,3.0,1.0,1612562006.4358861
31,3.0,1.0,1612562006.4619381
32,3.0,1.0,1612562006.4906347
33,3.0,1.0,1612562006.5152805
34,3.0,1.0,1612562006.5418155
35,3.0,1.0,1612562006.566807
36,3.0,1.0,1612562006.592845
37,3.0,1.0,1612562006.6141245
38,3.0,1.0,1612562006.631405
39,3.0,1.0,1612562006.6544452
40,3.0,1.0,1612562006.678775
41,3.0,1.0,1612562006.7052686
42,3.0,1.0,1612562006.7310798
43,3.0,1.0,1612562006.7556076
44,3.0,1.0,1612562006.7808547
45,3.0,1.0,1612562006.8044946
46,3.0,1.0,1612562006.8285923
47,3.0,1.0,1612562006.847111
48,3.0,1.0,1612562006.8696318
49,3.0,1.0,1612562006.895764
50,3.0,1.0,1612562006.9211197
51,3.0,1.0,1612562006.9484854
52,3.0,1.0,1612562006.9751022
53,3.0,1.0,1612562006.998484
54,3.0,1.0,1612562007.024167
55,3.0,1.0,1612562007.0475147
56,3.0,1.0,1612562007.065855
57,3.0,1.0,1612562007.0924742
58,3.0,1.0,1612562007.117837
59,3.0,1.0,1612562007.1489854
60,3.0,1.0,1612562007.1756692
61,3.0,1.0,1612562007.2007215
62,3.0,1.0,1612562007.225988
63,3.0,1.0,1612562007.2525105
64,3.0,1.0,1612562007.274648
65,3.0,2.0,1612562007.2918923
66,3.0,2.0,1612562007.3144734
67,3.0,2.0,1612562007.3396235
68,3.0,1.0,1612562007.3638246
69,3.0,1.0,1612562007.389778
70,3.0,1.0,1612562007.4178836
71,3.0,1.0,1612562007.4439802
72,3.0,1.0,1612562007.4689102
73,3.0,1.0,1612562007.4899602
74,3.0,1.0,1612562007.5084577
75,3.0,1.0,1612562007.5291278
76,3.0,1.0,1612562007.5573401
77,3.0,1.0,1612562007.5820465
78,3.0,1.0,1612562007.6103566
79,3.0,1.0,1612562007.6356654
80,3.0,1.0,1612562007.6621232
81,3.0,1.0,1612562007.6863794
82,3.0,1.0,1612562007.7116902
83,3.0,1.0,1612562007.7298028
84,3.0,1.0,1612562007.7544138
85,3.0,1.0,1612562007.7798123
86,3.0,1.0,1612562007.8054316
87,3.0,1.0,1612562007.832338
88,3.0,1.0,1612562007.8591754
89,3.0,1.0,1612562007.8849242
90,3.0,1.0,1612562007.9114401
91,3.0,1.0,1612562007.9380248
92,3.0,1.0,1612562007.9649217
93,3.0,1.0,1612562007.991718
94,3.0,1.0,1612562008.0166728
95,3.0,1.0,1612562008.0419114
96,3.0,1.0,1612562008.0681992
97,3.0,1.0,1612562008.0934262
98,3.0,1.0,1612562008.1196272
99,3.0,1.0,1612562008.1396313
100,3.0,1.0,1612562008.1648564
101,3.0,1.0,1612562008.1903143
102,3.0,1.0,1612562008.2158709
103,3.0,1.0,1612562008.2438326
104,3.0,1.0,1612562008.2720923
105,3.0,1.0,1612562008.2982993
106,3.0,1.0,1612562008.32268
107,3.0,1.0,1612562008.3429267
108,3.0,1.0,1612562008.3700202
109,3.0,1.0,1612562008.3957798
110,3.0,1.0,1612562008.4240844
111,3.0,1.0,1612562008.451838
112,3.0,1.0,1612562008.4784324
113,3.0,1.0,1612562008.5054877
114,3.0,1.0,1612562008.5304875
115,3.0,1.0,1612562008.5499315
116,3.0,1.0,1612562008.5758688
117,3.0,1.0,1612562008.6009297
118,3.0,1.0,1612562008.6434398
119,3.0,1.0,1612562008.6714656
120,3.0,1.0,1612562008.6969383
121,3.0,1.0,1612562008.7213397
122,3.0,1.0,1612562008.7424061
123,3.0,1.0,1612562008.760397
124,3.0,1.0,1612562008.7860506
125,3.0,1.0,1612562008.812715
126,3.0,1.0,1612562008.838502
127,3.0,1.0,1612562008.864408
128,3.0,1.0,1612562008.8905115
129,3.0,1.0,1612562008.9163773
130,3.0,1.0,1612562008.9454033
131,3.0,1.0,1612562008.964503
132,3.0,1.0,1612562008.9905083
133,3.0,1.0,1612562009.0175016
134,3.0,1.0,1612562009.0448132
135,3.0,1.0,1612562009.0721846
136,3.0,1.0,1612562009.1011975
137,3.0,1.0,1612562009.1296377
138,3.0,1.0,1612562009.1554065
139,3.0,1.0,1612562009.1763031
140,3.0,1.0,1612562009.202372
141,3.0,1.0,1612562009.2276409
142,3.0,1.0,1612562009.2578163
143,3.0,1.0,1612562009.2823493
144,3.0,1.0,1612562009.3099742
145,3.0,1.0,1612562009.335622
146,3.0,1.0,1612562009.3604314
147,3.0,1.0,1612562009.3785539
148,3.0,1.0,1612562009.4033096
149,3.0,1.0,1612562009.434612
150,3.0,1.0,1612562009.4594092
151,3.0,1.0,1612562009.4851665
152,3.0,1.0,1612562009.518409
153,3.0,1.0,1612562009.5475335
154,3.0,1.0,1612562009.5700011
155,3.0,1.0,1612562009.591548
156,3.0,1.0,1612562009.615499
157,3.0,1.0,1612562009.6413152
158,3.0,1.0,1612562009.6672053
159,3.0,1.0,1612562009.692374
160,3.0,1.0,1612562009.7180853
161,3.0,1.0,1612562009.7454584
162,3.0,1.0,1612562009.7721326
163,3.0,1.0,1612562009.7897325
164,3.0,1.0,1612562009.813952
165,3.0,1.0,1612562009.8408453
166,3.0,1.0,1612562009.8694458
167,3.0,1.0,1612562009.895207
168,3.0,1.0,1612562009.9239137
169,3.0,1.0,1612562009.9514065
170,3.0,1.0,1612562009.9753914
171,3.0,1.0,1612562009.9948516
172,3.0,1.0,1612562010.0209882
173,3.0,1.0,1612562010.0468357
174,3.0,1.0,1612562010.0754292
175,3.0,1.0,1612562010.1011248
176,3.0,1.0,1612562010.129062
177,3.0,1.0,1612562010.1542232
178,3.0,1.0,1612562010.1822617
179,3.0,1.0,1612562010.2022889
180,3.0,1.0,1612562010.2294595
181,3.0,1.0,1612562010.2563055
182,3.0,1.0,1612562010.2829728
183,3.0,1.0,1612562010.3075953
184,3.0,1.0,1612562010.3344274
185,3.0,1.0,1612562010.3584466
186,3.0,1.0,1612562010.3851388
187,3.0,1.0,1612562010.4058125
188,3.0,1.0,1612562010.4362788
189,3.0,1.0,1612562010.461662
190,3.0,1.0,1612562010.4899728
191,3.0,1.0,1612562010.5163105
192,3.0,1.0,1612562010.5450194
193,3.0,1.0,1612562010.573954
194,3.0,1.0,1612562010.597183
195,3.0,1.0,1612562010.6194448
196,3.0,0.0,1612562010.644975
197,3.0,0.0,1612562010.6732593
198,3.0,0.0,1612562010.6993935
199,3.0,0.0,1612562010.7274375
200,3.0,0.0,1612562010.7523346
201,3.0,0.0,1612562010.7781262
202,3.0,0.0,1612562010.8012757
203,3.0,0.0,1612562010.8208869
204,3.0,0.0,1612562010.8478906
205,3.0,0.0,1612562010.8723497
206,3.0,0.0,1612562010.8994122
207,3.0,0.0,1612562010.9276526
208,3.0,0.0,1612562010.957664
209,3.0,0.0,1612562010.983142
210,3.0,0.0,1612562011.0082986
211,3.0,0.0,1612562011.0288298
212,3.0,0.0,1612562011.0541859
213,3.0,0.0,1612562011.0817068
214,3.0,0.0,1612562011.105863
215,3.0,0.0,1612562011.1332705
216,3.0,0.0,1612562011.1645093
217,3.0,0.0,1612562011.1884723
218,3.0,0.0,1612562011.214409
219,3.0,0.0,1612562011.2423077
220,3.0,0.0,1612562011.2683625
221,3.0,0.0,1612562011.2938325
222,3.0,0.0,1612562011.3239417
223,3.0,0.0,1612562011.3484342
224,3.0,0.0,1612562011.3777258
225,3.0,0.0,1612562011.4016297
226,3.0,0.0,1612562011.4243824
227,3.0,0.0,1612562011.4428213
228,3.0,0.0,1612562011.4659164
229,3.0,0.0,1612562011.4893363
230,3.0,0.0,1612562011.5172353
231,3.0,0.0,1612562011.5426633
232,3.0,0.0,1612562011.5688908
233,3.0,0.0,1612562011.5958223
234,3.0,0.0,1612562011.6210306
235,3.0,0.0,1612562011.6417654
236,3.0,0.0,1612562011.659443
237,3.0,0.0,1612562011.68065
238,3.0,0.0,1612562011.7071066
239,3.0,0.0,1612562011.7364721
240,3.0,0.0,1612562011.7622378
241,3.0,0.0,1612562011.7907186
242,3.0,0.0,1612562011.8145742
243,3.0,0.0,1612562011.838909
244,3.0,0.0,1612562011.8619337
245,3.0,0.0,1612562011.8805377
246,3.0,0.0,1612562011.90421
247,3.0,0.0,1612562011.9289985
248,3.0,0.0,1612562011.9554107
249,3.0,0.0,1612562011.9812384
250,3.0,0.0,1612562012.0105634
251,3.0,0.0,1612562012.0353823
252,3.0,0.0,1612562012.06122
253,3.0,0.0,1612562012.083044
254,3.0,0.0,1612562012.1015892
255,3.0,0.0,1612562012.127606
256,3.0,0.0,1612562012.1520813
257,3.0,0.0,1612562012.1792724
258,3.0,0.0,1612562012.2050548
259,3.0,0.0,1612562012.231478
260,3.0,0.0,1612562012.258954
261,3.0,0.0,1612562012.2853234
262,3.0,0.0,1612562012.3057528
263,3.0,0.0,1612562012.3241637
264,3.0,0.0,1612562012.3485885
265,3.0,0.0,1612562012.3732588
266,3.0,0.0,1612562012.40131
267,3.0,0.0,1612562012.42641
268,3.0,0.0,1612562012.4543009
269,3.0,0.0,1612562012.4811883
270,3.0,0.0,1612562012.5082378
271,3.0,0.0,1612562012.5318635
272,3.0,0.0,1612562012.5500274
273,3.0,0.0,1612562012.5747316
274,3.0,0.0,1612562012.6000826
275,3.0,0.0,1612562012.6272964
276,3.0,0.0,1612562012.6544466
277,3.0,0.0,1612562012.6863813
278,3.0,0.0,1612562012.7116873
279,3.0,0.0,1612562012.7355075
280,3.0,0.0,1612562012.754901
281,3.0,0.0,1612562012.78184
282,3.0,0.0,1612562012.805965
283,3.0,0.0,1612562012.8319883
284,3.0,0.0,1612562012.8562768
285,3.0,0.0,1612562012.882818
286,3.0,0.0,1612562012.9089158
287,3.0,0.0,1612562012.936889
288,3.0,0.0,1612562012.9584463
289,3.0,0.0,1612562012.9850824
290,3.0,0.0,1612562013.0117888
291,3.0,0.0,1612562013.0384574
292,3.0,0.0,1612562013.0647843
293,3.0,0.0,1612562013.0917296
294,3.0,0.0,1612562013.1168396
295,3.0,0.0,1612562013.1413963
296,3.0,0.0,1612562013.1605394
297,3.0,0.0,1612562013.1843154
298,3.0,0.0,1612562013.2089067
299,3.0,0.0,1612562013.2350178
300,3.0,0.0,1612562013.2613308
301,3.0,0.0,1612562013.286926
302,3.0,0.0,1612562013.313733
303,3.0,0.0,1612562013.3388581
304,3.0,0.0,1612562013.3589368
305,3.0,0.0,1612562013.3851218
306,3.0,0.0,1612562013.4099512
307,3.0,0.0,1612562013.4363656
308,3.0,0.0,1612562013.4686728
309,3.0,0.0,1612562013.494089
310,3.0,0.0,1612562013.520226
311,3.0,0.0,1612562013.5476568
312,3.0,0.0,1612562013.5689857
313,3.0,0.0,1612562013.5871513
314,3.0,0.0,1612562013.6118426
315,3.0,0.0,1612562013.6375394
316,3.0,0.0,1612562013.6645086
317,3.0,0.0,1612562013.6915321
318,3.0,0.0,1612562013.716445
319,3.0,0.0,1612562013.744658
320,3.0,0.0,1612562013.7722507
321,3.0,0.0,1612562013.791754
322,3.0,0.0,1612562013.8176942
323,3.0,0.0,1612562013.8424852
324,3.0,0.0,1612562013.867649
325,3.0,0.0,1612562013.8941298
326,3.0,0.0,1612562013.9177628
327,3.0,0.0,1612562013.945007
328,3.0,0.0,1612562013.9694066
329,3.0,0.0,1612562013.990761
330,3.0,0.0,1612562014.0155165
331,3.0,0.0,1612562014.0417836
332,3.0,0.0,1612562014.0685394
333,3.0,0.0,1612562014.09666
334,3.0,0.0,1612562014.1238892
335,3.0,0.0,1612562014.1497083
336,3.0,0.0,1612562014.1773074
337,3.0,0.0,1612562014.1979203
338,3.0,0.0,1612562014.2170897
339,3.0,0.0,1612562014.2434034
340,3.0,0.0,1612562014.2701309
341,3.0,0.0,1612562014.2962985
342,3.0,0.0,1612562014.3240051
343,3.0,0.0,1612562014.351351
344,3.0,0.0,1612562014.3782163
345,3.0,0.0,1612562014.4071217
346,3.0,0.0,1612562014.430846
347,3.0,0.0,1612562014.4591076
348,3.0,0.0,1612562014.4919767
349,3.0,0.0,1612562014.5176764
350,3.0,0.0,1612562014.5435324
351,3.0,0.0,1612562014.572861
352,3.0,0.0,1612562014.599857
353,3.0,0.0,1612562014.6214385
354,3.0,0.0,1612562014.6420221
355,3.0,0.0,1612562014.6684022
356,3.0,0.0,1612562014.6955986
357,3.0,0.0,1612562014.7237046
358,3.0,0.0,1612562014.7515728
359,3.0,0.0,1612562014.7770867
360,3.0,0.0,1612562014.80246
361,3.0,0.0,1612562014.8267655
362,3.0,0.0,1612562014.8492296
363,3.0,0.0,1612562014.8760927
364,3.0,0.0,1612562014.9024503
365,3.0,0.0,1612562014.9308505
366,3.0,0.0,1612562014.9545717
367,3.0,0.0,1612562014.9868157
368,3.0,0.0,1612562015.011646
369,3.0,0.0,1612562015.036461
370,3.0,0.0,1612562015.0569868
371,3.0,0.0,1612562015.0854287
372,3.0,0.0,1612562015.1096199
373,3.0,0.0,1612562015.1379764
374,3.0,0.0,1612562015.1655252
375,3.0,0.0,1612562015.192902
376,3.0,0.0,1612562015.2184074
377,3.0,0.0,1612562015.241973
378,3.0,0.0,1612562015.261243
379,3.0,0.0,1612562015.2896109
380,3.0,0.0,1612562015.3172746
381,3.0,0.0,1612562015.3429253
382,3.0,0.0,1612562015.3726006
383,3.0,0.0,1612562015.4005399
384,3.0,0.0,1612562015.429281
385,3.0,0.0,1612562015.452018
386,3.0,0.0,1612562015.4778295
387,3.0,0.0,1612562015.5016782
388,3.0,0.0,1612562015.5295346
389,3.0,0.0,1612562015.5550768
390,3.0,0.0,1612562015.5831578
391,3.0,0.0,1612562015.609704
392,3.0,0.0,1612562015.6343656
393,3.0,0.0,1612562015.6538908
394,3.0,0.0,1612562015.671906
395,3.0,0.0,1612562015.6931727
396,3.0,0.0,1612562015.7181594
397,3.0,0.0,1612562015.7431653
398,3.0,0.0,1612562015.7724774
399,3.0,0.0,1612562015.7983155
400,3.0,0.0,1612562015.8228824
401,3.0,1.0,1612562015.8492296
402,3.0,1.0,1612562015.8715541
403,3.0,1.0,1612562015.8899376
404,3.0,1.0,1612562015.9152014
405,3.0,1.0,1612562015.9440825
406,3.0,1.0,1612562015.9713457
407,3.0,1.0,1612562015.9965866
408,3.0,1.0,1612562016.026852
409,3.0,1.0,1612562016.0528336
410,3.0,1.0,1612562016.0842755
411,3.0,1.0,1612562016.1113636
412,3.0,1.0,1612562016.1351378
413,3.0,1.0,1612562016.1614947
414,3.0,1.0,1612562016.1865735
415,3.0,1.0,1612562016.213317
416,3.0,1.0,1612562016.2388542
417,3.0,1.0,1612562016.2699375
418,3.0,1.0,1612562016.2953126
419,3.0,1.0,1612562016.3215659
