,True Label,RF Time,Time
0,4.0,0.0,1612561188.5967867
1,4.0,0.0,1612561188.6271622
2,4.0,0.0,1612561188.65919
3,4.0,0.0,1612561188.690146
4,4.0,0.0,1612561188.711838
5,4.0,0.0,1612561188.7326345
6,4.0,0.0,1612561188.750752
7,4.0,0.0,1612561188.7766533
8,4.0,0.0,1612561188.8085907
9,4.0,0.0,1612561188.8408723
10,4.0,0.0,1612561188.8683984
11,4.0,0.0,1612561188.8950498
12,4.0,0.0,1612561188.918944
13,4.0,0.0,1612561188.9450407
14,4.0,0.0,1612561188.9643795
15,4.0,0.0,1612561188.9825253
16,4.0,0.0,1612561189.010837
17,4.0,0.0,1612561189.0347016
18,4.0,0.0,1612561189.061654
19,4.0,0.0,1612561189.086368
20,4.0,0.0,1612561189.1133716
21,4.0,0.0,1612561189.1389542
22,4.0,0.0,1612561189.1622722
23,4.0,0.0,1612561189.1801577
24,4.0,0.0,1612561189.2035356
25,4.0,0.0,1612561189.2294734
26,4.0,0.0,1612561189.256524
27,4.0,0.0,1612561189.2842968
28,4.0,0.0,1612561189.3097427
29,4.0,0.0,1612561189.3364441
30,4.0,0.0,1612561189.3627129
31,4.0,0.0,1612561189.3861556
32,4.0,0.0,1612561189.4047406
33,4.0,0.0,1612561189.4284496
34,4.0,0.0,1612561189.4539456
35,4.0,0.0,1612561189.4804807
36,4.0,0.0,1612561189.504953
37,4.0,0.0,1612561189.5314078
38,4.0,0.0,1612561189.5562937
39,4.0,0.0,1612561189.5827441
40,4.0,0.0,1612561189.6026351
41,4.0,0.0,1612561189.6273165
42,4.0,0.0,1612561189.6537724
43,4.0,0.0,1612561189.6820452
44,4.0,0.0,1612561189.7074986
45,4.0,0.0,1612561189.7325342
46,4.0,0.0,1612561189.7584317
47,4.0,0.0,1612561189.7844915
48,4.0,0.0,1612561189.8035553
49,4.0,0.0,1612561189.8216026
50,4.0,0.0,1612561189.8428836
51,4.0,0.0,1612561189.8681507
52,4.0,0.0,1612561189.8939555
53,4.0,0.0,1612561189.9195948
54,4.0,0.0,1612561189.944426
55,4.0,0.0,1612561189.9695413
56,4.0,0.0,1612561189.996267
57,4.0,0.0,1612561190.0229616
58,4.0,0.0,1612561190.0489902
59,4.0,0.0,1612561190.076976
60,4.0,0.0,1612561190.1018758
61,4.0,0.0,1612561190.1275942
62,4.0,0.0,1612561190.151173
63,4.0,0.0,1612561190.1747787
64,4.0,0.0,1612561190.201659
65,4.0,0.0,1612561190.2251801
66,4.0,0.0,1612561190.2485223
67,4.0,0.0,1612561190.2672095
68,4.0,0.0,1612561190.2849607
69,4.0,0.0,1612561190.3118207
70,4.0,0.0,1612561190.3386002
71,4.0,0.0,1612561190.3668885
72,4.0,0.0,1612561190.394876
73,4.0,0.0,1612561190.4211876
74,4.0,0.0,1612561190.44553
75,4.0,0.0,1612561190.4725804
76,4.0,0.0,1612561190.4952297
77,4.0,0.0,1612561190.520737
78,4.0,0.0,1612561190.5461812
79,4.0,0.0,1612561190.572442
80,4.0,0.0,1612561190.5979977
81,4.0,0.0,1612561190.626168
82,4.0,0.0,1612561190.6516068
83,4.0,0.0,1612561190.6763182
84,4.0,0.0,1612561190.6941507
85,4.0,0.0,1612561190.7179391
86,4.0,0.0,1612561190.7418275
87,4.0,0.0,1612561190.766512
88,4.0,0.0,1612561190.791805
89,4.0,0.0,1612561190.818339
90,4.0,0.0,1612561190.8441904
91,4.0,0.0,1612561190.8683872
92,4.0,0.0,1612561190.8888772
93,4.0,0.0,1612561190.9172456
94,4.0,0.0,1612561190.942247
95,4.0,0.0,1612561190.972521
96,4.0,0.0,1612561190.9972658
97,4.0,0.0,1612561191.0228508
98,4.0,0.0,1612561191.0490348
99,4.0,0.0,1612561191.074245
100,4.0,0.0,1612561191.0991971
101,4.0,0.0,1612561191.1254704
102,4.0,0.0,1612561191.1542542
103,4.0,0.0,1612561191.1794238
104,4.0,0.0,1612561191.2034132
105,4.0,0.0,1612561191.2296968
106,4.0,0.0,1612561191.25443
107,4.0,0.0,1612561191.2790484
108,4.0,0.0,1612561191.3035822
109,4.0,0.0,1612561191.3284771
110,4.0,0.0,1612561191.3463886
111,4.0,0.0,1612561191.3668008
112,4.0,0.0,1612561191.3958488
113,4.0,0.0,1612561191.4227023
114,4.0,0.0,1612561191.447745
115,4.0,0.0,1612561191.4740365
116,4.0,0.0,1612561191.497812
117,4.0,0.0,1612561191.5210748
118,4.0,0.0,1612561191.5441806
119,4.0,0.0,1612561191.5622072
120,4.0,0.0,1612561191.5866792
121,4.0,0.0,1612561191.6143544
122,4.0,0.0,1612561191.6389768
123,4.0,0.0,1612561191.6675286
124,4.0,0.0,1612561191.694024
125,4.0,0.0,1612561191.7181296
126,4.0,0.0,1612561191.7436466
127,4.0,0.0,1612561191.7660315
128,4.0,0.0,1612561191.7837522
129,4.0,0.0,1612561191.806235
130,4.0,0.0,1612561191.8320563
131,4.0,0.0,1612561191.8578944
132,4.0,0.0,1612561191.8841488
133,4.0,0.0,1612561191.91099
134,4.0,0.0,1612561191.9370198
135,4.0,0.0,1612561191.9645529
136,4.0,0.0,1612561191.9835954
137,4.0,0.0,1612561192.0007825
138,4.0,0.0,1612561192.0249994
139,4.0,0.0,1612561192.0492203
140,4.0,0.0,1612561192.076069
141,4.0,0.0,1612561192.1017334
142,4.0,0.0,1612561192.1281018
143,4.0,0.0,1612561192.1538677
144,4.0,0.0,1612561192.1779518
145,4.0,0.0,1612561192.1981592
146,4.0,0.0,1612561192.2158844
147,4.0,0.0,1612561192.2358088
148,4.0,0.0,1612561192.2622707
149,4.0,0.0,1612561192.288278
150,4.0,0.0,1612561192.3132281
151,4.0,0.0,1612561192.3383467
152,4.0,0.0,1612561192.3658278
153,4.0,0.0,1612561192.3960419
154,4.0,0.0,1612561192.4190667
155,4.0,0.0,1612561192.4372816
156,4.0,0.0,1612561192.4597847
