,True Label,RF Time,Time
0,1.0,0.0,1612649245.9029238
1,1.0,0.0,1612649245.9216578
2,1.0,0.0,1612649245.9403489
3,1.0,0.0,1612649245.9595942
4,1.0,0.0,1612649245.9785228
5,1.0,0.0,1612649246.003398
6,1.0,0.0,1612649246.0332685
7,1.0,0.0,1612649246.0693269
8,1.0,0.0,1612649246.0993552
9,1.0,0.0,1612649246.1293993
10,1.0,0.0,1612649246.1561787
11,1.0,0.0,1612649246.1826627
12,1.0,0.0,1612649246.207715
13,1.0,0.0,1612649246.237128
14,1.0,0.0,1612649246.2636223
15,1.0,0.0,1612649246.2878397
16,1.0,0.0,1612649246.3093047
17,1.0,0.0,1612649246.332159
18,1.0,0.0,1612649246.3580368
19,1.0,0.0,1612649246.385185
20,1.0,0.0,1612649246.4036884
21,1.0,0.0,1612649246.4257042
22,1.0,0.0,1612649246.4484887
23,1.0,0.0,1612649246.4728777
24,1.0,0.0,1612649246.4968326
25,1.0,0.0,1612649246.5214994
26,1.0,0.0,1612649246.5457158
27,1.0,0.0,1612649246.5699546
28,1.0,0.0,1612649246.5933769
29,1.0,0.0,1612649246.6146057
30,1.0,0.0,1612649246.6373556
31,1.0,0.0,1612649246.6601398
32,1.0,0.0,1612649246.6825628
33,1.0,0.0,1612649246.7046547
34,1.0,0.0,1612649246.7328985
35,1.0,0.0,1612649246.7558894
36,1.0,0.0,1612649246.7812998
37,1.0,0.0,1612649246.7988565
38,1.0,0.0,1612649246.815567
39,1.0,0.0,1612649246.8383508
40,1.0,0.0,1612649246.8609517
41,1.0,0.0,1612649246.8856258
42,1.0,0.0,1612649246.909386
43,1.0,0.0,1612649246.9348962
44,1.0,0.0,1612649246.9592586
45,1.0,0.0,1612649246.9819071
46,1.0,0.0,1612649247.003282
47,1.0,0.0,1612649247.019692
48,1.0,0.0,1612649247.0441163
49,1.0,0.0,1612649247.0664215
50,1.0,0.0,1612649247.0911224
51,1.0,0.0,1612649247.1152048
52,1.0,0.0,1612649247.1420186
53,1.0,0.0,1612649247.1657786
54,1.0,0.0,1612649247.188561
55,1.0,0.0,1612649247.2091815
56,1.0,0.0,1612649247.2294352
57,1.0,0.0,1612649247.2530804
58,1.0,0.0,1612649247.2751036
59,1.0,0.0,1612649247.2979982
60,1.0,0.0,1612649247.3230321
61,1.0,0.0,1612649247.3493948
62,1.0,0.0,1612649247.372751
63,1.0,0.0,1612649247.3987515
64,1.0,0.0,1612649247.4170897
65,1.0,0.0,1612649247.4351456
66,1.0,0.0,1612649247.459173
