,True Label,RF Time,Time
0,1.0,0.0,1612649921.2744315
1,1.0,0.0,1612649921.2933128
2,1.0,0.0,1612649921.31914
3,1.0,0.0,1612649921.3475368
4,1.0,0.0,1612649921.3757615
5,1.0,0.0,1612649921.4054236
6,1.0,0.0,1612649921.4360356
7,1.0,0.0,1612649921.4628973
8,1.0,0.0,1612649921.4913855
9,1.0,0.0,1612649921.5118964
10,1.0,0.0,1612649921.5363426
11,1.0,0.0,1612649921.5611358
12,1.0,0.0,1612649921.583999
13,1.0,0.0,1612649921.6113844
14,1.0,0.0,1612649921.6335096
15,1.0,0.0,1612649921.65682
16,1.0,0.0,1612649921.6798182
17,1.0,0.0,1612649921.700594
18,1.0,0.0,1612649921.717553
19,1.0,0.0,1612649921.737655
20,1.0,0.0,1612649921.760323
21,1.0,0.0,1612649921.7851312
22,1.0,0.0,1612649921.811569
23,1.0,0.0,1612649921.8381083
24,1.0,0.0,1612649921.8608477
25,1.0,0.0,1612649921.8829155
26,1.0,0.0,1612649921.9087532
27,1.0,0.0,1612649921.9324803
28,1.0,0.0,1612649921.9557521
29,1.0,0.0,1612649921.9779072
30,1.0,0.0,1612649922.002098
31,1.0,0.0,1612649922.0271158
32,1.0,0.0,1612649922.0522485
33,1.0,0.0,1612649922.0745835
34,1.0,0.0,1612649922.0969262
35,1.0,0.0,1612649922.117074
36,1.0,0.0,1612649922.1344583
37,1.0,0.0,1612649922.1577094
38,1.0,0.0,1612649922.182494
39,1.0,0.0,1612649922.209276
40,1.0,0.0,1612649922.2326424
41,1.0,0.0,1612649922.2559412
42,1.0,0.0,1612649922.2810643
43,1.0,0.0,1612649922.3061705
44,1.0,0.0,1612649922.3332183
45,1.0,0.0,1612649922.358453
46,1.0,0.0,1612649922.3825204
47,1.0,0.0,1612649922.4083052
48,1.0,0.0,1612649922.4336715
49,1.0,0.0,1612649922.4620786
50,1.0,0.0,1612649922.4863856
51,1.0,0.0,1612649922.5098069
52,1.0,0.0,1612649922.5361903
53,1.0,0.0,1612649922.5618324
54,1.0,0.0,1612649922.5831025
55,1.0,0.0,1612649922.6020336
56,1.0,0.0,1612649922.6245668
57,1.0,0.0,1612649922.6487093
58,1.0,0.0,1612649922.6729696
59,1.0,0.0,1612649922.6965342
60,1.0,0.0,1612649922.7216332
61,1.0,0.0,1612649922.7451944
62,1.0,0.0,1612649922.7750764
63,1.0,0.0,1612649922.7932026
64,1.0,0.0,1612649922.812625
65,1.0,0.0,1612649922.8361814
66,1.0,0.0,1612649922.8610756
67,1.0,0.0,1612649922.8862982
68,1.0,0.0,1612649922.9098132
69,1.0,0.0,1612649922.9368472
70,1.0,0.0,1612649922.961793
71,1.0,0.0,1612649922.9857597
72,1.0,0.0,1612649923.0044236
73,1.0,0.0,1612649923.0285852
74,1.0,0.0,1612649923.053158
75,1.0,0.0,1612649923.0772018
76,1.0,0.0,1612649923.1001945
77,1.0,0.0,1612649923.1242976
78,1.0,0.0,1612649923.1490202
79,1.0,0.0,1612649923.1727464
80,1.0,0.0,1612649923.1961277
81,1.0,0.0,1612649923.21968
