,True Label,RF Time,Time
0,2.0,0.0,1612649726.8832603
1,2.0,0.0,1612649726.9116278
2,2.0,0.0,1612649726.938679
3,2.0,0.0,1612649726.9670672
4,2.0,0.0,1612649726.9920409
5,2.0,0.0,1612649727.019145
6,2.0,0.0,1612649727.0371692
7,2.0,0.0,1612649727.0586987
8,2.0,0.0,1612649727.0841691
9,2.0,0.0,1612649727.1081886
10,2.0,0.0,1612649727.1325557
11,2.0,0.0,1612649727.159708
12,2.0,0.0,1612649727.1856766
13,2.0,0.0,1612649727.2098637
14,2.0,0.0,1612649727.23243
15,2.0,0.0,1612649727.252553
16,2.0,0.0,1612649727.272962
17,2.0,0.0,1612649727.2969913
18,2.0,0.0,1612649727.324472
19,2.0,0.0,1612649727.3472967
20,2.0,0.0,1612649727.369289
21,2.0,0.0,1612649727.3931165
22,2.0,0.0,1612649727.4163778
23,2.0,0.0,1612649727.4411573
24,2.0,0.0,1612649727.4599028
25,2.0,0.0,1612649727.4801729
26,2.0,0.0,1612649727.5026448
27,2.0,0.0,1612649727.5264616
28,2.0,0.0,1612649727.54925
29,2.0,0.0,1612649727.5712445
30,2.0,0.0,1612649727.5956
31,2.0,0.0,1612649727.6196685
32,2.0,0.0,1612649727.6451979
33,2.0,0.0,1612649727.6629314
34,2.0,0.0,1612649727.682911
35,2.0,0.0,1612649727.705832
36,2.0,0.0,1612649727.7310054
37,2.0,0.0,1612649727.7537637
38,2.0,0.0,1612649727.776435
39,2.0,0.0,1612649727.799766
40,2.0,0.0,1612649727.822321
41,2.0,0.0,1612649727.8517776
42,2.0,0.0,1612649727.8690226
43,2.0,0.0,1612649727.8920383
44,2.0,0.0,1612649727.9187026
45,2.0,0.0,1612649727.943048
46,2.0,0.0,1612649727.9695325
47,2.0,0.0,1612649727.9913003
48,2.0,0.0,1612649728.0145648
49,2.0,0.0,1612649728.0402062
50,2.0,0.0,1612649728.0607893
51,2.0,0.0,1612649728.0777187
52,2.0,0.0,1612649728.0952368
53,2.0,0.0,1612649728.1178644
54,2.0,0.0,1612649728.1414492
55,2.0,0.0,1612649728.1664608
56,2.0,0.0,1612649728.1915817
57,2.0,0.0,1612649728.219833
58,2.0,0.0,1612649728.2434947
59,2.0,0.0,1612649728.2676883
60,2.0,0.0,1612649728.2879002
61,2.0,0.0,1612649728.3094978
62,2.0,0.0,1612649728.3378253
63,2.0,0.0,1612649728.3619256
64,2.0,0.0,1612649728.3857725
65,2.0,0.0,1612649728.4118698
66,2.0,0.0,1612649728.434417
67,2.0,0.0,1612649728.455926
68,2.0,0.0,1612649728.4831998
69,2.0,0.0,1612649728.501633
70,2.0,0.0,1612649728.524898
71,2.0,0.0,1612649728.5486193
72,2.0,0.0,1612649728.5703356
73,2.0,0.0,1612649728.5931568
74,2.0,0.0,1612649728.6199803
75,2.0,0.0,1612649728.6418555
76,2.0,0.0,1612649728.6642294
77,2.0,0.0,1612649728.6841905
78,2.0,0.0,1612649728.7014563
79,2.0,0.0,1612649728.7226815
80,2.0,0.0,1612649728.7461178
81,2.0,0.0,1612649728.767832
82,2.0,0.0,1612649728.7904725
