,True Label,RF Time,Time
0,1.0,0.0,1612650948.9820726
1,1.0,0.0,1612650949.0014014
2,1.0,0.0,1612650949.0196743
3,1.0,0.0,1612650949.03846
4,1.0,0.0,1612650949.0564115
5,1.0,0.0,1612650949.0845392
6,1.0,0.0,1612650949.1143422
7,1.0,0.0,1612650949.1479087
8,1.0,0.0,1612650949.1749606
9,1.0,0.0,1612650949.2031324
10,1.0,0.0,1612650949.2352135
11,1.0,0.0,1612650949.262051
12,1.0,0.0,1612650949.2827163
13,1.0,0.0,1612650949.3064308
14,1.0,0.0,1612650949.3352113
15,1.0,0.0,1612650949.3573303
16,1.0,0.0,1612650949.380785
17,1.0,0.0,1612650949.402752
18,1.0,0.0,1612650949.42578
19,1.0,0.0,1612650949.4541087
20,1.0,0.0,1612650949.4714262
21,1.0,0.0,1612650949.4944644
22,1.0,0.0,1612650949.51799
23,1.0,0.0,1612650949.5411644
24,1.0,0.0,1612650949.567409
25,1.0,0.0,1612650949.5937998
26,1.0,0.0,1612650949.619482
27,1.0,0.0,1612650949.6423142
28,1.0,0.0,1612650949.6657476
29,1.0,0.0,1612650949.6852617
30,1.0,0.0,1612650949.704796
31,1.0,0.0,1612650949.7324705
32,1.0,0.0,1612650949.767854
33,1.0,0.0,1612650949.7918296
34,1.0,0.0,1612650949.8156538
35,1.0,0.0,1612650949.8384
36,1.0,0.0,1612650949.8610258
37,1.0,0.0,1612650949.8830118
38,1.0,0.0,1612650949.9007437
39,1.0,0.0,1612650949.9261506
40,1.0,0.0,1612650949.9511342
41,1.0,0.0,1612650949.974932
42,1.0,0.0,1612650949.9993331
43,1.0,0.0,1612650950.023062
44,1.0,0.0,1612650950.0508745
45,1.0,0.0,1612650950.073279
46,1.0,0.0,1612650950.0958226
47,1.0,0.0,1612650950.118746
48,1.0,0.0,1612650950.1428711
49,1.0,0.0,1612650950.1652496
50,1.0,0.0,1612650950.189342
51,1.0,0.0,1612650950.2127137
52,1.0,0.0,1612650950.2374218
53,1.0,0.0,1612650950.2619967
54,1.0,0.0,1612650950.2854667
55,1.0,0.0,1612650950.3036458
56,1.0,0.0,1612650950.3215191
57,1.0,0.0,1612650950.343636
58,1.0,0.0,1612650950.3675215
59,1.0,0.0,1612650950.3946154
60,1.0,0.0,1612650950.418667
61,1.0,0.0,1612650950.4404671
62,1.0,0.0,1612650950.464774
63,1.0,0.0,1612650950.4881785
64,1.0,0.0,1612650950.513545
65,1.0,0.0,1612650950.5365765
66,1.0,0.0,1612650950.5607274
67,1.0,0.0,1612650950.5834274
68,1.0,0.0,1612650950.6088998
69,1.0,0.0,1612650950.6358712
70,1.0,0.0,1612650950.6623755
71,1.0,0.0,1612650950.686243
72,1.0,0.0,1612650950.7097948
73,1.0,0.0,1612650950.726977
74,1.0,0.0,1612650950.748939
75,1.0,0.0,1612650950.7726367
76,1.0,0.0,1612650950.796678
77,1.0,0.0,1612650950.8226442
78,1.0,0.0,1612650950.8469493
