,True Label,RF Time,Time
0,1.0,0.0,1612650225.578072
1,1.0,0.0,1612650225.604722
2,1.0,0.0,1612650225.6306279
3,1.0,0.0,1612650225.665967
4,1.0,0.0,1612650225.6935022
5,1.0,0.0,1612650225.723597
6,1.0,0.0,1612650225.752114
7,1.0,0.0,1612650225.777657
8,1.0,0.0,1612650225.7998445
9,1.0,0.0,1612650225.8241708
10,1.0,0.0,1612650225.8502162
11,1.0,0.0,1612650225.8735979
12,1.0,0.0,1612650225.8960345
13,1.0,0.0,1612650225.9201212
14,1.0,0.0,1612650225.9453285
15,1.0,0.0,1612650225.969269
16,1.0,0.0,1612650225.987631
17,1.0,0.0,1612650226.0061314
18,1.0,0.0,1612650226.0286028
19,1.0,0.0,1612650226.0543106
20,1.0,0.0,1612650226.0817168
21,1.0,0.0,1612650226.1113214
22,1.0,0.0,1612650226.1401794
23,1.0,0.0,1612650226.162028
24,1.0,0.0,1612650226.187995
25,1.0,0.0,1612650226.207484
26,1.0,0.0,1612650226.2290993
27,1.0,0.0,1612650226.2520623
28,1.0,0.0,1612650226.2742279
29,1.0,0.0,1612650226.2996535
30,1.0,0.0,1612650226.322623
31,1.0,0.0,1612650226.3481567
32,1.0,0.0,1612650226.3716278
33,1.0,0.0,1612650226.3935344
34,1.0,0.0,1612650226.411201
35,1.0,0.0,1612650226.4332168
36,1.0,0.0,1612650226.4587717
37,1.0,0.0,1612650226.4819021
38,1.0,0.0,1612650226.5060098
39,1.0,0.0,1612650226.5298173
40,1.0,0.0,1612650226.555527
41,1.0,0.0,1612650226.579609
42,1.0,0.0,1612650226.6014595
43,1.0,0.0,1612650226.6216116
44,1.0,0.0,1612650226.6482835
45,1.0,0.0,1612650226.6760724
46,1.0,0.0,1612650226.7002637
47,1.0,0.0,1612650226.723125
48,1.0,0.0,1612650226.746517
49,1.0,0.0,1612650226.7729146
50,1.0,0.0,1612650226.799314
51,1.0,0.0,1612650226.8194845
52,1.0,0.0,1612650226.8447342
53,1.0,0.0,1612650226.8690448
54,1.0,0.0,1612650226.8953912
55,1.0,0.0,1612650226.9173734
56,1.0,0.0,1612650226.9410167
57,1.0,0.0,1612650226.963264
