,True Label,RF Time,Time
0,2.0,0.0,1613488635.1811948
1,2.0,0.0,1613488635.2054665
2,2.0,0.0,1613488635.2280757
3,2.0,0.0,1613488635.2543807
4,2.0,0.0,1613488635.2874408
5,2.0,0.0,1613488635.325003
6,2.0,0.0,1613488635.3602114
7,2.0,0.0,1613488635.3958027
8,2.0,0.0,1613488635.4255073
9,2.0,0.0,1613488635.4538534
10,2.0,0.0,1613488635.4832697
11,2.0,0.0,1613488635.5122776
12,2.0,0.0,1613488635.5414097
13,2.0,0.0,1613488635.5769663
14,2.0,0.0,1613488635.6059606
15,2.0,0.0,1613488635.6333218
16,2.0,0.0,1613488635.6542912
17,2.0,0.0,1613488635.6815886
18,2.0,0.0,1613488635.7152247
19,2.0,0.0,1613488635.7440915
20,2.0,0.0,1613488635.7724066
21,2.0,0.0,1613488635.8028204
22,2.0,0.0,1613488635.8336868
23,2.0,0.0,1613488635.8545065
24,2.0,0.0,1613488635.883167
25,2.0,0.0,1613488635.910908
26,2.0,0.0,1613488635.9399838
27,2.0,0.0,1613488635.969833
28,2.0,0.0,1613488636.0006244
29,2.0,0.0,1613488636.0283632
30,2.0,0.0,1613488636.0516555
31,2.0,0.0,1613488636.079646
32,2.0,0.0,1613488636.1080353
33,2.0,0.0,1613488636.138698
34,2.0,0.0,1613488636.167671
35,2.0,0.0,1613488636.1997745
36,2.0,0.0,1613488636.2293625
37,2.0,0.0,1613488636.2518635
38,2.0,0.0,1613488636.277553
39,2.0,0.0,1613488636.308818
40,2.0,0.0,1613488636.3397393
41,2.0,0.0,1613488636.3687613
42,2.0,0.0,1613488636.3978832
43,2.0,0.0,1613488636.4267218
44,2.0,0.0,1613488636.450346
45,2.0,0.0,1613488636.4746556
46,2.0,0.0,1613488636.505135
47,2.0,0.0,1613488636.5338655
48,2.0,0.0,1613488636.5639527
49,2.0,0.0,1613488636.5987191
50,2.0,0.0,1613488636.6285567
51,2.0,0.0,1613488636.6518693
52,2.0,0.0,1613488636.677036
53,2.0,0.0,1613488636.7054396
54,2.0,0.0,1613488636.737943
55,2.0,0.0,1613488636.7709315
56,2.0,0.0,1613488636.7999346
57,2.0,0.0,1613488636.8284209
58,2.0,0.0,1613488636.8555102
59,2.0,0.0,1613488636.8762977
60,2.0,0.0,1613488636.9046116
61,2.0,0.0,1613488636.9345613
62,2.0,0.0,1613488636.9625542
63,2.0,0.0,1613488636.9919293
64,2.0,0.0,1613488637.0219297
65,2.0,0.0,1613488637.0511487
66,2.0,0.0,1613488637.0741315
67,2.0,0.0,1613488637.099908
68,2.0,0.0,1613488637.1285694
69,2.0,0.0,1613488637.1618
70,2.0,0.0,1613488637.1916926
71,2.0,0.0,1613488637.2236729
72,2.0,0.0,1613488637.2516773
73,2.0,0.0,1613488637.2762449
74,2.0,0.0,1613488637.3036413
75,2.0,0.0,1613488637.3298557
76,2.0,0.0,1613488637.3603559
77,2.0,0.0,1613488637.391435
78,2.0,0.0,1613488637.42184
79,2.0,0.0,1613488637.4539506
80,2.0,0.0,1613488637.4771893
81,2.0,0.0,1613488637.5038989
82,2.0,0.0,1613488637.532648
83,2.0,0.0,1613488637.5607007
84,2.0,0.0,1613488637.5891938
85,2.0,0.0,1613488637.6200647
86,2.0,0.0,1613488637.652824
87,2.0,0.0,1613488637.6807945
88,2.0,0.0,1613488637.714122
89,2.0,0.0,1613488637.74228
90,2.0,0.0,1613488637.7714643
91,2.0,0.0,1613488637.8012102
92,2.0,0.0,1613488637.8305633
93,2.0,0.0,1613488637.861373
94,2.0,0.0,1613488637.8909092
95,2.0,0.0,1613488637.9141738
96,2.0,0.0,1613488637.9350405
