,True Label,RF Time,Time
0,1.0,0.0,1613489007.3847158
1,1.0,0.0,1613489007.4186277
2,1.0,0.0,1613489007.4508052
3,1.0,0.0,1613489007.4808183
4,1.0,0.0,1613489007.5100298
5,1.0,0.0,1613489007.5323322
6,1.0,0.0,1613489007.5599399
7,1.0,0.0,1613489007.5880842
8,1.0,0.0,1613489007.6209555
9,1.0,0.0,1613489007.6504881
10,1.0,0.0,1613489007.6803713
11,1.0,0.0,1613489007.708988
12,1.0,0.0,1613489007.731635
13,1.0,0.0,1613489007.7538333
14,1.0,0.0,1613489007.7819266
15,1.0,0.0,1613489007.8166149
16,1.0,0.0,1613489007.8454282
17,1.0,0.0,1613489007.877502
18,1.0,0.0,1613489007.90766
19,1.0,0.0,1613489007.9380424
20,1.0,0.0,1613489007.9597206
21,1.0,0.0,1613489007.9879825
22,1.0,0.0,1613489008.022819
23,1.0,0.0,1613489008.0534382
24,1.0,0.0,1613489008.083699
25,1.0,0.0,1613489008.1137736
26,1.0,0.0,1613489008.1432157
27,1.0,0.0,1613489008.1669421
28,1.0,0.0,1613489008.1984897
29,1.0,0.0,1613489008.2281249
30,1.0,0.0,1613489008.2587085
31,1.0,0.0,1613489008.291151
32,1.0,0.0,1613489008.3212876
33,1.0,0.0,1613489008.3508294
34,1.0,0.0,1613489008.3798022
35,1.0,0.0,1613489008.4086409
36,1.0,0.0,1613489008.440048
37,1.0,0.0,1613489008.467819
38,1.0,0.0,1613489008.5002072
39,1.0,0.0,1613489008.5311272
40,1.0,0.0,1613489008.5571532
41,1.0,0.0,1613489008.5783648
42,1.0,0.0,1613489008.6082659
43,1.0,0.0,1613489008.6369178
44,1.0,0.0,1613489008.6681314
45,1.0,0.0,1613489008.6977525
46,1.0,0.0,1613489008.728659
47,1.0,0.0,1613489008.7611105
48,1.0,0.0,1613489008.7836561
49,1.0,0.0,1613489008.8111906
50,1.0,0.0,1613489008.8416274
51,1.0,0.0,1613489008.8739173
52,1.0,0.0,1613489008.9035876
53,1.0,0.0,1613489008.9348307
54,1.0,0.0,1613489008.9632633
55,1.0,0.0,1613489008.9877462
56,1.0,0.0,1613489009.0142953
57,1.0,0.0,1613489009.044558
58,1.0,0.0,1613489009.0784988
59,1.0,0.0,1613489009.1067388
60,1.0,0.0,1613489009.136644
61,1.0,0.0,1613489009.1666186
62,1.0,0.0,1613489009.192682
63,1.0,0.0,1613489009.2186887
64,1.0,0.0,1613489009.2476869
65,1.0,0.0,1613489009.2767048
66,1.0,0.0,1613489009.306517
67,1.0,0.0,1613489009.3347962
68,1.0,0.0,1613489009.3678794
69,1.0,0.0,1613489009.394005
70,1.0,0.0,1613489009.4214265
71,1.0,0.0,1613489009.4513793
72,1.0,0.0,1613489009.480417
73,1.0,0.0,1613489009.5092177
74,1.0,0.0,1613489009.5391612
75,1.0,0.0,1613489009.5693352
76,1.0,0.0,1613489009.5963302
77,1.0,0.0,1613489009.6222744
78,1.0,0.0,1613489009.6537294
79,1.0,0.0,1613489009.6836436
80,1.0,0.0,1613489009.7135842
81,1.0,0.0,1613489009.7441669
82,1.0,0.0,1613489009.772392
83,1.0,0.0,1613489009.7955906
84,1.0,0.0,1613489009.8170269
85,1.0,0.0,1613489009.8459046
86,1.0,0.0,1613489009.8774061
87,1.0,0.0,1613489009.9054914
