,True Label,RF Time,Time
0,1.0,0.0,1613487423.104547
1,1.0,0.0,1613487423.1351557
2,1.0,0.0,1613487423.1607387
3,1.0,0.0,1613487423.1957312
4,1.0,0.0,1613487423.226904
5,1.0,0.0,1613487423.2626152
6,1.0,0.0,1613487423.2946393
7,1.0,0.0,1613487423.32557
8,1.0,0.0,1613487423.3552418
9,1.0,0.0,1613487423.383215
10,1.0,0.0,1613487423.411274
11,1.0,0.0,1613487423.4420364
12,1.0,0.0,1613487423.4723763
13,1.0,0.0,1613487423.5054255
14,1.0,0.0,1613487423.5348127
15,1.0,0.0,1613487423.5614095
16,1.0,0.0,1613487423.5822644
17,1.0,0.0,1613487423.6109262
18,1.0,0.0,1613487423.639983
19,1.0,0.0,1613487423.6702921
20,1.0,0.0,1613487423.699191
21,1.0,0.0,1613487423.7286885
22,1.0,0.0,1613487423.7594264
23,1.0,0.0,1613487423.7831843
24,1.0,0.0,1613487423.8072414
25,1.0,0.0,1613487423.8360634
26,1.0,0.0,1613487423.8656914
27,1.0,0.0,1613487423.8951092
28,1.0,0.0,1613487423.924949
29,1.0,0.0,1613487423.9531176
30,1.0,0.0,1613487423.9812007
31,1.0,0.0,1613487424.0025666
32,1.0,0.0,1613487424.0301297
33,1.0,0.0,1613487424.0628643
34,1.0,0.0,1613487424.091445
35,1.0,0.0,1613487424.1205719
36,1.0,0.0,1613487424.1486034
37,1.0,0.0,1613487424.1791964
38,1.0,0.0,1613487424.2048955
39,1.0,0.0,1613487424.2308838
40,1.0,0.0,1613487424.2594228
41,1.0,0.0,1613487424.2894585
42,1.0,0.0,1613487424.3204362
43,1.0,0.0,1613487424.3514318
44,1.0,0.0,1613487424.3809483
45,1.0,0.0,1613487424.404138
46,1.0,0.0,1613487424.4251184
47,1.0,0.0,1613487424.453222
48,1.0,0.0,1613487424.4835317
49,1.0,0.0,1613487424.5134592
50,1.0,0.0,1613487424.5461032
51,1.0,0.0,1613487424.5783365
52,1.0,0.0,1613487424.6102648
53,1.0,0.0,1613487424.630713
54,1.0,0.0,1613487424.6583977
55,1.0,0.0,1613487424.6868896
56,1.0,0.0,1613487424.716058
57,1.0,0.0,1613487424.7447064
58,1.0,0.0,1613487424.7769296
59,1.0,0.0,1613487424.8089895
60,1.0,0.0,1613487424.8329737
61,1.0,0.0,1613487424.8538904
62,1.0,0.0,1613487424.8834624
63,1.0,0.0,1613487424.9114473
64,1.0,0.0,1613487424.9414482
65,1.0,0.0,1613487424.971709
66,1.0,0.0,1613487425.0017607
67,1.0,0.0,1613487425.0325675
68,1.0,0.0,1613487425.0620852
69,1.0,0.0,1613487425.0907261
70,1.0,0.0,1613487425.1218293
71,1.0,0.0,1613487425.1513226
72,1.0,0.0,1613487425.1804967
73,1.0,0.0,1613487425.2117164
74,1.0,0.0,1613487425.2421942
75,1.0,0.0,1613487425.2701776
76,1.0,0.0,1613487425.291846
77,1.0,0.0,1613487425.320478
78,1.0,0.0,1613487425.3487158
79,1.0,0.0,1613487425.380849
80,1.0,0.0,1613487425.4099135
81,1.0,0.0,1613487425.4432106
82,1.0,0.0,1613487425.470449
83,1.0,0.0,1613487425.4924846
84,1.0,0.0,1613487425.5211434
85,1.0,0.0,1613487425.5574496
86,1.0,0.0,1613487425.5882952
87,1.0,0.0,1613487425.6188498
88,1.0,0.0,1613487425.6481562
89,1.0,0.0,1613487425.675926
90,1.0,0.0,1613487425.6971323
91,1.0,0.0,1613487425.72789
92,1.0,0.0,1613487425.7581627
93,1.0,0.0,1613487425.793246
94,1.0,0.0,1613487425.8267977
95,1.0,0.0,1613487425.8567877
96,1.0,0.0,1613487425.8852713
97,1.0,0.0,1613487425.91074
98,1.0,0.0,1613487425.940784
99,1.0,0.0,1613487425.9712212
100,1.0,0.0,1613487425.9998379
101,1.0,0.0,1613487426.030261
102,1.0,0.0,1613487426.0586624
103,1.0,0.0,1613487426.083815
104,1.0,0.0,1613487426.105265
105,1.0,0.0,1613487426.131168
106,1.0,0.0,1613487426.1607609
107,1.0,0.0,1613487426.1897116
108,1.0,0.0,1613487426.2189207
109,1.0,0.0,1613487426.2480278
110,1.0,0.0,1613487426.2777956
111,1.0,0.0,1613487426.3009114
112,1.0,0.0,1613487426.3246593
113,1.0,0.0,1613487426.3574467
114,1.0,0.0,1613487426.3873456
115,1.0,0.0,1613487426.415368
116,1.0,0.0,1613487426.4437575
117,1.0,0.0,1613487426.4758298
118,1.0,0.0,1613487426.503898
119,1.0,0.0,1613487426.5257425
120,1.0,0.0,1613487426.5553927
121,1.0,0.0,1613487426.5833976
122,1.0,0.0,1613487426.6147923
123,1.0,0.0,1613487426.6467633
124,1.0,0.0,1613487426.6783023
125,1.0,0.0,1613487426.7081246
126,1.0,0.0,1613487426.7376688
127,1.0,0.0,1613487426.7677395
128,1.0,0.0,1613487426.8016088
129,1.0,0.0,1613487426.8312216
130,1.0,0.0,1613487426.8634064
131,1.0,0.0,1613487426.8930721
132,1.0,0.0,1613487426.9208064
133,1.0,0.0,1613487426.942004
134,1.0,0.0,1613487426.9716682
135,1.0,0.0,1613487427.0060203
136,1.0,0.0,1613487427.0393567
137,1.0,0.0,1613487427.0738099
138,1.0,0.0,1613487427.1076708
139,1.0,0.0,1613487427.133917
140,1.0,0.0,1613487427.1617916
141,1.0,0.0,1613487427.1938212
142,1.0,0.0,1613487427.2239509
143,1.0,0.0,1613487427.252137
144,1.0,0.0,1613487427.2817576
145,1.0,0.0,1613487427.3120365
146,1.0,0.0,1613487427.3356392
147,1.0,0.0,1613487427.3608818
148,1.0,0.0,1613487427.388865
149,1.0,0.0,1613487427.4187074
150,1.0,0.0,1613487427.4467294
151,1.0,0.0,1613487427.4779785
152,1.0,0.0,1613487427.5062256
153,1.0,0.0,1613487427.5330236
154,1.0,0.0,1613487427.5577114
155,1.0,0.0,1613487427.5881248
156,1.0,0.0,1613487427.61822
157,1.0,0.0,1613487427.6475635
158,1.0,0.0,1613487427.6770434
159,1.0,0.0,1613487427.7059588
160,1.0,0.0,1613487427.735028
161,1.0,0.0,1613487427.7574298
162,1.0,0.0,1613487427.786522
163,1.0,0.0,1613487427.8167384
164,1.0,0.0,1613487427.8471189
165,1.0,0.0,1613487427.8749554
166,1.0,0.0,1613487427.9037113
167,1.0,0.0,1613487427.9318051
168,1.0,0.0,1613487427.9538202
169,1.0,0.0,1613487427.9804835
170,1.0,0.0,1613487428.009315
171,1.0,0.0,1613487428.0373049
172,1.0,0.0,1613487428.0668237
173,1.0,0.0,1613487428.098115
174,1.0,0.0,1613487428.1281338
175,1.0,0.0,1613487428.1538286
176,1.0,0.0,1613487428.179753
177,1.0,0.0,1613487428.2097282
178,1.0,0.0,1613487428.2381024
179,1.0,0.0,1613487428.2657864
180,1.0,0.0,1613487428.2974987
181,1.0,0.0,1613487428.3284602
182,1.0,0.0,1613487428.355176
183,1.0,0.0,1613487428.3836534
184,1.0,0.0,1613487428.4179745
185,1.0,0.0,1613487428.4507468
186,1.0,0.0,1613487428.4814713
187,1.0,0.0,1613487428.5100338
188,1.0,0.0,1613487428.5392015
189,1.0,0.0,1613487428.5624738
190,1.0,0.0,1613487428.5843787
191,1.0,0.0,1613487428.6132388
192,1.0,0.0,1613487428.6417186
193,1.0,0.0,1613487428.6719222
194,1.0,0.0,1613487428.701677
195,1.0,0.0,1613487428.7320495
196,1.0,0.0,1613487428.7633483
197,1.0,0.0,1613487428.7844722
198,1.0,0.0,1613487428.8147838
199,1.0,0.0,1613487428.850216
200,1.0,0.0,1613487428.8808742
201,1.0,0.0,1613487428.914695
202,1.0,0.0,1613487428.944985
203,1.0,0.0,1613487428.971196
204,1.0,0.0,1613487428.997574
205,1.0,0.0,1613487429.0260098
206,1.0,0.0,1613487429.0604944
207,1.0,0.0,1613487429.0887399
208,1.0,0.0,1613487429.1249042
209,1.0,0.0,1613487429.153725
210,1.0,0.0,1613487429.1774743
211,1.0,0.0,1613487429.2020676
212,1.0,0.0,1613487429.2310674
213,1.0,0.0,1613487429.2636187
214,1.0,0.0,1613487429.2939725
215,1.0,0.0,1613487429.3225954
216,1.0,0.0,1613487429.3515356
217,1.0,0.0,1613487429.3837228
218,1.0,1.0,1613487429.4133863
219,1.0,1.0,1613487429.444104
