,True Label,RF Time,Time
0,3.0,0.0,1613489544.4932168
1,3.0,0.0,1613489544.5344877
2,3.0,0.0,1613489544.5690715
3,3.0,0.0,1613489544.6048172
4,3.0,0.0,1613489544.6363742
5,3.0,0.0,1613489544.6682756
6,3.0,0.0,1613489544.6967509
7,3.0,0.0,1613489544.726287
8,3.0,0.0,1613489544.7566135
9,3.0,0.0,1613489544.789795
10,3.0,0.0,1613489544.8222072
11,3.0,0.0,1613489544.8534791
12,3.0,0.0,1613489544.8823416
13,3.0,0.0,1613489544.9082294
14,3.0,0.0,1613489544.937419
15,3.0,0.0,1613489544.9763067
16,3.0,0.0,1613489545.0054438
17,3.0,0.0,1613489545.0352533
18,3.0,0.0,1613489545.0677872
19,3.0,0.0,1613489545.0945644
20,3.0,0.0,1613489545.11727
21,3.0,0.0,1613489545.1500213
22,3.0,0.0,1613489545.1789849
23,3.0,0.0,1613489545.208116
24,3.0,0.0,1613489545.240312
25,3.0,0.0,1613489545.270204
26,3.0,0.0,1613489545.2987905
27,3.0,0.0,1613489545.3201275
28,3.0,0.0,1613489545.348981
29,3.0,0.0,1613489545.3839614
30,3.0,0.0,1613489545.4128401
31,3.0,0.0,1613489545.452109
32,3.0,0.0,1613489545.4822774
33,3.0,0.0,1613489545.5074854
34,3.0,0.0,1613489545.5314162
35,3.0,0.0,1613489545.5611436
36,3.0,0.0,1613489545.590463
37,3.0,0.0,1613489545.6199472
38,3.0,0.0,1613489545.6488497
39,3.0,0.0,1613489545.6785836
40,3.0,0.0,1613489545.7092235
41,3.0,0.0,1613489545.7418668
42,3.0,0.0,1613489545.7754576
43,3.0,0.0,1613489545.8059032
44,3.0,0.0,1613489545.8377848
45,3.0,0.0,1613489545.8670144
46,3.0,0.0,1613489545.8955383
47,3.0,0.0,1613489545.9272768
48,3.0,0.0,1613489545.9508672
49,3.0,0.0,1613489545.9716387
50,3.0,0.0,1613489545.9979424
51,3.0,0.0,1613489546.0283835
52,3.0,0.0,1613489546.057524
53,3.0,0.0,1613489546.0871468
54,3.0,0.0,1613489546.1150885
55,3.0,0.0,1613489546.1443226
56,3.0,0.0,1613489546.1714723
57,3.0,0.0,1613489546.1999135
58,3.0,0.0,1613489546.228181
59,3.0,0.0,1613489546.25784
60,3.0,0.0,1613489546.289605
61,3.0,0.0,1613489546.3175309
62,3.0,0.0,1613489546.3502064
63,3.0,0.0,1613489546.3765402
64,3.0,0.0,1613489546.4039094
65,3.0,0.0,1613489546.4352753
66,3.0,0.0,1613489546.4678311
67,3.0,0.0,1613489546.4986784
68,3.0,0.0,1613489546.5292287
69,3.0,0.0,1613489546.5591042
70,3.0,0.0,1613489546.5819948
71,3.0,0.0,1613489546.605529
72,3.0,0.0,1613489546.637003
73,3.0,0.0,1613489546.6654825
74,3.0,0.0,1613489546.6966865
75,3.0,0.0,1613489546.7267036
76,3.0,0.0,1613489546.7577193
77,3.0,0.0,1613489546.7844253
78,3.0,0.0,1613489546.806416
79,3.0,0.0,1613489546.837376
80,3.0,0.0,1613489546.8651438
81,3.0,0.0,1613489546.8946764
82,3.0,0.0,1613489546.923033
83,3.0,0.0,1613489546.9519093
84,3.0,0.0,1613489546.9806306
85,3.0,0.0,1613489547.0028389
86,3.0,0.0,1613489547.02916
87,3.0,0.0,1613489547.0583732
88,3.0,0.0,1613489547.0884907
89,3.0,0.0,1613489547.1175478
90,3.0,0.0,1613489547.1470854
91,3.0,0.0,1613489547.1761515
92,3.0,0.0,1613489547.2029893
93,3.0,0.0,1613489547.2237232
94,3.0,0.0,1613489547.251345
95,3.0,0.0,1613489547.281131
96,3.0,0.0,1613489547.3101592
97,3.0,0.0,1613489547.346093
98,3.0,0.0,1613489547.3739169
99,3.0,0.0,1613489547.4046066
100,3.0,0.0,1613489547.4279888
101,3.0,0.0,1613489547.4583435
102,3.0,0.0,1613489547.4884863
103,3.0,0.0,1613489547.5197277
104,3.0,0.0,1613489547.5508988
105,3.0,0.0,1613489547.581055
106,3.0,0.0,1613489547.6083543
107,3.0,0.0,1613489547.6303937
108,3.0,0.0,1613489547.659248
109,3.0,0.0,1613489547.6880176
110,3.0,0.0,1613489547.7185247
111,3.0,0.0,1613489547.7511537
112,3.0,0.0,1613489547.7822144
113,3.0,0.0,1613489547.81063
114,3.0,0.0,1613489547.8314009
115,3.0,0.0,1613489547.8583815
116,3.0,0.0,1613489547.8868
117,3.0,0.0,1613489547.9156542
118,3.0,0.0,1613489547.9472938
119,3.0,0.0,1613489547.9776354
120,3.0,0.0,1613489548.006603
121,3.0,0.0,1613489548.029624
122,3.0,0.0,1613489548.0598476
123,3.0,0.0,1613489548.0898902
124,3.0,0.0,1613489548.1200304
125,3.0,0.0,1613489548.150937
126,3.0,0.0,1613489548.1807063
127,3.0,0.0,1613489548.2083066
128,3.0,0.0,1613489548.2297473
129,3.0,0.0,1613489548.254706
130,3.0,0.0,1613489548.2841349
131,3.0,0.0,1613489548.3140016
132,3.0,0.0,1613489548.3444722
133,3.0,0.0,1613489548.3730614
134,3.0,0.0,1613489548.402591
135,3.0,0.0,1613489548.4271934
136,3.0,0.0,1613489548.4483824
137,3.0,0.0,1613489548.476642
138,3.0,0.0,1613489548.5044024
139,3.0,0.0,1613489548.5346613
140,3.0,0.0,1613489548.5635424
141,3.0,0.0,1613489548.591726
142,3.0,0.0,1613489548.623617
143,3.0,0.0,1613489548.646349
144,3.0,0.0,1613489548.6670477
145,3.0,0.0,1613489548.6946855
146,3.0,0.0,1613489548.7252889
147,3.0,0.0,1613489548.7529159
148,3.0,0.0,1613489548.782324
149,3.0,0.0,1613489548.8133686
150,3.0,0.0,1613489548.8426898
151,3.0,0.0,1613489548.8667424
152,3.0,0.0,1613489548.8876855
153,3.0,0.0,1613489548.9165576
154,3.0,0.0,1613489548.950725
155,3.0,0.0,1613489548.9807956
156,3.0,0.0,1613489549.0178914
157,3.0,0.0,1613489549.0461998
158,3.0,0.0,1613489549.0811658
159,3.0,0.0,1613489549.1106987
160,3.0,0.0,1613489549.1408968
161,3.0,0.0,1613489549.1712987
162,3.0,0.0,1613489549.2017584
163,3.0,0.0,1613489549.2312942
164,3.0,0.0,1613489549.2639532
165,3.0,0.0,1613489549.2939985
166,3.0,0.0,1613489549.3240047
167,3.0,0.0,1613489549.3461335
168,3.0,0.0,1613489549.3771687
169,3.0,0.0,1613489549.4118738
170,3.0,0.0,1613489549.4443583
171,3.0,0.0,1613489549.4759743
172,3.0,0.0,1613489549.5054586
173,3.0,0.0,1613489549.533491
174,3.0,0.0,1613489549.559171
175,3.0,0.0,1613489549.5885763
176,3.0,0.0,1613489549.616901
177,3.0,0.0,1613489549.6447606
178,3.0,0.0,1613489549.675958
179,3.0,0.0,1613489549.7045403
180,3.0,0.0,1613489549.734441
181,3.0,0.0,1613489549.7550385
182,3.0,0.0,1613489549.7831643
183,3.0,0.0,1613489549.8111494
184,3.0,0.0,1613489549.8412633
185,3.0,0.0,1613489549.8707569
186,3.0,0.0,1613489549.9003649
187,3.0,0.0,1613489549.9305985
188,3.0,0.0,1613489549.9599285
189,3.0,0.0,1613489549.99088
190,3.0,0.0,1613489550.0213225
191,3.0,0.0,1613489550.050756
192,3.0,0.0,1613489550.081827
193,3.0,0.0,1613489550.111936
194,3.0,0.0,1613489550.1415179
195,3.0,0.0,1613489550.1725924
196,3.0,0.0,1613489550.196605
197,3.0,0.0,1613489550.2222564
198,3.0,0.0,1613489550.251867
199,3.0,0.0,1613489550.2823224
200,3.0,0.0,1613489550.3106818
201,3.0,0.0,1613489550.3436809
202,3.0,0.0,1613489550.3710012
203,3.0,0.0,1613489550.3945847
204,3.0,0.0,1613489550.419572
205,3.0,0.0,1613489550.4482918
206,3.0,0.0,1613489550.4812412
207,3.0,0.0,1613489550.51033
208,3.0,0.0,1613489550.541502
209,3.0,0.0,1613489550.5721571
210,3.0,0.0,1613489550.5976877
211,3.0,0.0,1613489550.6239345
212,3.0,0.0,1613489550.652114
213,3.0,0.0,1613489550.68477
214,3.0,0.0,1613489550.7143466
215,3.0,0.0,1613489550.7446446
216,3.0,0.0,1613489550.7766037
217,3.0,0.0,1613489550.807362
218,3.0,0.0,1613489550.8376687
219,3.0,0.0,1613489550.8671107
220,3.0,0.0,1613489550.895448
221,3.0,0.0,1613489550.9267728
