,True Label,RF Time,Time
0,3.0,0.0,1613488794.5220864
1,3.0,0.0,1613488794.5458176
2,3.0,0.0,1613488794.574896
3,3.0,0.0,1613488794.6069076
4,3.0,0.0,1613488794.6396458
5,3.0,0.0,1613488794.672386
6,3.0,0.0,1613488794.7087598
7,3.0,1.0,1613488794.7403843
8,3.0,1.0,1613488794.765947
9,3.0,1.0,1613488794.794352
10,3.0,1.0,1613488794.8234434
11,3.0,1.0,1613488794.8553197
12,3.0,1.0,1613488794.8857687
13,3.0,1.0,1613488794.915762
14,3.0,1.0,1613488794.9446452
15,3.0,1.0,1613488794.9666824
16,3.0,1.0,1613488794.9934218
17,3.0,1.0,1613488795.0219777
18,3.0,1.0,1613488795.0538797
19,3.0,1.0,1613488795.0840294
20,3.0,1.0,1613488795.1152577
21,3.0,1.0,1613488795.1438367
22,3.0,1.0,1613488795.165682
23,3.0,1.0,1613488795.1860156
24,3.0,1.0,1613488795.216157
25,3.0,1.0,1613488795.2439501
26,3.0,1.0,1613488795.278243
27,3.0,1.0,1613488795.307553
28,3.0,1.0,1613488795.3357873
29,3.0,1.0,1613488795.3673606
30,3.0,1.0,1613488795.392373
31,3.0,1.0,1613488795.4217584
32,3.0,1.0,1613488795.4559512
33,3.0,1.0,1613488795.4850945
34,3.0,1.0,1613488795.514869
35,3.0,1.0,1613488795.543727
36,3.0,1.0,1613488795.5746288
37,3.0,1.0,1613488795.5954416
38,3.0,1.0,1613488795.6248808
39,3.0,1.0,1613488795.6546206
40,3.0,1.0,1613488795.685686
41,3.0,1.0,1613488795.7171767
42,3.0,1.0,1613488795.7469316
43,3.0,1.0,1613488795.7772365
44,3.0,1.0,1613488795.8003156
45,3.0,1.0,1613488795.8316844
46,3.0,1.0,1613488795.8654497
47,3.0,1.0,1613488795.8956938
48,3.0,1.0,1613488795.9265358
49,3.0,1.0,1613488795.9551358
50,3.0,1.0,1613488795.9816587
51,3.0,1.0,1613488796.0040083
52,3.0,1.0,1613488796.0346587
53,3.0,1.0,1613488796.0637443
54,3.0,1.0,1613488796.0957806
55,3.0,1.0,1613488796.1244528
56,3.0,1.0,1613488796.1545997
57,3.0,1.0,1613488796.182918
58,3.0,1.0,1613488796.2040663
59,3.0,1.0,1613488796.2318027
60,3.0,1.0,1613488796.2610352
61,3.0,1.0,1613488796.2912161
62,3.0,1.0,1613488796.3202548
63,3.0,1.0,1613488796.3491423
64,3.0,1.0,1613488796.3767998
65,3.0,1.0,1613488796.4040592
66,3.0,1.0,1613488796.4321043
67,3.0,1.0,1613488796.461059
68,3.0,1.0,1613488796.4895964
69,3.0,1.0,1613488796.5199075
70,3.0,1.0,1613488796.5481617
71,3.0,1.0,1613488796.5809405
72,3.0,1.0,1613488796.6097262
73,3.0,1.0,1613488796.6349669
74,3.0,1.0,1613488796.6632307
75,3.0,1.0,1613488796.6936083
76,3.0,1.0,1613488796.7275012
77,3.0,1.0,1613488796.7575355
78,3.0,1.0,1613488796.7886205
79,3.0,1.0,1613488796.818469
80,3.0,1.0,1613488796.8440666
81,3.0,1.0,1613488796.8702266
82,3.0,1.0,1613488796.8992934
83,3.0,1.0,1613488796.9311965
84,3.0,1.0,1613488796.960614
85,3.0,1.0,1613488796.9890308
86,3.0,1.0,1613488797.017364
87,3.0,1.0,1613488797.0413468
88,3.0,1.0,1613488797.0618384
89,3.0,1.0,1613488797.0903635
90,3.0,1.0,1613488797.1200323
91,3.0,1.0,1613488797.1502326
92,3.0,1.0,1613488797.1783793
93,3.0,1.0,1613488797.2080865
94,3.0,1.0,1613488797.2376645
95,3.0,1.0,1613488797.2620873
96,3.0,1.0,1613488797.2864835
97,3.0,1.0,1613488797.3178105
98,3.0,1.0,1613488797.3472934
99,3.0,1.0,1613488797.3769605
100,3.0,1.0,1613488797.4081485
101,3.0,1.0,1613488797.4373493
102,3.0,1.0,1613488797.4640026
103,3.0,1.0,1613488797.4849787
104,3.0,1.0,1613488797.5153925
105,3.0,1.0,1613488797.550389
106,3.0,1.0,1613488797.5798633
107,3.0,1.0,1613488797.609533
108,3.0,1.0,1613488797.638739
109,3.0,1.0,1613488797.6651185
110,3.0,1.0,1613488797.6869435
111,3.0,1.0,1613488797.715473
112,3.0,1.0,1613488797.7505293
113,3.0,1.0,1613488797.781249
114,3.0,1.0,1613488797.8150828
115,3.0,1.0,1613488797.8443036
116,3.0,1.0,1613488797.8678052
117,3.0,1.0,1613488797.8887372
118,3.0,1.0,1613488797.9169388
119,3.0,1.0,1613488797.947238
120,3.0,1.0,1613488797.9754105
121,3.0,1.0,1613488798.0049925
122,3.0,1.0,1613488798.0340004
123,3.0,1.0,1613488798.0640032
124,3.0,1.0,1613488798.0859222
125,3.0,1.0,1613488798.1134644
126,3.0,1.0,1613488798.1438465
127,3.0,1.0,1613488798.1720657
128,3.0,1.0,1613488798.2008936
129,3.0,1.0,1613488798.2296753
130,3.0,1.0,1613488798.2574863
131,3.0,1.0,1613488798.283989
132,3.0,1.0,1613488798.3102899
133,3.0,1.0,1613488798.3383398
134,3.0,1.0,1613488798.3679395
135,3.0,1.0,1613488798.3968854
136,3.0,1.0,1613488798.4251552
137,3.0,1.0,1613488798.4522822
138,3.0,1.0,1613488798.4819584
139,3.0,1.0,1613488798.5031095
140,3.0,1.0,1613488798.5319152
141,3.0,1.0,1613488798.567581
142,3.0,1.0,1613488798.5968072
143,3.0,1.0,1613488798.6238947
144,3.0,1.0,1613488798.6536887
145,3.0,1.0,1613488798.6824145
146,3.0,1.0,1613488798.7042077
147,3.0,1.0,1613488798.730191
148,3.0,1.0,1613488798.759118
149,3.0,1.0,1613488798.7875338
150,3.0,1.0,1613488798.817349
151,3.0,1.0,1613488798.8486671
152,3.0,1.0,1613488798.878343
153,3.0,1.0,1613488798.9023786
154,3.0,1.0,1613488798.9234595
155,3.0,1.0,1613488798.9502518
156,3.0,1.0,1613488798.9786913
157,3.0,1.0,1613488799.007761
158,3.0,1.0,1613488799.0367558
159,3.0,1.0,1613488799.0689874
160,3.0,1.0,1613488799.098806
161,3.0,1.0,1613488799.1240938
162,3.0,1.0,1613488799.1446419
163,3.0,1.0,1613488799.178211
164,3.0,1.0,1613488799.2121348
165,3.0,1.0,1613488799.2440639
166,3.0,1.0,1613488799.2735848
167,3.0,1.0,1613488799.304406
168,3.0,1.0,1613488799.336906
169,3.0,1.0,1613488799.362445
170,3.0,1.0,1613488799.3951032
171,3.0,0.0,1613488799.424172
172,3.0,0.0,1613488799.4547465
173,3.0,0.0,1613488799.483397
174,3.0,0.0,1613488799.5113528
175,3.0,0.0,1613488799.5369751
176,3.0,0.0,1613488799.5586705
177,3.0,0.0,1613488799.5854478
178,3.0,0.0,1613488799.6163
179,3.0,0.0,1613488799.6463037
180,3.0,0.0,1613488799.6755981
181,3.0,0.0,1613488799.7056122
182,3.0,0.0,1613488799.737654
183,3.0,0.0,1613488799.7635248
184,3.0,0.0,1613488799.7959332
185,3.0,0.0,1613488799.826825
186,3.0,0.0,1613488799.8598356
187,3.0,0.0,1613488799.89115
188,3.0,0.0,1613488799.9219706
189,3.0,0.0,1613488799.9477355
190,3.0,0.0,1613488799.9698186
191,3.0,0.0,1613488799.9987392
192,3.0,0.0,1613488800.0285432
193,3.0,0.0,1613488800.0579143
194,3.0,0.0,1613488800.0872781
195,3.0,0.0,1613488800.1170936
196,3.0,0.0,1613488800.15151
197,3.0,0.0,1613488800.1758637
198,3.0,0.0,1613488800.2044272
199,3.0,0.0,1613488800.2382822
200,3.0,0.0,1613488800.2682636
201,3.0,0.0,1613488800.2984798
202,3.0,0.0,1613488800.328494
203,3.0,0.0,1613488800.3563478
204,3.0,0.0,1613488800.3782663
205,3.0,0.0,1613488800.4082243
206,3.0,0.0,1613488800.4397647
207,3.0,0.0,1613488800.468857
208,3.0,0.0,1613488800.499978
209,3.0,0.0,1613488800.529491
210,3.0,0.0,1613488800.5564995
211,3.0,0.0,1613488800.5767715
212,3.0,0.0,1613488800.6040993
213,3.0,0.0,1613488800.6326027
214,3.0,0.0,1613488800.6650722
215,3.0,0.0,1613488800.6943417
216,3.0,0.0,1613488800.7234159
217,3.0,0.0,1613488800.7529378
218,3.0,0.0,1613488800.7776434
219,3.0,0.0,1613488800.804905
220,3.0,0.0,1613488800.8368258
221,3.0,0.0,1613488800.8654833
222,3.0,0.0,1613488800.8958435
223,3.0,0.0,1613488800.9258537
224,3.0,0.0,1613488800.954779
225,3.0,0.0,1613488800.9776354
226,3.0,0.0,1613488801.0052128
227,3.0,0.0,1613488801.0339744
228,3.0,0.0,1613488801.0623674
229,3.0,0.0,1613488801.0952752
230,3.0,0.0,1613488801.1238694
231,3.0,0.0,1613488801.1558452
232,3.0,0.0,1613488801.1786788
233,3.0,0.0,1613488801.2045228
234,3.0,0.0,1613488801.2365975
235,3.0,0.0,1613488801.2702262
236,3.0,0.0,1613488801.3001068
237,3.0,0.0,1613488801.330435
238,3.0,0.0,1613488801.3620155
239,3.0,0.0,1613488801.3899462
240,3.0,0.0,1613488801.4211853
241,3.0,0.0,1613488801.4496562
242,3.0,0.0,1613488801.4799476
243,3.0,0.0,1613488801.5084016
244,3.0,0.0,1613488801.5408783
245,3.0,0.0,1613488801.5675566
246,3.0,0.0,1613488801.5896392
247,3.0,0.0,1613488801.6124637
248,3.0,0.0,1613488801.6420336
249,3.0,0.0,1613488801.6717172
250,3.0,0.0,1613488801.7009823
251,3.0,0.0,1613488801.7306378
252,3.0,0.0,1613488801.759113
253,3.0,0.0,1613488801.7881603
254,3.0,0.0,1613488801.8090117
255,3.0,0.0,1613488801.8348336
256,3.0,0.0,1613488801.8638303
257,3.0,0.0,1613488801.8943768
258,3.0,0.0,1613488801.925844
259,3.0,0.0,1613488801.9550836
260,3.0,0.0,1613488801.985344
261,3.0,0.0,1613488802.0078695
262,3.0,0.0,1613488802.031513
263,3.0,0.0,1613488802.061213
264,3.0,0.0,1613488802.091925
265,3.0,0.0,1613488802.125068
266,3.0,0.0,1613488802.155114
267,3.0,0.0,1613488802.1847365
268,3.0,0.0,1613488802.2121227
269,3.0,0.0,1613488802.2382612
270,3.0,0.0,1613488802.270345
271,3.0,0.0,1613488802.3011215
272,3.0,0.0,1613488802.3316603
273,3.0,0.0,1613488802.3659415
274,3.0,0.0,1613488802.3967297
275,3.0,0.0,1613488802.4305267
276,3.0,0.0,1613488802.4634242
277,3.0,0.0,1613488802.49619
278,3.0,0.0,1613488802.5293448
279,3.0,0.0,1613488802.561993
280,3.0,0.0,1613488802.5948167
281,3.0,0.0,1613488802.6336136
282,3.0,0.0,1613488802.6649735
283,3.0,0.0,1613488802.6907806
284,3.0,0.0,1613488802.7200205
285,3.0,0.0,1613488802.7542927
286,3.0,0.0,1613488802.7852132
287,3.0,0.0,1613488802.8205078
288,3.0,0.0,1613488802.8573465
289,3.0,0.0,1613488802.891763
290,3.0,0.0,1613488802.9234586
291,3.0,0.0,1613488802.9578245
292,3.0,0.0,1613488802.992546
293,3.0,0.0,1613488803.0315504
294,3.0,0.0,1613488803.0686822
295,3.0,0.0,1613488803.1037927
296,3.0,0.0,1613488803.1316898
297,3.0,0.0,1613488803.165678
298,3.0,0.0,1613488803.202425
299,3.0,0.0,1613488803.2376008
300,3.0,0.0,1613488803.2766716
301,3.0,0.0,1613488803.3111393
302,3.0,0.0,1613488803.3399987
303,3.0,0.0,1613488803.3714228
304,3.0,0.0,1613488803.408603
305,3.0,0.0,1613488803.442175
306,3.0,0.0,1613488803.4772878
307,3.0,0.0,1613488803.51114
308,3.0,0.0,1613488803.5464225
309,3.0,0.0,1613488803.5801451
310,3.0,0.0,1613488803.6153755
311,3.0,0.0,1613488803.651912
312,3.0,0.0,1613488803.6893253
313,3.0,0.0,1613488803.7236521
314,3.0,0.0,1613488803.7580702
315,3.0,0.0,1613488803.7904477
316,3.0,0.0,1613488803.8231697
