,True Label,RF Time,Time
0,2.0,0.0,1613487703.2447605
1,2.0,0.0,1613487703.2809305
2,2.0,0.0,1613487703.317556
3,2.0,0.0,1613487703.3490713
4,2.0,0.0,1613487703.3813505
5,2.0,0.0,1613487703.4041011
6,2.0,0.0,1613487703.4323523
7,2.0,0.0,1613487703.4634192
8,2.0,0.0,1613487703.4950325
9,2.0,0.0,1613487703.524491
10,2.0,0.0,1613487703.557732
11,2.0,0.0,1613487703.5864537
12,2.0,0.0,1613487703.6105711
13,2.0,0.0,1613487703.6384497
14,2.0,0.0,1613487703.6675112
15,2.0,0.0,1613487703.699833
16,2.0,0.0,1613487703.7320466
17,2.0,0.0,1613487703.761013
18,2.0,0.0,1613487703.7935383
19,2.0,0.0,1613487703.8155808
20,2.0,0.0,1613487703.8419182
21,2.0,0.0,1613487703.8713634
22,2.0,0.0,1613487703.9024053
23,2.0,0.0,1613487703.932493
24,2.0,0.0,1613487703.9639745
25,2.0,0.0,1613487703.9931655
26,2.0,0.0,1613487704.0198421
27,2.0,0.0,1613487704.0458932
28,2.0,0.0,1613487704.0749745
29,2.0,0.0,1613487704.1081922
30,2.0,0.0,1613487704.1378798
31,2.0,0.0,1613487704.1671834
32,2.0,0.0,1613487704.195994
33,2.0,0.0,1613487704.222407
34,2.0,0.0,1613487704.243902
35,2.0,0.0,1613487704.2754116
36,2.0,0.0,1613487704.3090134
37,2.0,0.0,1613487704.3402054
38,2.0,0.0,1613487704.368736
39,2.0,0.0,1613487704.3975844
40,2.0,0.0,1613487704.4257576
41,2.0,0.0,1613487704.449125
42,2.0,0.0,1613487704.4788117
43,2.0,0.0,1613487704.5103765
44,2.0,0.0,1613487704.5396214
45,2.0,0.0,1613487704.5690057
46,2.0,0.0,1613487704.6004496
47,2.0,0.0,1613487704.6289263
48,2.0,0.0,1613487704.65008
49,2.0,0.0,1613487704.6790974
50,2.0,0.0,1613487704.7088666
51,2.0,0.0,1613487704.738899
52,2.0,0.0,1613487704.7681656
