,True Label,RF Time,Time
0,2.0,0.0,1612691473.2742956
1,2.0,0.0,1612691473.3094656
2,2.0,0.0,1612691473.336993
3,2.0,0.0,1612691473.367778
4,2.0,0.0,1612691473.3972793
5,2.0,0.0,1612691473.422872
6,2.0,0.0,1612691473.44226
7,2.0,0.0,1612691473.4672096
8,2.0,0.0,1612691473.4932933
9,2.0,0.0,1612691473.5187228
10,2.0,0.0,1612691473.5431442
11,2.0,0.0,1612691473.5725546
12,2.0,0.0,1612691473.597025
13,2.0,0.0,1612691473.6235154
14,2.0,0.0,1612691473.6425729
15,2.0,0.0,1612691473.6672118
16,2.0,0.0,1612691473.6934059
17,2.0,0.0,1612691473.7172513
18,2.0,0.0,1612691473.7424746
19,2.0,0.0,1612691473.766977
20,2.0,0.0,1612691473.79266
21,2.0,0.0,1612691473.818726
22,2.0,0.0,1612691473.838787
23,2.0,0.0,1612691473.860406
24,2.0,0.0,1612691473.885323
25,2.0,0.0,1612691473.9139616
26,2.0,0.0,1612691473.9399645
27,2.0,0.0,1612691473.9618819
28,2.0,0.0,1612691473.9868603
29,2.0,0.0,1612691474.0119958
30,2.0,0.0,1612691474.0328798
31,2.0,0.0,1612691474.0513787
32,2.0,0.0,1612691474.0701377
33,2.0,0.0,1612691474.0951338
34,2.0,0.0,1612691474.1190772
35,2.0,0.0,1612691474.1460848
36,2.0,0.0,1612691474.170341
37,2.0,0.0,1612691474.203121
38,2.0,0.0,1612691474.2269158
39,2.0,0.0,1612691474.2515988
40,2.0,0.0,1612691474.2690074
41,2.0,0.0,1612691474.2921114
42,2.0,0.0,1612691474.3181584
43,2.0,0.0,1612691474.3465106
44,2.0,0.0,1612691474.3707893
45,2.0,0.0,1612691474.3960576
46,2.0,0.0,1612691474.4201198
47,2.0,0.0,1612691474.4437165
48,2.0,0.0,1612691474.4656572
49,2.0,0.0,1612691474.4836128
50,2.0,0.0,1612691474.5029414
51,2.0,0.0,1612691474.5265996
52,2.0,0.0,1612691474.5529804
53,2.0,0.0,1612691474.579825
54,2.0,0.0,1612691474.6074603
55,2.0,0.0,1612691474.6353261
56,2.0,0.0,1612691474.6629999
57,2.0,0.0,1612691474.6873574
58,2.0,0.0,1612691474.7055185
59,2.0,0.0,1612691474.7337573
60,2.0,0.0,1612691474.7618518
61,2.0,0.0,1612691474.7863114
62,2.0,0.0,1612691474.813104
63,2.0,0.0,1612691474.8432233
64,2.0,0.0,1612691474.8674335
65,2.0,0.0,1612691474.8928797
66,2.0,0.0,1612691474.918353
67,2.0,0.0,1612691474.9439282
68,2.0,0.0,1612691474.9722722
69,2.0,0.0,1612691474.9973576
70,2.0,0.0,1612691475.0224748
71,2.0,0.0,1612691475.0472658
72,2.0,0.0,1612691475.0724995
73,2.0,0.0,1612691475.0984488
74,2.0,0.0,1612691475.122562
75,2.0,0.0,1612691475.1474342
76,2.0,0.0,1612691475.175879
77,2.0,0.0,1612691475.2045834
78,2.0,0.0,1612691475.2298632
79,2.0,0.0,1612691475.2546654
80,2.0,0.0,1612691475.2797308
81,2.0,0.0,1612691475.307927
82,2.0,0.0,1612691475.333189
83,2.0,0.0,1612691475.3587992
84,2.0,0.0,1612691475.3859732
85,2.0,0.0,1612691475.4040248
86,2.0,0.0,1612691475.4300034
87,2.0,0.0,1612691475.4549856
88,2.0,0.0,1612691475.479914
89,2.0,0.0,1612691475.5041978
90,2.0,0.0,1612691475.529147
91,2.0,0.0,1612691475.5561526
92,2.0,0.0,1612691475.581758
93,2.0,0.0,1612691475.6033378
94,2.0,0.0,1612691475.628826
95,2.0,0.0,1612691475.6534472
96,2.0,0.0,1612691475.6823995
97,2.0,0.0,1612691475.7071872
98,2.0,0.0,1612691475.735741
